"Year","Cars"
2011,0.000446
2012,0.000485
2013,0.000428
2014,0.000307
2015,0.000346
2016,0.000307
2017,0.000335
2018,0.000365
2019,0.000355
2020,0.000321
2021,0.000338
2022,0.000363
