"YYYYMM","Petrol","Diesel","Electricity","Electric hybrids","Plug-in hybrids","Ethanol","Gas","Others","Total"
200601,13617,3521,2,216,"NaN",1646,168,3,19173
200602,14687,3444,"NaN",163,"NaN",1798,234,"NaN",20326
200603,19609,4764,"NaN",214,"NaN",3165,254,1,28007
200604,21439,4598,"NaN",239,"NaN",2105,370,"NaN",28751
200605,24117,5168,"NaN",260,"NaN",2481,530,"NaN",32556
200606,23148,5340,"NaN",307,"NaN",2469,398,"NaN",31662
200607,15593,4089,"NaN",224,"NaN",1686,198,1,21791
200608,17504,4619,"NaN",277,"NaN",2086,181,"NaN",24667
200609,19129,5438,"NaN",293,"NaN",2061,319,2,27242
200610,18271,6176,"NaN",166,"NaN",1819,361,3,26796
200611,17054,7046,"NaN",256,"NaN",2465,348,"NaN",27169
200612,15834,7000,"NaN",236,"NaN",2337,265,"NaN",25672
200701,13521,6965,"NaN",287,"NaN",1891,200,1,22865
200702,13479,6615,"NaN",243,"NaN",1965,169,"NaN",22471
200703,19340,8418,"NaN",280,"NaN",2361,200,"NaN",30599
200704,19362,8269,"NaN",286,"NaN",2464,152,"NaN",30533
200705,20085,9492,"NaN",351,"NaN",3429,168,1,33526
200706,17837,8877,"NaN",313,"NaN",3155,247,1,30430
200707,13520,6979,"NaN",256,"NaN",2508,136,"NaN",23399
200708,14772,8630,1,319,"NaN",2229,111,1,26063
200709,14276,8803,"NaN",255,"NaN",2756,96,"NaN",26186
200710,15476,11332,"NaN",243,"NaN",4183,80,1,31315
200711,12810,12240,"NaN",261,"NaN",4251,119,"NaN",29681
200712,9823,16944,1,300,"NaN",4321,81,"NaN",31470
200801,8977,5292,"NaN",307,"NaN",4677,90,"NaN",19343
200802,9634,8221,"NaN",363,"NaN",4595,85,"NaN",22898
200803,11105,9180,"NaN",316,"NaN",4317,62,"NaN",24980
200804,13284,11334,"NaN",451,"NaN",5032,97,"NaN",30198
200805,12672,10458,1,435,"NaN",5477,85,1,29129
200806,10656,9024,"NaN",340,"NaN",5948,74,1,26043
200807,8504,6673,"NaN",297,"NaN",3680,47,2,19203
200808,8558,6923,"NaN",352,"NaN",3940,79,"NaN",19852
200809,9584,8407,"NaN",376,"NaN",6080,187,"NaN",24634
200810,8668,8275,"NaN",307,"NaN",6431,184,1,23866
200811,6736,6504,"NaN",279,"NaN",4565,192,"NaN",18276
200812,6137,6874,"NaN",423,"NaN",4282,205,1,17922
200901,4872,4852,2,148,"NaN",2378,119,"NaN",12371
200902,6244,5911,2,127,"NaN",3069,154,1,15508
200903,7636,7125,6,143,"NaN",3997,317,1,19225
200904,7931,7527,"NaN",184,"NaN",3854,486,1,19983
200905,7646,6748,5,155,"NaN",4663,541,2,19760
200906,9334,9030,3,261,"NaN",4861,651,1,24141
200907,6459,6340,2,148,"NaN",2341,623,"NaN",15913
200908,6218,6583,3,279,"NaN",2915,725,"NaN",16723
200909,7703,8603,1,514,"NaN",3220,749,3,20793
200910,8674,9984,2,456,"NaN",3052,642,1,22811
200911,8235,9021,2,358,"NaN",3063,503,3,21185
200912,6974,9459,1,312,"NaN",2752,615,2,20115
201001,5876,7270,1,281,"NaN",2359,561,4,16352
201002,6012,9329,"NaN",258,"NaN",2633,670,"NaN",18902
201003,10201,13018,1,438,"NaN",3053,616,4,27331
201004,10457,13255,1,334,"NaN",3094,630,"NaN",27771
201005,10489,12561,"NaN",325,"NaN",3297,601,2,27275
201006,11517,15028,1,273,"NaN",3513,705,2,31039
201007,8342,10887,"NaN",152,"NaN",2050,573,1,22005
201008,9017,11695,1,277,"NaN",2451,629,4,24074
201009,9704,13998,"NaN",363,"NaN",2961,547,"NaN",27573
201010,8973,14729,3,366,"NaN",3098,555,1,27725
201011,8888,15027,"NaN",353,"NaN",3330,484,1,28083
201012,8752,17485,3,300,"NaN",3626,434,4,30604
201101,6835,12281,3,238,"NaN",817,275,4,20453
201102,7128,13524,29,250,"NaN",973,308,2,22214
201103,10963,18311,36,374,"NaN",1387,569,2,31642
201104,10748,17958,23,336,"NaN",1539,525,3,31132
201105,11277,19373,40,300,"NaN",1709,767,"NaN",33466
201106,9829,17940,11,194,"NaN",1602,470,1,30047
201107,7294,12922,"NaN",121,"NaN",911,335,2,21585
201108,8674,15410,3,257,"NaN",1387,607,4,26342
201109,9039,17006,3,245,"NaN",1340,872,4,28509
201110,8222,16285,7,177,"NaN",1221,732,2,26646
201111,8424,17472,15,256,"NaN",1423,664,2,28256
201112,8019,16671,15,179,"NaN",974,494,5,26357
201201,5398,13223,10,109,"NaN",645,521,3,19909
201202,5918,14908,14,119,"NaN",608,450,3,22020
201203,9215,19715,33,161,3,697,607,5,30436
201204,7832,16400,37,110,19,551,435,7,25391
201205,8986,18266,20,172,18,592,439,3,28496
