"YYYYMM","Diesel","Flaring"
201612,9.276830,10.748132
201701,9.988407,8.977299
201702,1.976152,2.576897
201703,5.232937,2.698293
201704,5.053887,0.996288
201705,12.521050,16.178764
201706,2.717482,2.398693
201707,3.348658,2.094576
201708,4.946238,3.115734
201709,4.927355,15.699625
201710,19.026080,13.896666
201711,3.995786,17.554991
201712,8.553112,15.294605
201801,5.107111,7.499697
201802,5.817559,14.780726
201803,15.703929,209.335606
201804,12.100408,40.329613
201805,3.685793,25.962989
201806,6.350509,16.035667
201807,0.431125,16.130290
201808,3.437530,7.681106
201809,5.235443,10.600699
201810,0.997288,0.211788
201811,12.871986,10.180001
201812,15.715717,19.142462
201901,0.510679,7.723078
201902,4.494995,6.446555
201903,6.173647,17.295092
201904,22.448115,30.657015
201905,28.430994,43.521174
201906,24.179498,14.309045
201907,25.644335,4.150490
201908,21.641066,3.740888
201909,17.766764,30.126777
201910,3.370223,12.176106
201911,0.939298,6.518997
201912,3.482460,33.364855
202001,0.317476,18.193413
202002,3.055005,7.328086
202003,10.272000,18.802500
202004,0.132814,8.146897
202005,2.253145,25.636262
202006,0.855579,15.014446
202007,0.203756,33.845268
202008,9.558023,5.276849
202009,26.133555,4.771701
202010,23.249799,9.172882
202011,26.974805,6.882430
202012,18.502800,10.300874
202101,0.921969,2.366935
202102,8.085986,26.615998
202103,0.944663,0.736345
202104,0.154485,0.058436
202105,6.069704,18.727604
202106,1.804760,22.122331
202107,0.126602,14.317379
202108,20.625284,1.011197
202109,27.414577,1.391889
202110,25.975646,25.740511
202111,15.901897,31.331450
202112,1.606828,20.570501
202201,0.254793,0.035808
202202,0.183568,9.086596
202203,2.033153,11.864337
202204,0.614340,10.439647
202205,5.804394,5.616453
202206,1.286952,5.984966
202207,0.509091,12.402879
202208,1.727818,0.009450
202209,11.018025,32.243348
202210,21.129045,22.167016
202211,21.119198,5.053910
202212,16.693522,5.233297
202301,0.542974,52.180904
202302,0.303217,5.204006
202303,0.173756,12.321582
202304,0.259275,13.018911
202305,0.123532,1.076272
202306,0.290193,3.276394
202307,0.265452,22.313701
202308,0.301735,11.357323
202309,0.265981,0.010334
202310,0.303076,17.477347
202311,0.233545,0.011865
202312,0.239757,5.079635
202401,0.147673,0.003744
202402,0.271487,0.041480
202403,0.273499,19.029373
202404,0.279781,15.594337
202405,0.139873,11.178145
202406,0.482726,9.072906
202407,0.223839,0
202408,0.214768,5.118292
202409,0.223839,0.554280
202410,0.547174,1.975380
202411,0.780260,6.978608
202412,0.306429,0.016745
202501,0.108178,1.610966
202502,0.795296,0.740793
