"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,1.672405,1.672560,1.672560,1.672560,1.740152,1.739431,1.751761,1.751761,1.746486,1.746487,1.746487,1.695174,1.695110,1.735960,1.822448,1.822453,1.833058,1.813218,1.800288,1.807194,1.807194,1.807194
1991,,1.626375,1.626523,1.627130,1.627130,1.694986,1.694331,1.707166,1.707166,1.710483,1.710484,1.710484,1.666179,1.666099,1.699880,1.737147,1.737151,1.748121,1.725578,1.715479,1.722761,1.722761,1.722761
1992,,1.751066,1.751207,1.752376,1.752376,1.819994,1.819534,1.832738,1.832738,1.833721,1.833723,1.833723,1.793120,1.793067,1.823100,1.879542,1.879547,1.890920,1.871117,1.858390,1.865931,1.865931,1.865931
1993,,1.810245,1.811544,1.812364,1.812364,1.880595,1.880070,1.893050,1.893050,1.910014,1.910139,1.910139,1.868202,1.868151,1.902674,1.989602,1.989600,2.000917,1.979574,1.961426,1.968862,1.968862,1.968862
1994,,1.773935,1.775217,1.774871,1.774871,1.843020,1.842515,1.855447,1.855447,1.857155,1.857280,1.857280,1.821585,1.821538,1.846129,1.929863,1.929863,1.941432,1.932816,1.909883,1.917391,1.917391,1.917391
1995,,1.774582,1.776421,1.777719,1.777719,1.861612,1.862708,1.875742,1.875742,1.872627,1.872782,1.872782,1.857116,1.857014,1.866307,2.016370,2.016369,2.028088,2.018487,2.010570,2.017883,2.017883,2.017883
1996,,1.867002,1.869621,1.868404,1.868404,1.953323,1.953079,1.966676,1.966676,1.962940,1.963137,1.963137,1.944812,1.944716,1.957459,2.072506,2.072506,2.084569,2.074756,2.065438,2.072873,2.072873,2.072873
1997,,1.912846,1.915470,1.915470,1.915470,1.989590,1.989179,2.002427,2.002427,1.992075,1.992272,1.992272,1.950102,1.949946,1.985798,2.108987,2.108996,2.120992,2.111315,2.101991,2.109293,2.109293,2.109292
1998,,1.875823,1.877327,1.877327,1.877327,1.974147,1.974919,1.988682,1.988682,1.974181,1.974378,1.974378,1.923183,1.923022,1.967504,2.101635,2.101628,2.114118,2.103816,2.094582,2.102005,2.102005,2.102005
1999,,1.905149,1.906716,1.906716,1.906716,2.032470,2.032702,2.046818,2.046818,2.031528,2.031729,2.031729,1.980285,1.980095,2.025319,2.159250,2.159242,2.171998,2.158408,2.148805,2.156230,2.156230,2.156230
