"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,2.085377,2.084066,2.158637,2.150697,2.159948,2.159885,2.172155,2.172155,2.153502,2.160108,2.160108,2.105018,2.106026,2.148336,2.237421,2.237426,2.247803,2.228425,2.215856,2.222787,2.222348,2.221979
1991,,2.003340,2.004580,2.083111,2.071818,2.084683,2.084422,2.097199,2.097199,2.083986,2.090156,2.090156,2.041995,2.042937,2.077733,2.117704,2.117704,2.128410,2.106051,2.096309,2.103614,2.103438,2.103066
1992,,2.125636,2.131821,2.209559,2.199621,2.210883,2.210736,2.223890,2.223890,2.209921,2.216104,2.216104,2.171728,2.172619,2.203873,2.263016,2.263026,2.274267,2.254963,2.242604,2.250166,2.249700,2.249322
1993,,2.232247,2.236894,2.312841,2.304345,2.314728,2.314701,2.327629,2.327629,2.332320,2.339337,2.339337,2.293577,2.294505,2.331379,2.421023,2.421024,2.432162,2.411258,2.393481,2.400940,2.400522,2.400140
1994,,2.196492,2.200202,2.276506,2.266488,2.278289,2.278427,2.291284,2.291284,2.279729,2.286940,2.286940,2.247228,2.248369,2.275463,2.361912,2.361909,2.373297,2.364690,2.342135,2.349664,2.349664,2.349279
1995,,2.213323,2.216150,2.308450,2.299128,2.310958,2.312645,2.325587,2.325587,2.310619,2.318223,2.318223,2.298327,2.299614,2.312332,2.465118,2.465112,2.476700,2.467100,2.459567,2.469337,2.469337,2.468948
1996,,2.302135,2.307109,2.397010,2.388072,2.400020,2.400831,2.414344,2.414344,2.399968,2.407411,2.407411,2.384687,2.385914,2.402201,2.520135,2.520138,2.532042,2.522576,2.513641,2.523724,2.523397,2.523004
1997,,2.405441,2.411251,2.490628,2.482631,2.493630,2.493462,2.506614,2.506614,2.486846,2.495746,2.495746,2.448969,2.450244,2.489472,2.615623,2.615633,2.627514,2.618531,2.609590,2.619435,2.618782,2.618382
1998,,2.286746,2.291521,2.501441,2.493350,2.504352,2.505232,2.518887,2.518887,2.495932,2.505000,2.505000,2.448826,2.450234,2.498178,2.635456,2.635449,2.647856,2.637554,2.628704,2.638678,2.638693,2.638281
1999,,2.454655,2.458267,2.705271,2.696278,2.708206,2.708610,2.722634,2.722634,2.698425,2.710121,2.710121,2.654140,2.655395,2.704417,2.841274,2.841267,2.853955,2.840387,2.831173,2.841366,2.841352,2.840944
2000,,2.306178,2.308767,2.755450,2.745088,2.758376,2.761151,2.774812,2.774812,2.751751,2.775919,2.775919,2.727487,2.728937,2.757459,2.933984,2.933987,2.946467,2.932131,2.923141,2.933190,2.933152,2.932741
