"Year","Hydro","Wind"
2016,-0.449391,-0.000999
2017,0.800320,-0.000874
2018,-0.212552,-0.003764
2019,-0.350267,0.002206
2020,-0.409490,0.000091
2021,0.750473,-0.000573
2022,0.409569,-0.000354
2023,0.042843,0.001495
2024,-0.640925,0.005506
2025,0.000500,0.001386
