"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-0.030936,2.244581,4.439545,0.002659,0.030607,0,0,0
1991,-0.032411,2.231553,4.438366,0.014595,0.032917,0,0,0
1992,-0.037587,2.217600,4.433461,0.014517,0.035227,0,0,0
1993,-0.042998,2.204467,4.455770,0.014533,0.037536,0,0,0
1994,-0.046127,2.191966,4.456953,0.014555,0.039846,0,0,0
1995,-0.056652,2.179767,4.459425,0.014555,0.042156,0,0,0
1996,-0.060764,2.167262,4.461906,0.018134,0.044466,0,0.000001,0
1997,-0.067627,2.154350,4.471513,0.018197,0.046775,0,-0.000007,0
1998,-0.076235,2.142237,4.487622,0.018508,0.049085,0,0.000003,0
1999,-0.082801,2.129941,4.509231,0.018522,0.051395,0,0.000000,0
2000,-0.094022,2.118829,4.535140,0.018522,0.048620,0,0.000003,0
2001,-0.100083,2.107282,4.558952,0.018918,0.050546,0,0.000002,0
2002,-0.108966,2.097044,4.590840,0.019366,0.052472,0,-0.000001,0
2003,-0.119308,2.087000,4.604289,0.019552,0.054398,0,0.000000,0
2004,-0.126387,2.079073,4.619893,0.019584,0.056112,0,-0.000000,0
2005,-0.146235,2.071147,4.646675,0.019444,0.058032,0,0.000003,0
2006,-0.153260,2.063252,4.709645,0.021607,0.060653,0,0.000003,0
2007,-0.271230,2.055295,4.741812,0.020494,0.061857,0,-0.000015,0
2008,-0.275513,2.047370,4.796999,0.020539,0.063989,0,-0.000010,0
2009,-0.288437,1.995586,4.820860,0.021029,0.065915,0,-0.000030,0
2010,-0.311662,1.961991,4.833641,0.021158,0.050649,0,-0.000033,0
2011,-0.339338,1.928236,4.846336,0.015686,0.049006,0,-0.000061,0
2012,-0.349944,1.894320,4.864856,0.015724,0.047627,0,-0.000067,0
2013,-0.368402,1.860242,4.884710,0.015804,0.046105,0,-0.000065,0
2014,-0.391244,1.825999,4.904087,0.016070,0.044548,0,-0.000124,0
2015,-0.416621,1.792755,4.921908,0.016181,0.043079,0,-0.000038,0
2016,-0.440631,1.757386,4.931569,0.014728,0.041593,0,-0.000094,0
2017,-0.479087,1.722647,4.943950,0.014859,0.040070,0,-0.000150,0
2018,-0.508463,1.687736,4.963592,0.014794,0.027938,0,-0.000077,0
2019,-0.509991,1.652654,4.980364,0.015279,0.025663,0,-0.000041,0
2020,-0.513998,1.617443,4.994788,0.016320,0.039776,0,-0.000041,0
2021,-0.516407,1.581966,5.002988,0.016763,0.049551,0,-0.000014,0
2022,-0.545815,1.648353,4.987933,0.017111,0.023024,0,-0.000099,0
2023,-0.536859,1.634676,5.022577,0.017150,0.025225,0,-0.000220,0
2024,-0.534167,1.666237,5.040139,0.017150,0.026756,0,-0.000195,0
