"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-0.019088,0.000504,-0.000155,-0.003471,-0.008759,0.000849
1991,-0.019425,0.000538,-0.000162,-0.003991,-0.009850,0.001191
1992,-0.021700,0.000573,-0.000169,-0.004908,-0.012088,0.001589
1993,-0.023789,0.000609,-0.000176,-0.005758,-0.014430,0.001681
1994,-0.024705,0.000645,-0.000183,-0.006381,-0.016134,0.001791
1995,-0.029627,0.000682,-0.000190,-0.007850,-0.019879,0.002088
1996,-0.031790,0.000823,-0.000229,-0.008473,-0.021525,0.002198
1997,-0.035396,0.000646,-0.000169,-0.009442,-0.024150,0.002308
1998,-0.039989,0.000674,-0.000174,-0.010603,-0.027098,0.002613
1999,-0.043286,0.000676,-0.000170,-0.011449,-0.029368,0.002768
2000,-0.050114,0.000718,-0.000179,-0.012808,-0.032827,0.003190
2001,-0.053157,0.000622,-0.000145,-0.013594,-0.034873,0.003455
2002,-0.057805,0.000967,-0.000248,-0.014944,-0.038372,0.003784
2003,-0.063772,0.001474,-0.000399,-0.016454,-0.042364,0.004137
2004,-0.066988,0.001325,-0.000343,-0.017326,-0.044676,0.004243
2005,-0.081974,0.002274,-0.000627,-0.018674,-0.048442,0.004353
2006,-0.085023,0.002282,-0.000615,-0.019710,-0.051216,0.004535
2007,-0.198856,0.001562,-0.000379,-0.020639,-0.053733,0.004639
2008,-0.200022,0.002948,-0.000797,-0.021596,-0.056434,0.004807
2009,-0.210591,0.004259,-0.001182,-0.022611,-0.058991,0.005062
2010,-0.232546,0.008015,-0.002311,-0.023538,-0.061706,0.005172
2011,-0.257157,0.007783,-0.002186,-0.024247,-0.063611,0.005282
2012,-0.265272,0.006710,-0.001803,-0.024957,-0.065581,0.005392
2013,-0.283427,0.010399,-0.002897,-0.025518,-0.067209,0.005425
2014,-0.305410,0.011171,-0.003067,-0.026147,-0.068899,0.005511
2015,-0.326649,0.008986,-0.002321,-0.026748,-0.070678,0.005528
2016,-0.347566,0.008019,-0.001968,-0.027410,-0.072558,0.005561
2017,-0.384815,0.009265,-0.002305,-0.027906,-0.074000,0.005594
2018,-0.410058,0.006160,-0.001294,-0.028447,-0.075592,0.005626
2019,-0.408908,0.005511,-0.001063,-0.028972,-0.077033,0.005659
2020,-0.411749,0.006783,-0.001430,-0.029393,-0.078275,0.005803
2021,-0.409987,0.005362,-0.000959,-0.029997,-0.079901,0.005964
2022,-0.443494,0.016782,-0.004453,-0.030889,-0.082189,0.006384
2023,-0.448666,0.004831,-0.000669,-0.032658,-0.086978,0.006416
