"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2017,"NaN",1.200000,-0.010000,"NaN",-0.020000,0.020000,"NaN"
2018,"NaN",1.330000,-0.060000,"NaN",0.090000,0,"NaN"
2019,"NaN",-0.460000,0.230000,"NaN",0.160000,0.070000,"NaN"
2020,"NaN",0.700000,-0.110000,"NaN",-0.080000,0.220000,"NaN"
2021,"NaN",-0.780000,-0.010000,"NaN",0.010000,-0.020000,"NaN"
2022,"NaN",-0.470000,0.060000,"NaN",0.080000,0.030000,"NaN"
2023,"NaN",1.390000,0.170000,"NaN",-0.030000,-0.030000,"NaN"
