"Year","Olje og gass","Industri","Energiforsyning","Bygg","Veitrafikk","Annen trafikk","Jordbruk","Andre kilder"
1990,8.249000,19.139000,0.341000,2.755000,7.426000,5.298000,4.918000,3.071000
1991,8.121000,17.619000,0.396000,2.490000,7.307000,5.108000,4.849000,2.942000
1992,8.720000,15.377000,0.390000,2.276000,7.338000,5.460000,4.822000,2.912000
1993,9.249000,16.325000,0.409000,2.308000,7.511000,5.663000,4.809000,2.956000
1994,10.043000,17.274000,0.466000,2.329000,7.408000,5.857000,4.800000,2.990000
1995,10.227000,16.555000,0.468000,2.369000,7.527000,6.553000,4.843000,3.033000
1996,11.127000,17.165000,0.560000,2.905000,7.902000,6.960000,4.879000,2.977000
1997,11.631000,16.852000,0.493000,2.469000,7.887000,7.246000,4.828000,3.056000
1998,11.298000,17.166000,0.538000,2.237000,8.116000,7.462000,4.819000,2.902000
1999,11.820000,16.959000,0.523000,2.478000,8.543000,7.525000,4.816000,2.882000
2000,13.162000,16.821000,0.485000,1.932000,8.370000,6.498000,4.661000,3.005000
2001,14.130000,16.302000,0.541000,2.150000,8.871000,6.588000,4.595000,3.005000
2002,13.800000,15.220000,0.583000,2.344000,8.947000,6.546000,4.584000,2.851000
2003,13.935000,15.084000,0.715000,2.738000,9.089000,6.471000,4.663000,2.790000
2004,14.162000,15.339000,0.607000,2.347000,9.383000,6.583000,4.634000,2.819000
2005,14.103000,14.877000,0.591000,1.862000,9.519000,6.427000,4.651000,2.713000
2006,13.702000,14.485000,0.648000,1.960000,9.797000,6.785000,4.565000,2.787000
2007,15.162000,14.162000,0.948000,1.751000,10.029000,7.007000,4.570000,2.786000
2008,14.808000,13.719000,0.803000,1.570000,9.894000,6.788000,4.543000,2.772000
2009,13.681000,11.232000,2.016000,1.707000,9.741000,6.736000,4.504000,2.785000
2010,13.785000,12.026000,2.454000,2.010000,9.990000,7.193000,4.419000,2.837000
2011,13.471000,12.035000,2.238000,1.468000,9.929000,7.280000,4.422000,2.862000
2012,13.575000,11.742000,1.723000,1.342000,9.958000,7.489000,4.434000,2.853000
2013,13.543000,11.777000,1.770000,1.277000,10.007000,7.606000,4.478000,2.875000
2014,14.232000,11.431000,1.767000,1.052000,10.221000,7.658000,4.574000,2.805000
2015,14.771000,11.721000,1.765000,0.947000,10.255000,7.474000,4.629000,2.720000
2016,14.472000,11.408000,1.749000,1.045000,9.989000,7.402000,4.677000,2.670000
2017,14.206000,11.795000,1.906000,0.922000,9.119000,7.510000,4.649000,2.569000
2018,14.055000,11.826000,1.901000,0.799000,9.362000,7.750000,4.665000,2.481000
2019,13.888000,11.386000,1.785000,0.600000,8.728000,7.691000,4.619000,2.390000
2020,13.162000,11.263000,1.712000,0.523000,8.348000,7.379000,4.628000,2.358000
2021,12.122000,11.643000,1.725000,0.551000,8.691000,7.447000,4.689000,2.310000
2022,12.086000,11.444000,1.446000,0.576000,8.712000,7.756000,4.574000,2.232000
2023,11.570000,10.838000,1.206000,0.636000,8.046000,7.650000,4.395000,2.211000
2024,11.022000,10.555000,1.136000,0.532000,7.524000,7.315000,4.409000,2.128000
