"YYYYMM","Raffineri Mongstad","Osebergfeltet","Yara Porsgrunn","Ekofiskområdet","Hammerfest LNG","Statfjordfeltet","Kårstø gassprosessering","Åsgardfeltet","Sunndal aluminiumsverk","Sleipnerfeltet"
2008,1.437633,1.239287,,1.002041,1.262769,0.967417,1.200731,1.008090,,0.861250
2009,1.549059,1.143426,,1.022500,0.755473,0.575534,1.129194,1.041109,,0.864904
2010,1.502751,1.148958,,0.973287,0.930729,0.655953,1.073963,0.950660,,0.757271
2011,1.594976,1.175544,,1.013519,0.880219,0.680208,1.046342,0.971470,,0.831284
2012,1.690518,1.184127,,0.991192,0.975081,0.726293,1.080477,1.015093,,0.776188
2013,1.672172,1.182726,0.951710,0.914508,0.845656,0.782883,1.101492,0.885222,0.571220,0.747885
2014,1.339464,1.165316,0.929869,1.024529,1.006530,0.830955,1.201769,0.972302,0.585806,0.753138
2015,1.576611,1.203222,1.188734,1.016617,1.023953,0.865272,1.177050,0.985493,0.641934,0.811911
2016,1.444810,1.207303,1.022278,0.874372,1.086596,0.835100,1.142023,1.052674,0.628487,0.762387
2017,2.318878,1.188498,0.720749,0.866711,1.013154,0.830137,1.212323,1.023318,0.677759,0.771867
2018,2.118531,1.119612,0.987437,0.906378,0.935176,0.817594,1.131453,0.916575,0.665493,0.808956
2019,1.711865,1.121866,0.903673,0.884643,0.943216,0.715983,1.054535,0.931946,0.670648,0.900045
2020,1.660061,0.978797,0.830927,0.913738,0.697683,0.799020,0.964804,0.890076,0.669784,0.874858
2021,2.008230,1.091030,0.734239,0.926119,0.086853,0.758757,0.839740,0.714739,0.683266,0.761353
2022,1.688141,1.034368,0.944237,0.815565,0.694899,0.677997,0.745034,0.774392,0.672266,0.699311
2023,1.670350,1.016315,0.964958,0.799887,0.879399,0.711138,0.729166,0.791823,0.661228,0.652617
2024,1.621874,0.993202,0.885076,0.858057,0.843341,0.764789,0.700496,0.682355,0.678725,0.593916
