"Year","Oil and gas","Industry","Energy supply","Buildings","Road traffic","Other transport","Agriculture","Other"
1990,8.254000,19.140000,0.341000,2.755000,7.426000,5.298000,5.050000,3.084000
1991,8.127000,17.620000,0.396000,2.490000,7.307000,5.109000,4.984000,2.953000
1992,8.728000,15.377000,0.390000,2.276000,7.338000,5.461000,4.956000,2.924000
1993,9.257000,16.325000,0.409000,2.308000,7.511000,5.664000,4.937000,2.968000
1994,10.053000,17.275000,0.466000,2.329000,7.408000,5.858000,4.944000,2.999000
1995,10.237000,16.556000,0.468000,2.369000,7.527000,6.554000,4.988000,3.042000
1996,11.139000,17.165000,0.560000,2.905000,7.902000,6.960000,5.021000,2.989000
1997,11.641000,16.854000,0.493000,2.469000,7.887000,7.246000,4.962000,3.066000
1998,11.308000,17.168000,0.538000,2.237000,8.116000,7.463000,4.954000,2.912000
1999,11.829000,16.960000,0.523000,2.478000,8.543000,7.526000,4.947000,2.891000
2000,13.172000,16.823000,0.485000,1.932000,8.370000,6.499000,4.798000,3.014000
2001,14.140000,16.301000,0.541000,2.150000,8.871000,6.588000,4.739000,3.014000
2002,13.809000,15.220000,0.583000,2.344000,8.947000,6.546000,4.725000,2.860000
2003,13.942000,15.083000,0.715000,2.738000,9.089000,6.471000,4.809000,2.808000
2004,14.169000,15.338000,0.607000,2.347000,9.383000,6.584000,4.774000,2.824000
2005,14.108000,14.876000,0.591000,1.862000,9.519000,6.428000,4.791000,2.720000
2006,13.706000,14.484000,0.648000,1.960000,9.797000,6.786000,4.697000,2.792000
2007,15.165000,14.161000,0.948000,1.751000,10.029000,7.008000,4.700000,2.786000
2008,14.810000,13.718000,0.803000,1.570000,9.894000,6.789000,4.675000,2.767000
2009,13.683000,11.231000,2.016000,1.707000,9.741000,6.737000,4.641000,2.785000
2010,13.786000,12.025000,2.454000,2.010000,9.990000,7.198000,4.553000,2.840000
2011,13.472000,12.034000,2.237000,1.468000,9.923000,7.289000,4.554000,2.872000
2012,13.575000,11.741000,1.723000,1.342000,9.958000,7.493000,4.563000,2.863000
2013,13.543000,11.783000,1.770000,1.276000,10.007000,7.605000,4.609000,2.888000
2014,14.231000,11.435000,1.767000,1.052000,10.221000,7.653000,4.708000,2.812000
2015,14.770000,11.717000,1.765000,0.947000,10.255000,7.470000,4.772000,2.722000
2016,14.472000,11.388000,1.749000,1.045000,9.990000,7.398000,4.823000,2.669000
2017,14.206000,11.797000,1.906000,0.922000,9.124000,7.506000,4.791000,2.587000
2018,14.055000,11.820000,1.901000,0.797000,9.367000,7.751000,4.797000,2.503000
2019,13.888000,11.372000,1.794000,0.600000,8.734000,7.692000,4.746000,2.398000
2020,13.162000,11.252000,1.732000,0.522000,8.350000,7.384000,4.756000,2.341000
2021,12.122000,11.638000,1.764000,0.545000,8.712000,7.435000,4.815000,2.294000
2022,12.085000,11.506000,1.493000,0.568000,8.703000,7.671000,4.706000,2.242000
2023,11.561000,10.812000,1.241000,0.640000,8.016000,7.637000,4.519000,2.227000
2024,11.026000,10.587000,1.184000,0.539000,7.526000,7.428000,4.531000,2.186000
