"YYYYMM","Others","Oseberg","Jotun","Snorre","Statfjord","Johan castberg","Melkøya"
1994,0.493520,0,0,0,0,0,0
1995,3.448520,0,0,0,0,0,0
1996,2.128687,0,0,0,0,0,0
1997,1.396000,0,0,0,0,0,0
1998,1.250280,0,0,0,0,0,0
1999,1.659607,0,1.106368,0,0,0,0
2000,19.760967,1.007663,0.763015,1.251664,4.655213,0,0
2001,15.551606,0.771800,0.134987,2.111052,3.583920,0,0
2002,11.408070,0.832714,0.189899,1.256627,3.027392,0,0
2003,12.796250,0.954134,0.206641,0.774098,2.515058,0,0
2004,13.099665,0.659012,0.992625,0.889540,2.540518,0,0
2005,13.540358,0.679840,0.259689,0.943355,2.498539,0,0
2006,12.829906,0.752779,0.249286,0.796033,2.137616,0,0
2007,12.765347,0.735992,0.208097,0.694166,1.965958,0,25.102682
2008,16.397732,0.686807,0.273656,0.596530,1.766717,0,16.896758
2009,12.195057,0.897666,0.190301,0.552907,1.244386,0,4.698911
2010,12.148544,0.881037,0.091674,0.680055,1.306810,0,3.401220
2011,12.057977,0.687330,0.067120,0.732071,1.277187,0,3.493146
2012,10.884799,0.640208,0.069654,0.801801,1.113782,0,4.108115
2013,14.529499,0.586583,0.124962,0.726355,0.981457,0,2.531512
2014,11.203898,0.726074,0.209977,0.638087,1.126148,0,2.927672
2015,12.414959,0.632153,0.193447,0.722561,1.202256,0,2.065745
2016,12.450476,0.594290,0.202519,0.595466,0.960009,0,3.069568
2017,7.982847,0.531145,0.164792,0.537615,1.070809,0,4.367598
2018,9.191111,0.480061,0.124392,0.480163,1.031386,0,1.586607
2019,7.535399,0.457013,0.069720,0.501082,0.842763,0,1.827782
2020,5.852758,0.408960,0.021057,0.389934,0.714131,0,2.486082
2021,5.335681,0.444118,0,0.440281,0.763316,0,1.587097
2022,5.164069,0.425415,0,0.517132,0.761238,0,3.116168
2023,5.203775,0.372871,0,0.503761,0.648030,0,1.475508
2024,3.748949,0.344913,0,0.441525,0.499203,0,1.190999
2025,2.795742,0.281051,0.385550,0.394955,0.524138,0.631396,2.550980
