"YYYYMM","TROLL","STATFJORD","EKOFISK","OSEBERG","ÅSGARD","GULLFAKS","ORMEN LANGE","SNORRE","SLEIPNER ØST","JOHAN SVERDRUP","HEIDRUN","ELDFISK","GULLFAKS SØR","VALHALL","DRAUGEN","KVITEBJØRN","GRANE","FRIGG","NORNE","SNØHVIT","Others"
1972,0,0,1.927020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,1.869520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,2.014168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,10.995331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,16.226786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,17.329532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954982,0,0,1.015273
1978,0,0,20.453443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.465964,0,0,9.946426
1979,0,0.259391,19.314479,0,0,0,0,0,0,0,0,2.197403,0,0,0,0,0,8.327156,0,0,14.220779
1980,0,3.429181,18.571765,0,0,0,0,0,0,0,0,7.666349,0,0,0,0,0,9.975444,0,0,16.154998
1981,0,7.928160,16.524955,0,0,0,0,0,0,0,0,6.725237,0,0,0,0,0,10.976182,0,0,12.497776
1982,0,11.396653,15.563559,0,0,0,0,0,0,0,0,5.778487,0,0.087469,0,0,0,10.208543,0,0,11.826745
1983,0,19.044128,15.309100,0,0,0,0,0,0,0,0,5.483441,0,1.134678,0,0,0,10.760003,0,0,10.280576
1984,0,22.436733,15.214391,0,0,0,0,0,0,0,0,5.065088,0,3.597703,0,0,0,10.113937,0,0,13.333832
1985,0,29.518377,13.237963,0,0,0,0,0,0,0,0,5.101516,0,3.562143,0,0,0,8.618264,0,0,13.948463
1986,0,38.943626,8.266697,0.290783,0,0.044483,0,0,0,0,0,5.106618,0,3.245094,0,0,0,8.232291,0,0,14.637706
1987,0,40.080379,8.613355,0.807807,0,4.158272,0,0,0,0,0,4.797894,0,4.435936,0,0,0,7.788797,0,0,18.598670
1988,0,39.583013,10.231464,1.125957,0,9.300619,0,0,0,0,0,6.578916,0,4.742697,0,0,0,6.990429,0,0,19.392508
1989,0,38.639247,12.826720,13.514304,0,16.700468,0,0,0,0,0,6.330873,0,5.456536,0,0,0,5.174034,0,0,21.029465
1990,1.051311,37.892239,13.795560,17.308728,0,15.979454,0,0,0,0,0,5.472087,0,5.450400,0,0,0,2.336249,0,0,25.795390
