"YYYYMM","Cargo","Fishing","Oil & Gas industry","Passengers","Other"
201205,180011.800000,53788.600000,162034.400000,131440,44037.800000
201206,173957.600000,57611.100000,154868.800000,213555.400000,43311.900000
201207,174583.500000,58008.900000,164943.700000,210009.700000,44655
201208,190624.400000,58349,167244.200000,172723.400000,46889.500000
201209,173381.400000,73506.300000,167183.700000,104721.600000,40062.600000
201210,191230.100000,79964.100000,171943.800000,90057.700000,38807.200000
201211,181550.500000,78083.200000,157878.800000,88610,32228.200000
201212,164999.600000,52632.300000,153325.300000,87929.800000,32743.600000
201301,164314.600000,71061,144605.400000,82894,33069.100000
201302,151047.200000,69024.900000,133350.700000,83291.100000,30398.600000
201303,167514.400000,62224.400000,141894.300000,97979.700000,33523.100000
201304,164767.100000,49112.800000,152491.600000,89442.700000,41346.400000
201305,169668.900000,46562.900000,169348.100000,140689.200000,43916.200000
201306,185600.800000,59719.300000,168383.700000,211368.200000,49017
201307,183223.900000,60283.800000,189698.200000,236445.200000,61050.500000
201308,196227.700000,65117.800000,168317.200000,195434.200000,53464.200000
201309,183068.400000,72888.700000,151719.400000,119676.100000,44306.500000
201310,182024.800000,84841.300000,170500.100000,95524.100000,49195.500000
201311,167019.400000,76544,161315.500000,86931.500000,43052.700000
201312,152411.800000,59412,167486.500000,92326.300000,38137.300000
201401,157008.800000,67203.500000,181446.600000,89442,42148.400000
201402,156649.600000,61919.800000,171737.900000,92304.800000,42410.500000
201403,169455.200000,66597.400000,182485.500000,108663.100000,46949.800000
201404,174139.300000,58459.800000,189593.000000,108761.100000,52793.200000
201405,182680.600000,58841.500000,184685.600000,144840.900000,57876.900000
201406,170715.200000,67257.700000,188617.200000,222705,62293.500000
201407,184381.900000,66704.100000,198247.600000,235414.300000,73089.500000
201408,183796.200000,73056.100000,183646.700000,188991.900000,62287.900000
201409,178273.900000,85597.900000,177928.000000,122729.900000,50868.700000
201410,189152.300000,87678.600000,195855,110260.600000,56729.500000
201411,176576.100000,82136.100000,171700.200000,103535.600000,44673.700000
201412,149499.800000,63502.800000,170206.800000,102585.000000,39683.100000
201501,152649.800000,67970.100000,177721.200000,96520.500000,40605.600000
201502,141787.900000,56341.800000,174147.700000,100803.700000,38221.500000
201503,168622.600000,69977.600000,191975.400000,118643.300000,44903.700000
201504,160703.900000,62003.600000,192798.700000,108122.900000,49564.800000
201505,177423.100000,62613.100000,206132.700000,152141.400000,62269.300000
201506,181152.800000,82498,213735,242254.300000,69623
201507,188511.400000,67064.700000,207014.200000,235309.800000,69902.300000
201508,190695.400000,72457.100000,204283.400000,199434.400000,63804.800000
201509,186370.900000,93806.200000,195104,133597.800000,53869.300000
201510,193324.100000,89831.500000,197296.300000,119387.700000,60248.400000
201511,179729.200000,84228.300000,196439.400000,120156.400000,53376.300000
201512,176161.300000,71411.700000,213727.100000,125981.500000,57822.700000
201601,166582.600000,76057.600000,185168.200000,114033.700000,54810.100000
201602,163616.100000,63215,170893.400000,116813.900000,51469.100000
201603,184279.300000,69643.400000,186120.500000,136298.600000,59290.100000
201604,198198.300000,71464.600000,208101,139167.900000,64929.500000
201605,187445.400000,66246.600000,191094.700000,179474.100000,61074.300000
201606,195335.500000,81527.400000,198338.400000,261767.500000,68275.800000
201607,200929.700000,69413.500000,197585.100000,240260.500000,77053.900000
201608,207728.400000,75231.100000,184288.600000,220922.100000,81304.800000
201609,200503.500000,85229.700000,172250.200000,146225.200000,71773.300000
201610,197760.800000,92009.900000,177287.300000,122218.300000,71984.600000
201611,182161.800000,74588.600000,167487.800000,119341.100000,61307.100000
201612,167113.900000,57789.600000,175071,117779.600000,57322.100000
201701,167077.400000,70175.700000,180079,110861.300000,59005.100000
201702,161609.500000,63609.900000,163930.300000,113764.800000,51587.600000
201703,202871.700000,71001.100000,214373.300000,145302.700000,64458.700000
201704,191810.700000,65185.300000,180963.100000,127540.000000,64535.500000
201705,210499,66029.500000,190618.300000,177557.400000,73014.600000
201706,201291.700000,76780.800000,184664.700000,274652,79866.900000
201707,237749.500000,72508.800000,209654.400000,296723.100000,88690.800000
201708,206055.400000,70037.900000,189806.200000,227926.700000,86379.500000
201709,206811.500000,89613.100000,180358.600000,152505,75998.800000
201710,213914.200000,95576.300000,195899.400000,138899.700000,80351
201711,189229.800000,86263.500000,172730.500000,121063.300000,68167.600000
201712,185478.500000,67357.700000,181918.700000,120503.400000,71814.700000
201801,186370.700000,83123.500000,204401.900000,123159.500000,76126.200000
201802,174310.200000,71933.800000,195453.900000,116077,66692
201803,193491.100000,84309.600000,218487.700000,137298.200000,70603.500000
201804,195273.100000,62210.800000,216026.800000,127729.800000,68976.700000
201805,203295.100000,71347.400000,211136.700000,193655.300000,85245.700000
201806,209538.900000,84230.300000,218447.500000,275697.900000,84740.700000
201807,208527.400000,70891.400000,215631.300000,285077,91216
201808,213276.300000,79995.400000,240931.700000,256805.900000,87687.600000
201809,192286.400000,84841.500000,223617,159467.400000,77074.500000
201810,201251.100000,85041.600000,232621.900000,135971.700000,83347.700000
201811,187460.300000,83748.700000,235225.200000,124600,76091
201812,182375.600000,65523.300000,231716.600000,124932.600000,68656
201901,182636.800000,83290.400000,249148.700000,119273.800000,72781.200000
201902,163219.300000,70643.500000,221200.500000,126055.100000,66269.800000
201903,181587.400000,67683,264332.800000,142026.600000,78157.400000
201904,191350.200000,65230.200000,264983.500000,135778.200000,78693.500000
201905,197612.400000,68099.700000,268233.100000,191581.700000,88372.700000
201906,202305.200000,84239.200000,259512.200000,286480.900000,93635.300000
201907,195757,73775.300000,266734.700000,299611.100000,100908.600000
201908,195879.200000,81647.400000,250747.800000,246972.400000,97238
201909,190192.600000,80436.400000,239563.800000,179702.200000,84723.900000
201910,189550.500000,98526.500000,245247.300000,148514.500000,86888.800000
201911,186811.800000,86128.700000,272444.200000,131347.100000,86240.900000
201912,174836.300000,62361.200000,278131.200000,125986.100000,86073.300000
202001,165473.300000,81237.100000,289846.700000,117176.900000,86633.800000
202002,153813.900000,73982.400000,284850.500000,128070.600000,79950
202003,177468.900000,69133.300000,300525.800000,121437.200000,87710.700000
202004,177778.800000,69914.100000,277943.400000,97714.700000,86731.900000
202005,184658.400000,82084,284799.800000,112540.200000,97697.700000
202006,176877.100000,89652.400000,283885.800000,127786.000000,97223.500000
202007,189557.100000,81504.700000,268645.800000,145328.600000,103280.600000
202008,190934.900000,88959.700000,239829,137699.400000,99958.100000
202009,184019.000000,88325.700000,232274.200000,129113.100000,90214
202010,205403.100000,112855.400000,256527.900000,122378.700000,96088
202011,177813.800000,88469.900000,271094.700000,110427,85474.600000
202012,173096,70590.800000,278048.200000,110698.900000,80622.100000
202101,177592.400000,93137.400000,290561.700000,115966.600000,80452.100000
202102,159494.500000,88668.600000,261534.400000,106301.600000,77981.200000
202103,183686.900000,82942.300000,305364.700000,116601,90196.400000
202104,177617,71870.600000,282255.200000,110690.100000,105509.600000
202105,192411.200000,75774.500000,298341.400000,125584.300000,119427.700000
202106,188714.100000,81187.300000,272171.600000,128638.200000,121875.400000
202107,201645.800000,81500.300000,255167.900000,150932.900000,141619.100000
202108,196876.700000,110345.600000,227566.600000,147400.100000,130532.800000
202109,180016.400000,92147.800000,220562.300000,149456.900000,114803.900000
202110,183297.900000,96918.100000,250113.400000,138920.500000,119225.700000
202111,166111.300000,80980.700000,276106.600000,135291.300000,114904.400000
202112,167534.300000,61806.800000,324371.000000,129070.700000,103299.300000
202201,155723.300000,74415.300000,315304.400000,120373.300000,99130.900000
202202,143789.800000,73692.600000,272211.300000,119415.800000,101499.100000
202203,157605.700000,84764.300000,334814.900000,146807.800000,122547.100000
202204,158036.300000,72955.800000,318330.300000,150108.600000,111968.700000
202205,167330.800000,84021.100000,317686.200000,210644.500000,118836.100000
202206,169235.300000,79633.600000,303764.800000,292666.500000,119669.300000
202207,168481.800000,81382.600000,249370.200000,309056.700000,117544
202208,162873.600000,100727.900000,225182.200000,266876.200000,114284.400000
202209,162480.700000,100224.600000,228552.900000,215180.300000,110958
202210,167879.500000,95794.800000,248616.800000,160066.400000,114825.300000
202211,159821.200000,83442.100000,282014.500000,124514.700000,104981.700000
202212,156173.500000,64061.800000,284950.600000,125668.800000,95462.900000
202301,155305.800000,82550.800000,292151.300000,126687.700000,96067.400000
202302,139127.200000,70342.200000,289187.800000,108156.500000,94302.800000
202303,174069.400000,88537,316094.900000,139379.800000,123511.500000
202304,170147.200000,78272,318814.700000,143521.800000,111683.700000
202305,170016.100000,80072.200000,313120,219156.100000,110654.200000
202306,177703.900000,86860,285683.200000,328999.800000,116078.400000
202307,179525.100000,78286.700000,278433,339148.800000,122564.200000
202308,180832.400000,108351.100000,237414.300000,306739.800000,126954.300000
202309,174680.200000,84857.400000,240963,214322.400000,113973.900000
