"Year","PM2024","PM2021","PM2017","RNB1996","RNB2001","RNB2007","RNB2013","RNB2014"
1999,229.900000,229.700000,229.900000,253.715751,228.732311,230.700000,229.842288,229.722057
2000,241.300000,243.600000,241.300000,259.647534,243.068383,244.400000,243.677559,243.452162
2001,251.600000,251.500000,251.600000,256.013703,259.413155,252.300000,251.873991,251.512081
2002,258.300000,258.400000,258.300000,240.535135,274.369103,259,258.465368,258.344560
2003,261.700000,261.700000,261.700000,229.506027,277.591957,262.500000,262.487949,261.340715
2004,264.200000,264.400000,264.200000,212.573451,279.332178,264,263.659150,264.033813
2005,257.600000,257.700000,257.600000,206.331535,278.922561,257.300000,257.151128,257.676860
2006,249.100000,249.600000,249.100000,203.531557,271.675170,248.800000,249.034056,249.335044
2007,237.600000,238.300000,237.600000,198.260465,261.846344,243.100000,237.844909,238.078091
2008,243,243.600000,243,194.967149,246.009062,261.800000,242.772264,243.302203
2009,240,240.600000,240,189.377170,235.803403,264.400000,240.474525,240.380262
2010,230.600000,231.100000,230.600000,184.169236,232.262471,259.700000,230.347452,230.717183
2011,218.700000,219.600000,218.700000,181.938509,223.035339,258.100000,219.479882,219.628286
2012,224.600000,226.300000,224.600000,178.612468,215.868087,267.500000,223.922944,225.854968
2013,213.700000,215.400000,213.700000,173.761983,212.389654,272.100000,212.877077,215.552063
2014,216.400000,217.800000,216.200000,170.692631,204.353254,260.600000,220.181932,214.433037
2015,227.800000,229.900000,228,165.696766,198.608724,260.300000,224.799724,214.895340
2016,230.700000,232.900000,230.600000,159.515707,194.333062,246.900000,224.960028,216.836860
2017,236.800000,239,229.500000,155.294058,191.480892,247.900000,225.217700,222.345142
2018,227.300000,229.500000,222.800000,150.124468,189.974777,247.300000,228.720568,224.345675
2019,215.400000,215.600000,218.100000,146.099743,182.538970,233.100000,233.970202,224.512502
2020,226.900000,233.400000,225.300000,142.129663,175.385449,228.200000,245.508890,226.660273
2021,230.800000,242.200000,231.600000,137.963153,171.191802,217.900000,248.841394,228.462988
2022,232.800000,250.200000,228.800000,132.490608,163.813272,218.600000,241.188784,231.610938
2023,233.200000,254.100000,230.700000,128.177813,160.759841,203.900000,237.264080,231.129396
2024,233.100000,256.100000,235.600000,122.976489,156.815323,194.200000,232.721085,231.080896
2025,243,254.900000,230.900000,118.394244,154.698230,182.800000,223.566609,226.954129
2026,237.700000,251.900000,220.200000,114.225924,151.814522,169.200000,212.718757,222.339961
2027,231.500000,244.500000,210.400000,109.736789,149.963339,176.100000,205.286694,216.167778
2028,223.900000,234,199.700000,,147.415566,168.900000,192.700949,208.478611
2028.000459,,,,105.624115,,,,
2028.999725,,,,101.879699,,,,
2029,210.400000,220.500000,192.900000,,144.557429,161.700000,182.852406,202.721123
2030,197.900000,206.800000,189.800000,98.139778,143.065037,150.700000,168.560146,197.880080
2031,187.600000,194.700000,187,,,,159.854906,193.337464
2032,179.600000,183.900000,182.300000,,,,152.601102,189.555904
2033,175.100000,173.900000,179.600000,,,,145.502904,185.774354
2034,171.700000,165.100000,173.400000,,,,141.407090,182.489480
2035,167.100000,156.800000,166.300000,,,,137.038226,177.940156
2036,161.800000,150,160.900000,,,,137.264273,172.412851
2037,156.900000,143.300000,156.700000,,,,135.303055,167.506975
2038,151.300000,136.400000,152.900000,,,,135.231568,163.052236
2039,144,130.200000,148.500000,,,,135.523206,157.125393
2040,137,124.100000,143.300000,,,,134.674098,152.847342
2041,129.700000,118.400000,,,,,134.008828,147.738900
2042,122.500000,112.900000,,,,,132.399909,142.158966
2043,115.900000,107.800000,,,,,128.622982,136.197505
2044,109.900000,103,,,,,125.387145,131.434897
2045,105,98.400000,,,,,121.297848,126.157011
2046,100.300000,94.600000,,,,,117.839791,122.043213
2047,96.100000,91.300000,,,,,112.779445,116.430981
2048,91.800000,87.800000,,,,,109.772828,111.831376
2049,87.400000,84.800000,,,,,105.681749,105.722900
2050,83.200000,82.500000,,,,,102.095491,100.327600
2051,79.300000,,,,,,,
2052,76.200000,,,,,,,
2053,73.300000,,,,,,,
2054,71.300000,,,,,,,
2055,69.100000,,,,,,,
2056,67.100000,,,,,,,
2057,64.900000,,,,,,,
2058,62.600000,,,,,,,
2059,60.100000,,,,,,,
2060,57.600000,,,,,,,
