"YYYYMM","Total"
201001,1.025202
201002,0.950520
201003,1.020266
201004,0.963197
201005,0.961197
201006,0.948805
201007,0.966158
201008,0.828948
201009,0.842547
201010,0.986476
201011,0.997637
201012,1.153212
201101,1.002986
201102,0.929058
201103,1.038147
201104,0.988444
201105,0.795011
201106,0.991291
201107,0.919310
201108,0.916701
201109,0.892775
201110,0.970788
201111,0.934237
201112,1.109732
201201,0.990859
201202,0.948374
201203,1.009356
201204,0.988642
201205,0.966737
201206,0.998346
201207,0.942996
201208,0.909152
201209,0.843171
201210,0.939402
201211,0.935700
201212,1.086860
201301,0.982634
201302,0.885629
201303,0.934345
201304,0.904776
201305,0.989359
201306,0.986869
201307,0.994320
201308,0.968657
201309,0.848980
201310,0.931579
201311,0.932619
201312,1.115295
201401,1.005836
201402,0.913929
201403,1.010469
201404,1.002316
201405,0.830023
201406,1.131007
201407,1.032443
201408,1.004938
201409,1.021288
201410,1.049713
201411,1.000227
201412,1.146895
201501,1.090440
201502,0.941907
201503,1.035897
201504,1.035925
201505,1.056386
201506,1.089912
201507,1.044809
201508,1.016109
201509,0.998112
201510,1.069234
201511,1.024965
201512,1.182355
201601,1.097276
201602,1.002174
201603,1.109358
201604,1.053886
201605,1.060792
201606,0.982118
201607,1.076775
201608,0.989221
201609,0.821332
201610,1.047390
201611,1.094972
201612,1.166139
201701,1.132757
201702,0.968255
201703,1.042964
201704,1.040852
201705,1.027950
201706,1.035176
201707,1.052649
201708,1.014151
201709,0.983583
201710,1.055529
201711,1.015105
201712,1.091250
201801,1.061915
201802,0.972975
201803,1.091759
201804,0.997561
201805,0.949744
201806,1.032270
201807,1.044502
201808,1.027678
201809,0.879126
201810,1.036159
201811,1.027168
201812,1.087314
201901,1.054523
201902,0.928828
201903,1.030483
201904,1.000337
201905,0.989671
201906,0.957177
201907,1.016920
201908,1.020234
201909,0.983109
201910,1.060975
201911,1.022104
201912,1.132866
202001,1.045773
202002,0.971447
202003,1.067855
202004,1.015024
202005,0.991026
202006,0.934914
202007,0.963911
202008,0.950521
202009,0.848044
202010,0.820305
202011,0.850965
202012,0.956857
202101,0.914041
202102,0.816968
202103,0.906352
202104,0.864803
202105,0.769730
202106,0.843439
202107,0.945044
202108,0.890581
202109,0.801457
202110,0.880669
202111,0.848890
202112,0.919755
202201,0.899882
202202,0.798372
202203,0.869605
202204,0.829439
202205,0.872932
202206,0.934350
202207,0.943563
202208,0.933039
202209,0.798337
202210,0.908267
202211,0.868150
202212,0.963556
202301,0.903007
202302,0.794112
202303,0.904105
202304,0.890761
202305,0.852785
202306,0.853574
202307,0.914554
202308,0.891506
202309,0.738319
202310,0.854728
202311,0.846014
202312,0.912494
202401,0.891238
202402,0.820299
202403,0.875004
202404,0.839920
202405,0.827566
202406,0.845487
202407,0.842648
202408,0.804499
202409,0.586892
202410,0.796103
202411,0.789060
202412,0.849841
202501,0.801436
202502,0.739210
202503,0.815746
202504,0.814017
202505,0.759830
202506,0.721800
202507,0.831644
202508,0.898349
