"YYYYMM","Diesel","Natural gas"
201001,0.227024,15.776176
201002,0.272190,14.835744
201003,0.289321,16.008863
201004,0.236345,15.254587
201005,0.332092,15.156921
201006,1.748176,12.978037
201007,0.251164,14.543889
201008,0.292253,12.667880
201009,0.338129,12.625201
201010,0.372729,15.486834
201011,0.230367,15.393507
201012,1.979175,15.825713
201101,0.305377,15.587023
201102,0.224498,14.871352
201103,0.329591,15.826400
201104,0.315316,15.059171
201105,0.324846,12.245619
201106,1.855262,12.611750
201107,0.620450,13.890361
201108,0.240715,14.522710
201109,0.407510,13.182479
201110,0.334143,14.674433
201111,0.274047,14.863337
201112,2.011784,15.848880
201201,0.268416,15.741114
201202,0.306131,15.008708
201203,0.330422,15.754041
201204,0.282896,15.314599
201205,0.262321,15.040069
201206,1.713092,13.639146
201207,0.551418,13.984410
201208,0.246595,14.568057
201209,0.432807,12.745552
201210,0.332130,14.826860
201211,0.311604,14.439861
201212,1.990230,15.387958
201301,0.190281,15.071535
201302,0.484483,12.987703
201303,0.353975,14.111090
201304,0.370816,13.554648
201305,0.563937,15.025616
201306,1.563304,13.162886
201307,0.445862,15.692709
201308,0.419119,14.759758
201309,0.635400,12.629918
201310,0.447468,14.654726
201311,0.383298,14.858516
201312,1.944006,15.855761
201401,0.228947,15.888936
201402,0.267098,14.196913
201403,0.324752,16.503619
201404,0.510108,15.489446
201405,0.629194,12.408777
201406,1.942060,14.268551
201407,0.375952,16.567307
201408,0.381360,15.556201
201409,0.502316,15.698653
201410,0.307210,16.941809
201411,0.538916,15.741388
201412,1.451445,16.862082
201501,0.301286,16.674408
201502,0.361981,14.918264
201503,0.289642,16.582616
201504,0.419965,16.100301
201505,0.524010,16.237470
201506,0.978769,16.337271
201507,0.319068,16.576234
201508,0.252507,16.281596
201509,0.265191,15.711723
201510,0.309981,16.972302
201511,0.274226,16.154242
201512,1.513811,17.270179
201601,0.512286,17.316075
201602,0.401420,16.329984
201603,0.368095,17.021151
201604,0.453291,16.295735
201605,0.437841,16.404611
201606,1.265550,14.350672
201607,0.430136,16.996318
201608,0.438696,15.450290
201609,0.488452,12.564087
201610,0.502922,16.789366
201611,0.404552,16.717972
201612,0.959641,17.313497
201701,0.373208,17.275248
201702,0.328137,15.466738
201703,0.310741,17.108415
201704,0.257586,16.811322
201705,0.443648,16.231463
201706,0.852821,15.274975
201707,0.365739,17.169471
201708,0.315165,16.417573
201709,0.400563,15.598991
201710,0.448354,17.034166
201711,0.495699,16.116491
201712,1.123737,16.863259
201801,0.320509,17.472962
201802,0.358951,15.599151
201803,0.496400,17.099385
201804,0.404279,16.155461
201805,0.671844,14.402198
201806,1.081390,15.581373
201807,0.227724,16.986591
201808,0.306232,16.871224
201809,0.434584,14.105815
201810,0.453181,16.569767
201811,0.347124,16.345910
201812,0.960252,16.796685
201901,0.297357,16.881597
201902,0.316111,15.260702
201903,0.285415,16.734253
201904,0.376077,16.283736
201905,0.547688,15.747952
201906,1.129847,14.332993
201907,0.390231,16.261480
201908,0.314861,16.448912
201909,0.362187,15.429621
201910,0.367782,16.860809
201911,0.316044,16.402039
201912,1.234366,17.356412
202001,0.362283,17.047804
202002,0.322514,15.748713
202003,0.370503,16.982426
202004,0.302006,16.609326
202005,0.317868,16.121384
202006,0.582857,14.055514
202007,0.349714,15.766971
202008,0.444398,15.310348
202009,0.370837,13.309810
202010,0.400341,13.072221
202011,0.241883,13.794049
202012,0.924362,14.907249
202101,0.230778,15.100008
202102,0.281424,13.283761
202103,0.305430,14.837925
202104,0.376376,13.985387
202105,0.355442,12.358410
202106,1.036984,12.541437
202107,0.322240,15.079053
202108,0.351785,14.471428
202109,0.417377,12.811827
202110,0.465054,14.075154
202111,0.496714,13.521954
202112,0.774790,14.465981
202201,0.370821,14.532387
202202,0.314763,12.939222
202203,0.437735,13.786013
202204,0.433855,13.109688
202205,0.533013,13.348921
202206,1.266583,13.173672
202207,0.330895,15.122682
202208,0.348555,15.097655
202209,0.534936,12.655703
202210,0.596002,14.322273
202211,0.546342,13.943093
202212,1.113825,14.755914
202301,0.402542,14.395968
202302,0.357101,12.996622
202303,0.336146,14.665054
202304,0.367740,14.572496
202305,0.460140,13.417522
202306,1.059053,12.772490
202307,0.380624,14.929674
202308,0.274174,14.686121
202309,0.483409,11.546215
202310,0.360586,13.909224
202311,0.314333,13.784551
202312,0.717719,14.578982
202401,0.209140,14.910994
202402,0.225689,13.617917
202403,0.292820,14.586528
202404,0.319253,13.725893
202405,0.335019,13.623487
202406,0.923140,13.116552
202407,0.309903,14.052341
202408,0.337454,13.231069
202409,0.328501,9.471888
202410,0.331461,12.909510
202411,0.252704,13.005265
202412,0.951479,13.344337
202501,0.228683,13.197058
202502,0.288688,12.138470
202503,0.218717,13.498729
202504,0.199369,13.250383
202505,0.350708,12.228949
