"YYYYMM","Kollsnes","Nyhamna","Kårstø","Melkøya"
200001,1.498724,0,68.663226,0
200002,1.448132,0,63.379837,0
200003,1.508342,0,67.687064,0
200004,1.190632,0,64.954388,0
200005,1.047745,0,58.386910,0
200006,0.978998,0,57.177915,0
200007,0.971830,0,62.965827,0
200008,1.052727,0,39.309716,0
200009,1.149711,0,69.289356,0
200010,1.131387,0,50.771127,0
200011,1.571177,0,45.465297,0
200012,1.614205,0,52.892618,0
200101,1.431594,0,49.898412,0
200102,1.105355,0,39.286085,0
200103,1.166511,0,57.211358,0
200104,0.946413,0,55.356129,0
200105,1.037111,0,65.862053,0
200106,0.936409,0,59.221871,0
200107,0.977346,0,71.165787,0
200108,1.076008,0,51.185248,0
200109,1.154561,0,55.116751,0
200110,1.101140,0,66.880761,0
200111,1.403325,0,63.438265,0
200112,1.624039,0,64.525128,0
200201,1.634292,0,67.057439,0
200202,1.499377,0,70.202114,0
200203,1.332475,0,71.122026,0
200204,1.578057,0,69.983378,0
200205,1.158059,0,71.777457,0
200206,1.123123,0,62.134993,0
200207,1.095884,0,72.879907,0
200208,1.010617,0,42.205948,0
200209,1.309288,0,32.908754,0
200210,1.505068,0,56.608347,0
200211,1.527578,0,60.644616,0
200212,1.577022,0,69.509499,0
200301,1.706265,0,78.901337,0
200302,1.606389,0,68.171347,0
200303,1.678913,0,89.571440,0
200304,1.294351,0,84.379936,0
200305,1.167708,0,81.698079,0
200306,0.742109,0,74.033272,0
200307,1.237837,0,81.203936,0
200308,0.794291,0,72.304745,0
200309,1.040445,0,61.935769,0
200310,1.170599,0,78.705446,0
200311,1.023605,0,80.794930,0
200312,1.589041,0,84.757396,0
200401,1.619132,0,83.868543,0
200402,1.499100,0,93.978784,0
200403,1.520275,0,104.638614,0
200404,1.347200,0,85.459178,0
200405,1.262096,0,95.559933,0
200406,0.906544,0,73.047198,0
200407,0.812957,0,67.421969,0
200408,0.833648,0,38.820182,0
200409,1.117805,0,63.629830,0
200410,2.295067,0,92.492359,0
200411,2.622901,0,91.039575,0
200412,3.587806,0,100.133066,0
200501,3.530785,0,100.859263,0
200502,3.635542,0,86.554962,0
200503,3.927495,0,87.773777,0
200504,3.838881,0,50.211212,0
200505,3.758590,0,51.223290,0
200506,1.734898,0,58.055680,0
200507,3.315146,0,51.081074,0
200508,3.350144,0,44.231315,0
200509,3.546865,0,54.440714,0
200510,4.022728,0,88.537364,0
200511,4.044042,0,99.829876,0
200512,4.205682,0,104.090254,0
200601,4.373166,0,82.867828,0
200602,3.586471,0,64.758529,0
200603,4.678530,0,81.783116,0
200604,3.093377,0,86.251492,0
200605,4.280224,0,89.375064,0
200606,4.195167,0,68.910387,0
200607,3.914968,0,88.366482,0
200608,3.519542,0,92.013278,0
200609,3.906423,0,81.244804,0
200610,4.084580,0,110.488356,0
200611,4.580750,0,114.031337,0
200612,4.774905,0,119.462946,0
200701,4.139595,0,124.474506,0
200702,3.667259,0,115.915826,0
200703,4.297682,0,111.048108,0
200704,4.302495,0,117.288832,0
200705,3.187355,0,105.145786,0
200706,3.202872,0,102.862993,0
200707,3.013897,0,119.334573,0
200708,2.283361,0.150429,114.259188,16.573864
200709,2.627421,5.017906,84.626898,50.835925
200710,3.816898,9.333043,122.120286,55.624950
200711,3.625929,6.602253,117.089478,23.926643
200712,3.618367,8.211685,116.831746,20.932849
200801,3.955814,6.788988,121.230470,26.225447
200802,4.382156,5.922342,107.970149,70.772988
200803,4.958203,6.665884,129.008317,45.965764
200804,4.632619,2.809348,110.697174,50.549370
200805,4.160379,1.842838,125.329935,22.621572
200806,3.380246,1.828224,129.950805,3.183757
200807,3.906581,2.389414,133.565514,50.328466
200808,1.277501,1.858215,108.996249,66.709545
200809,1.770368,2.287423,80.613079,72.474408
200810,3.066538,2.257357,109.504506,24.490247
200811,1.996008,2.253725,98.871979,77.957239
200812,2.818349,2.532449,93.836021,74.861437
200901,3.110879,2.831929,93.625528,63.980273
200902,3.720751,2.362170,84.868700,69.772942
200903,3.999792,2.902187,114.985478,76.255819
200904,3.703064,2.821940,109.165081,59.590795
200905,2.639239,2.851951,109.115743,66.030617
200906,1.961602,2.671560,106.907546,62.265373
200907,4.035271,2.613814,104.634081,76.504828
200908,4.066035,3.005822,123.401635,39.201330
200909,4.303819,2.953105,96.709885,0
200910,3.958659,3.406382,120.864178,0
200911,4.378334,3.454948,116.698505,20.440702
200912,4.611582,3.347438,131.874075,46.977711
201001,4.534067,3.826617,80.932849,82.028143
201002,4.549143,4.059440,96.693943,72.561207
201003,5.011200,4.005378,85.086137,80.583781
201004,4.635811,4.124699,79.895289,74.412701
201005,4.283094,3.772930,81.448297,46.320214
201006,4.503870,3.668305,75.655591,71.955439
201007,4.519742,2.973482,77.716884,70.000574
201008,3.526960,3.043532,47.854779,61.057926
201009,0.976333,3.006762,58.499084,52.551959
201010,2.405563,3.400139,79.428609,77.651791
201011,2.176502,3.142361,86.027905,73.024487
201012,4.270093,1.513235,87.686312,54.581790
201101,4.270199,3.534734,85.731416,64.875389
201102,3.876910,2.864628,81.997176,77.434993
201103,4.232676,3.614234,82.716062,78.365866
201104,2.838849,3.267048,80.813456,81.503187
201105,1.362121,3.249594,85.273028,6.625580
201106,3.423696,1.934184,74.223094,28.902925
201107,3.869969,3.090527,82.381819,43.852415
201108,2.951826,3.373533,87.424928,75.027568
201109,3.569982,3.243609,78.698962,72.947339
201110,4.269533,3.226062,82.011874,61.210274
201111,4.663640,3.158450,77.461051,76.701246
201112,4.771856,3.472319,87.651665,82.564132
201201,5.303860,3.214404,90.949987,69.603032
201202,4.842123,3.135920,82.419310,74.320881
201203,5.018778,3.212140,88.041329,78.224657
201204,4.471908,3.062968,80.558712,72.408624
201205,4.474019,3.136591,79.198451,45.522294
201206,4.146281,3.307038,79.584840,65.473233
201207,4.417400,3.362347,90.807222,38.868410
201208,2.386113,3.030344,85.532568,66.699463
201209,1.224546,2.946572,75.720218,72.980821
201210,4.029131,2.830486,79.864738,80.039824
201211,4.464515,2.980312,85.054836,66.574672
201212,4.462447,3.679158,91.650184,81.262640
201301,4.838060,3.054515,87.308523,68.865343
201302,3.571819,2.700688,78.660514,22.707964
201303,4.586028,2.949482,89.660003,15.338348
201304,4.587512,2.782247,84.989839,27.816133
201305,4.527613,2.850352,92.003630,75.350349
201306,4.270509,2.684612,89.552640,57.637562
201307,4.182772,2.923593,103.061115,75.912723
201308,1.621687,3.178602,104.723675,78.451321
201309,3.352662,2.643158,62.630798,77.446058
201310,4.535130,2.761973,82.662076,78.560419
201311,4.371937,2.936396,80.243508,78.825254
201312,4.510817,2.852007,88.104155,80.382358
201401,4.754791,2.692794,92.617863,79.791982
201402,4.163552,2.481325,83.133219,73.624383
201403,4.952197,2.834662,100.833711,83.227804
201404,4.268539,2.749803,86.111481,80.739172
201405,4.299513,2.734517,85.652442,9.584035
201406,3.190431,2.639049,94.261475,55.147248
201407,3.668370,3.050268,96.845852,81.412944
201408,3.542589,2.952046,89.308147,77.946606
201409,2.647136,2.832899,91.220079,83.474251
201410,4.520333,2.660173,105.240126,84.155157
201411,4.367404,2.847347,96.770133,77.885091
201412,4.856979,2.659789,97.942989,80.641654
201501,4.279215,2.799394,98.390985,78.182330
201502,4.018326,2.354048,81.738931,71.927132
201503,4.839505,2.794519,88.863654,73.485827
201504,2.235268,2.620944,85.146532,81.834611
201505,4.551963,1.618761,92.530745,83.779776
201506,4.681735,0.336746,87.593839,75.358602
201507,4.529474,2.520334,90.715932,81.401884
201508,4.556589,2.573282,87.377973,79.380717
201509,3.867933,2.832935,83.560792,75.824347
201510,3.706123,2.852989,96.592273,80.289972
201511,3.546273,2.582771,90.020301,68.199775
201512,4.249418,2.909486,94.319754,87.188895
201601,5.071799,2.811576,97.340087,85.885427
201602,4.733210,2.431635,91.717403,79.983759
201603,4.951078,2.792510,91.321553,87.380133
201604,4.485234,2.412723,85.979678,80.100807
201605,3.858736,2.654111,89.610615,83.194097
201606,2.775863,2.752974,85.288841,79.069558
201607,4.024225,2.672289,93.490219,81.995251
201608,3.638122,2.430503,81.710946,79.695634
201609,2.037369,2.365937,48.383372,76.042341
201610,4.254430,2.721080,94.435575,78.119369
201611,4.773443,2.424299,91.552557,77.686698
201612,4.677050,2.554983,95.534143,78.671166
201701,4.679143,2.665025,96.558953,77.325662
201702,4.397194,2.401760,81.952245,70.790320
201703,4.864997,2.377689,94.058878,73.920336
201704,4.638920,2.330193,91.649269,75.630172
201705,4.406899,2.142881,96.419600,29.440038
201706,2.902596,2.355591,87.387220,50.930847
201707,4.729272,2.455089,94.491102,78.784203
201708,4.374636,2.322972,86.447329,77.295490
201709,4.183903,2.713041,80.610417,69.960420
201710,4.662454,2.687417,93.999027,77.092231
201711,4.589461,2.398985,88.045772,76.506525
201712,4.903263,2.351336,93.509616,77.506255
201801,4.974999,2.470343,94.335544,79.846788
201802,4.289123,2.236551,82.463353,71.740229
201803,5.047474,2.346723,91.927163,78.236530
201804,3.778120,2.656861,83.063714,78.428446
201805,4.337295,2.575536,90.535486,73.816805
201806,4.681845,2.603594,86.685686,73.156218
201807,4.930618,2.265234,89.302234,74.523394
201808,4.496558,2.910023,91.252013,73.744817
201809,4.066287,2.476262,76.078638,73.952588
201810,4.900080,2.519601,91.653494,75.591877
201811,4.446410,2.273553,86.576108,73.390869
201812,4.334615,2.311688,87.941378,78.273801
201901,4.892431,2.252509,76.541611,68.381839
201902,4.100079,2.288456,66.640264,73.960528
201903,4.896639,2.232848,72.352591,80.298331
201904,3.636207,2.510805,69.909254,79.273409
201905,3.765992,2.394363,68.596664,74.810003
201906,4.164439,2.318303,70.181683,72.246886
201907,4.483189,2.087111,69.784247,68.245529
201908,2.936942,2.257257,78.437072,75.935818
201909,3.129290,0.637011,78.919369,74.682870
201910,4.088681,2.232611,86.238472,75.052864
201911,4.681754,2.065031,77.260245,78.457905
201912,5.072489,2.243213,80.530567,79.676454
202001,5.083386,2.186079,78.063484,80.274520
202002,4.606694,2.108968,74.838425,74.866155
202003,4.943117,2.147660,83.323887,76.685903
202004,4.114822,2.222588,80.740327,75.423150
202005,3.854867,2.466285,79.233146,44.114628
202006,4.335780,2.129348,71.498929,35.139396
202007,4.941426,2.262245,74.054949,76.154342
202008,4.684210,2.307262,74.627260,75.929142
202009,4.152424,2.196920,68.475282,42.105345
202010,2.621792,2.548220,69.529113,0.005362
202011,4.012553,2.382638,74.832830,0.007088
202012,4.656120,2.386413,78.821746,0.003117
202101,4.571898,2.116190,78.101481,0.000040
202102,4.071562,1.849332,64.539476,0.166765
202103,4.582744,2.283267,76.949725,0
202104,4.130259,2.321402,76.545192,0
202105,4.415325,2.674387,52.830673,0
202106,3.515229,2.313078,57.344544,0
202107,3.917505,2.841523,72.591373,0
202108,4.184713,2.833626,73.952098,0
202109,3.246598,2.586304,67.732586,0
202110,4.830463,2.579005,69.388420,0
202111,4.427205,2.348750,66.812155,0
202112,4.674521,2.233075,70.746442,0
202201,4.321023,2.185612,69.378240,0
202202,4.044824,2.029375,59.293096,0
202203,4.237322,2.358697,65.386439,0.014561
202204,4.017191,2.001847,62.151199,3.983919
202205,4.217952,2.240240,63.305925,24.183044
202206,3.762948,2.094361,59.792848,73.283895
202207,4.509950,1.956451,59.457439,73.241111
202208,3.769401,2.142196,58.401350,81.722537
202209,2.711203,2.114685,58.946822,81.678867
202210,4.231000,2.612483,58.436151,80.062260
202211,5.044115,2.631709,57.244315,74.352054
202212,4.732577,2.363204,57.421169,81.462682
202301,4.542838,2.614409,57.754748,76.899952
202302,4.146989,1.911411,51.665238,70.556207
202303,4.640705,1.984479,56.159523,74.401454
202304,4.072576,1.911256,59.934907,78.292487
202305,4.180268,0.995862,64.521696,39.997311
202306,3.616984,0,57.353965,61.538986
202307,4.297097,1.316558,62.451785,77.732455
202308,3.486505,2.091517,65.776066,77.883839
202309,1.086203,1.793136,54.250650,72.489940
202310,4.089955,1.964168,67.257834,82.306570
202311,4.712393,2.095683,65.925352,77.107477
202312,4.799177,2.339458,63.722457,77.039752
202401,4.731501,2.377641,61.932541,78.180884
202402,4.052674,2.232303,55.683523,71.152031
202403,4.221723,2.340505,68.221578,79.566544
202404,4.116492,2.402638,63.213785,68.312599
202405,3.871411,2.157643,61.219141,73.676893
202406,4.782241,1.962938,62.498173,62.987848
202407,4.926485,2.265796,61.914889,70.174108
202408,2.755097,2.184289,58.057161,69.191233
202409,3.762894,2.091107,14.817364,65.241363
202410,4.866344,2.380956,51.343227,68.841080
202411,4.550185,1.959836,60.072760,60.052065
202412,4.618848,2.234554,62.052995,58.608120
202501,4.467231,2.349742,60.617511,47.653988
202502,4.084843,2.116237,58.589290,53.127288
202503,4.491121,2.314199,61.715608,55.629330
202504,3.997331,2.185254,64.439291,43.228043
202505,3.417302,1.839391,62.330719,0
202506,3.240041,1.937893,63.721049,0.500469
