"YYYYMM","Others","Snorre","Kristin","Heidrun","Troll","Skarv","Ekofisk","Gullfaks","Melkøya","Statfjord","Åsgard","Oseberg","Kårstø"
1994,1.326480,0,0,0,0,0,0,0,0,0,0,0,0
1995,1.576080,0,0,0.196440,0,0,0,0,0,0,0,0,0
1996,1.757280,0,0,4.193840,0,0,0,0,0,0,0,0,0
1997,2.210840,0,0,5.091520,0,0,0,0,0,0,0,0,0
1998,2.276240,0,0,4.891440,0,0,0,0,0,0,0,0,0
1999,0.386962,0,0,5.019464,0,0,0,0,0,0,0,0,2.939134
2000,45.202953,4.680604,0,4.687144,7.829464,0,12.666845,13.771903,0,15.766933,5.399789,14.613591,12.403200
2001,52.954820,5.417384,0,4.937500,9.110197,0,12.214939,15.308327,0,16.057393,6.377475,14.582232,12.434637
2002,55.527478,5.549929,0,4.960175,8.716637,0,13.230987,15.605666,0,15.547478,11.641243,14.499763,13.325028
2003,56.628113,6.322530,0,5.244161,9.581738,0,12.805944,14.921092,0,15.851355,13.163231,15.157205,16.693667
2004,60.673495,5.306564,0,5.697170,11.101540,0,12.415614,16.922030,0,15.275599,13.748342,16.164240,17.666429
2005,60.123061,5.377456,0.449372,5.237492,10.894066,0,12.770280,15.989568,0,15.870252,14.453100,15.945539,15.667602
2006,60.319108,6.254772,2.777483,5.961711,10.520982,0,12.916452,15.257274,0,12.126279,13.630918,15.705756,19.340802
2007,60.607480,5.713673,3.053103,5.427040,10.884652,0,11.383383,15.831287,3.033574,11.653528,14.256074,15.079812,24.335457
2008,62.168052,5.453676,3.174754,5.792244,10.476355,0,11.751373,15.311434,10.878131,9.788806,14.492300,15.657582,24.774021
2009,69.632167,4.275813,3.313321,5.807703,11.049870,0,12.216793,15.152008,10.960308,5.533916,14.725386,14.520106,24.500569
2010,63.598371,4.746334,3.467419,5.030371,10.809568,0,13.183819,12.681054,14.902144,6.755364,14.796869,14.720760,17.083106
2011,62.137533,4.933859,3.639847,5.833531,10.516601,0,12.596936,10.532014,13.496070,7.051629,13.348406,14.614671,17.752865
2012,68.646171,4.887953,3.611403,5.264976,10.181125,0,13.342990,12.681086,14.683068,7.841715,14.790158,14.945232,18.256093
2013,58.148796,4.635372,3.184358,5.807062,10.639598,3.162803,10.482526,14.530879,13.348090,8.786529,13.235523,14.438800,18.899293
2014,60.151163,5.117820,4.719806,5.596343,10.539314,4.526832,10.966676,14.865724,15.755535,9.573404,14.731811,13.925338,20.341349
2015,67.350458,5.256907,5.216878,5.928037,10.805016,4.787146,10.454946,14.561316,17.014211,10.017075,14.845387,15.067601,19.557462
2016,65.475437,5.383273,4.675199,5.944752,10.299724,4.993540,9.232930,14.469569,17.562826,10.090168,15.874417,15.283006,18.997359
2017,67.430654,4.751013,5.440807,5.900725,10.765329,6.930955,9.992187,15.125394,15.167854,9.827773,16.115225,15.281010,19.705334
2018,67.225538,5.394235,5.358890,5.133598,10.894529,6.484381,10.269678,15.839972,16.436528,9.650736,13.529572,13.788588,19.109309
2019,71.682466,4.196283,5.267044,5.801400,11.463085,6.500166,10.283364,14.554235,16.345819,8.355580,13.279881,14.337090,16.242682
2020,70.630863,4.662413,5.104023,5.640986,11.759850,5.512608,10.027638,12.175455,10.559952,9.974069,12.693673,11.915749,16.512728
2021,65.606240,5.406124,4.593836,5.745423,11.132895,5.471647,10.282080,12.985237,0.003041,9.286454,10.603772,14.231145,15.030941
2022,59.411003,5.711864,4.976427,5.402645,12.194289,6.021450,9.082350,10.078764,10.341540,7.583850,11.718165,13.658168,13.142174
2023,56.029509,5.007032,5.003388,5.943453,10.056279,6.107298,9.311543,9.045621,15.609595,8.296456,11.714667,13.181970,13.095404
2024,52.979455,4.798473,4.525044,6.495491,8.693224,5.975123,10.430743,8.803259,14.959787,9.452537,9.997783,13.031522,12.333073
2025,52.525032,4.669504,5.150817,6.178024,6.694709,6.839305,9.245075,9.475049,10.112246,10.176106,11.286130,12.791823,13.269025
