"YYYYMM","Injection"
200001,2939.157926
200002,2960.282935
200003,3049.560373
200004,2919.526470
200005,3216.604651
200006,3069.309656
200007,3677.035969
200008,2900.220000
200009,2567.648227
200010,3140.328028
200011,2833.273673
200012,2947.535225
200101,3274.224718
200102,2965.859779
200103,3289.179030
200104,2917.260490
200105,3013.316666
200106,2777.284644
200107,3119.583691
200108,3068.078201
200109,2956.378749
200110,2910.503992
200111,2059.797163
200112,2562.583144
200201,2884.639320
200202,2555.806231
200203,2492.009482
200204,2950.303824
200205,3334.963547
200206,3261.972181
200207,3156.242936
200208,3334.201862
200209,2660.368368
200210,3107.326949
200211,2986.983833
200212,3064.719492
200301,2774.213313
200302,2884.204002
200303,3169.159299
200304,2957.729946
200305,3339.039818
200306,3010.490309
200307,3109.067750
200308,3433.933017
200309,2725.477632
200310,3213.169451
200311,3443.436493
200312,3771.909598
200401,3716.579433
200402,3319.808882
200403,3645.195320
200404,3747.304202
200405,3676.251406
200406,3405.320819
200407,3596.129556
200408,3440.171134
200409,3234.058590
200410,3578.740981
200411,3425.141582
200412,3296.143760
200501,3536.047940
200502,3320.866879
200503,3562.478249
200504,3202.190196
200505,3535.097484
200506,2825.873107
200507,3157.172483
200508,3037.766212
200509,3328.162990
200510,3074.012517
200511,3119.304690
200512,2974.173901
200601,2986.592452
200602,2423.063577
200603,2899.250246
200604,2684.219574
200605,3299.380392
200606,3097.965159
200607,3202.774067
200608,3046.454222
200609,2759.530934
200610,3576.654618
200611,2888.747093
200612,3158.272192
200701,3459.557351
200702,3305.101173
200703,3468.475675
200704,3352.725387
200705,3447.713640
200706,2895.016544
200707,3609.090199
200708,3349.268298
200709,2864.550450
200710,3429.551470
200711,3541.550221
200712,3080.547162
200801,3370.525977
200802,2454.091414
200803,2898.113603
200804,2846.186711
200805,2827.384591
200806,2015.950059
200807,2893.547261
200808,3258.667545
200809,2647.096430
200810,2894.104190
200811,3054.845953
200812,2967.101946
200901,2771.364058
200902,2611.164358
200903,3134.158707
200904,2925.575188
200905,2673.003682
200906,2131.198590
200907,2985.947236
200908,2904.209500
200909,2924.046459
200910,2810.255997
200911,2899.828730
200912,2819.859445
201001,2755.402687
201002,2609.124089
201003,3074.781039
201004,2865.351432
201005,2716.403819
201006,2513.397242
201007,2536.037970
201008,2540.960015
201009,2552.153773
201010,2578.868149
201011,2129.006833
201012,2389.520883
201101,2439.027412
201102,2636.274135
201103,3074.335197
201104,2615.273358
201105,2053.537884
201106,1886.801366
201107,2285.695344
201108,2500.729657
201109,2389.128772
201110,2631.258754
201111,2534.715171
201112,2421.499455
201201,2483.986582
201202,2043.230312
201203,2322.715310
201204,2771.140064
201205,2814.294536
201206,2413.012070
201207,2113.680435
201208,2909.459539
201209,2377.685159
201210,2491.242536
201211,2342.766889
201212,2241.499109
201301,2396.992797
201302,2056.204025
201303,2080.149553
201304,2256.611311
201305,2837.892419
201306,2851.643678
201307,3171.181881
201308,3073.644670
201309,2677.087984
201310,3015.689826
201311,2804.520974
201312,2740.342705
201401,3366.350966
201402,2733.515595
201403,3421.225769
201404,3169.320659
201405,2378.172029
201406,2779.050502
201407,3503.789137
201408,3377.384079
201409,3234.750443
201410,3433.802368
201411,2900.872946
201412,3065.453297
201501,3233.449956
201502,2739.709581
201503,3307.227210
201504,3446.647121
201505,3144.166718
201506,3358.456009
201507,3209.844492
201508,3109.753200
201509,2996.003844
201510,3056.078502
201511,2905.703451
201512,3070.610061
201601,3038.596829
201602,3049.723105
201603,3114.906800
201604,2921.056071
201605,3151.304310
201606,3123.567676
201607,3531.928826
201608,3011.264958
201609,2610.142465
201610,3205.439270
201611,3258.947630
201612,3253.947761
201701,2798.605384
201702,2586.060894
201703,3080.305295
201704,3089.737534
201705,3017.103677
201706,2623.782943
201707,3074.918324
201708,2729.784303
201709,2178.782638
201710,2386.757672
201711,2254.914091
201712,2298.537146
201801,2586.675694
201802,2187.377237
201803,2612.476750
201804,2591.934347
201805,1593.845231
201806,2530.802176
201807,2843.985074
201808,2641.313401
201809,2483.438172
201810,2479.456334
201811,2321.748875
201812,2191.358616
201901,2081.467988
201902,1765.920552
201903,2318.314440
201904,2156.340019
201905,2121.154241
201906,2226.974731
201907,2530.616150
201908,2862.849754
201909,2556.220517
201910,2650.027900
201911,2513.933616
201912,2819.728158
202001,2775.620417
202002,2501.329128
202003,2646.547568
202004,2726.010724
202005,2831.546373
202006,2199.565373
202007,2498.248086
202008,2548.876773
202009,1683.467185
202010,1580.836737
202011,1554.502353
202012,1824.561105
202101,1982.494225
202102,1720.445013
202103,1949.635182
202104,1969.534226
202105,1634.894325
202106,1763.374594
202107,1984.877050
202108,1864.313411
202109,1509.997169
202110,1323.807529
202111,1350.941077
202112,1294.524335
202201,1006.103169
202202,917.375023
202203,1062.035781
202204,1109.295386
202205,1255.897042
202206,981.264045
202207,1215.339972
202208,1213.081934
202209,791.776852
202210,1178.074112
202211,1254.087254
202212,1239.971370
202301,1190.843401
202302,1020.918676
202303,1360.419191
202304,1231.166892
202305,1471.491008
202306,1447.738807
202307,1350.417133
202308,1196.169129
202309,1224.428997
202310,1309.858126
202311,1163.828035
202312,1043.432928
202401,1190.874852
202402,1176.274238
202403,1216.761153
202404,1254.721586
202405,1129.677894
202406,1092.460484
202407,1237.511545
202408,1126.150005
202409,1382.698046
202410,1141.336138
202411,971.764538
202412,980.387009
202501,1023.392318
202502,936.329736
202503,1108.426405
202504,1225.874857
202505,1141.460683
202506,1052.393784
202507,1251.851086
202508,1242.305362
202509,1159.898976
