"YYYYMM","Generation (GWh)"
199301,45.109000
199302,39.467000
199303,28.193000
199304,37.340000
199305,47.301000
199306,48.841000
199307,23.897000
199308,54.316000
199309,40.949000
199310,44.592000
199311,40.516000
199312,36.418000
199401,42.762000
199402,43.829000
199403,45.284000
199404,46.496000
199405,61.606000
199406,66.678000
199407,58.316000
199408,47.341000
199409,48.271000
199410,69.629000
199411,68.937000
199412,76.360000
199501,67.424000
199502,65.175000
199503,71.161000
199504,64.697000
199505,62.957000
199506,74.253000
199507,58.147000
199508,52.851000
199509,44.473000
199510,43.683000
199511,40.819000
199512,55.608000
199601,74.138000
199602,74.183000
199603,64.119000
199604,76.158000
199605,74.559000
199606,52.321000
199607,69.139000
199608,61.615000
199609,69.406000
199610,73.357000
199611,73.488000
199612,70.996000
199701,69.253000
199702,62.687000
199703,64.943000
199704,67.933000
199705,67.986000
199706,43.371000
199707,47.234000
199708,50.664000
199709,45.561000
199710,53.082000
199711,58.640000
199712,75.965000
199801,76.532000
199802,64.520000
199803,70.396000
199804,64.279000
199805,62.305000
199806,68.502000
199807,44.746000
199808,37.422000
199809,28.943000
199810,54.094000
199811,68.861000
199812,76.833000
199901,71.651000
199902,55.073000
199903,78.142000
199904,67.236000
199905,73.509000
199906,53.196000
199907,66.574000
199908,67.165000
199909,68.082000
199910,64.771000
199911,73.808000
199912,74.803000
200001,75.629000
200002,68.706000
200003,69.327000
200004,78.853000
200005,59.090000
200006,45.478000
200007,46.973000
200008,60.001000
200009,58.231000
200010,46.846000
200011,47.963000
200012,74.037000
200101,74.080000
200102,75.210000
200103,77.043000
200104,76.778000
200105,76.178000
200106,68.338000
200107,84.957000
200108,73.714000
200109,65.780000
200110,77.682000
200111,83.102000
200112,77.237000
200201,81.386000
200202,72.963000
200203,77.740000
200204,78.006000
200205,64.535000
200206,68.211000
200207,55.660000
200208,54.315000
200209,57.848000
200210,61.271000
200211,81.186000
200212,80.372000
200301,69.990000
200302,78.206000
200303,83.310000
200304,81.133000
200305,68.814000
200306,81.737000
200307,87.527000
200308,63.565000
200309,80.724000
200310,91.061000
200311,83.338000
200312,83.476000
200401,97.878000
200402,92.838000
200403,99.656000
200404,101.725000
200405,101.754000
200406,82.768000
200407,100.302000
200408,83.866000
200409,57.100000
200410,74.204000
200411,74.747000
200412,96.112000
200501,104.112000
200502,73.969000
200503,85.455000
200504,65.859000
200505,86.303000
200506,82.495000
200507,78.592000
200508,74.167000
200509,78.935000
200510,97.214000
200511,100.686000
200512,102.346000
200601,103.420000
200602,98.588000
200603,91.985000
200604,95.918000
200605,80.084000
200606,98.885000
200607,105.123000
200608,103.037000
200609,89.301000
200610,85.772000
200611,115.923000
200612,117.507000
200701,107.371000
200702,103.078000
200703,109.212000
200704,102.362000
200705,73.874000
200706,85.782000
200707,109.371000
200708,97.998000
200709,172.106000
200710,151.437000
200711,178.309000
200712,228.202000
200801,133.709000
200802,98.687000
200803,110.373000
200804,109.565000
200805,99.105000
200806,107.567000
200807,103.990000
200808,100.701000
200809,100.874000
200810,95.517000
200811,90.333000
200812,77.753000
200901,225.884000
200902,202.401000
200903,501.480000
200904,449.110000
200905,496.281000
200906,414.574000
200907,521.667000
200908,332.545000
200909,331.421000
200910,394.382000
200911,409.646000
200912,461.965000
201001,481.972000
201002,476.668000
201003,575.556000
201004,534.889000
201005,500.595000
201006,530.345000
201007,566.745000
201008,402.860000
201009,228.406000
201010,266.772000
201011,446.187000
201012,599.478000
201101,607.536000
201102,579.136000
201103,630.068000
201104,530.924000
201105,429.838000
201106,278.564000
201107,251.926000
201108,312.147000
201109,260.824000
201110,274.730000
201111,310.414000
201112,305.691000
201201,281.906000
201202,321.903000
201203,283.728000
201204,285.885000
201205,250.453000
201206,265.486000
201207,210.988000
201208,307.648000
201209,244.392000
201210,306.187000
201211,292.893000
201212,339.780000
201301,310.830000
201302,191.707000
201303,186.656000
201304,207.565000
201305,310.676000
201306,270.738000
201307,325.598000
201308,290.969000
201309,302.899000
201310,310.415000
201311,300.125000
201312,315.361000
201401,313.136000
201402,275.754000
201403,321.802000
201404,315.720000
201405,170.565000
201406,255.162000
201407,319.151000
201408,313.823000
201409,260.941000
201410,326.838000
201411,295.296000
201412,306.776000
201501,293.459000
201502,282.313000
201503,298.174000
201504,273.584000
201505,302.287000
201506,289.681000
201507,298.794000
201508,297.361000
201509,269.400000
201510,303.123000
201511,267.665000
201512,315.836000
201601,309.380000
201602,291.422000
201603,304.460000
201604,299.075000
201605,294.006000
201606,250.679000
201607,295.377000
201608,307.555000
201609,216.073000
201610,257.861000
201611,282.158000
201612,302.348000
201701,298.046000
201702,281.848000
201703,295.838000
201704,291.471000
201705,221.099000
201706,247.632000
201707,312.622000
201708,296.754000
201709,272.273000
201710,307.022000
201711,289.755000
201712,293.281000
201801,295.579000
201802,267.305000
201803,294.347000
201804,283.588000
201805,277.650000
201806,273.174000
201807,303.764000
201808,305.675000
201809,289.610000
201810,276.763000
201811,285.490000
201812,304.328000
201901,270.314000
201902,265.843000
201903,300.677000
201904,297.827000
201905,283.679000
201906,269.932000
201907,266.038000
201908,264.367000
201909,252.308000
201910,270.870000
201911,272.601000
201912,287.987000
202001,293.352000
202002,273.249000
202003,281.702000
202004,282.776000
202005,220.423000
202006,198.851000
202007,284.744000
202008,278.584000
202009,194.856000
202010,82.236000
202011,142.150000
202012,138.338000
202101,130.753000
202102,119.001000
202103,133.879000
202104,131.166000
202105,147.019000
202106,135.431000
202107,140.480000
202108,135.728000
202109,125.232000
202110,136.488000
202111,142.441000
202112,144.290000
202201,151.066000
202202,129.053000
202203,157.147000
202204,143.943000
202205,134.745000
202206,220.325000
202207,276.802000
202208,251.089000
202209,210.572000
202210,217.974000
202211,213.378000
202212,227.556000
202301,230.094000
202302,213.649000
202303,212.150000
202304,218.192000
202305,127.065000
202306,173.781000
202307,234.205000
202308,224.064000
202309,215.787000
202310,219.885000
202311,231.929000
202312,220.332000
202401,208.722000
202402,201.087000
202403,219.873000
202404,172.929000
202405,209.235000
202406,186.057000
202407,217.855000
202408,190.413000
202409,192.214000
202410,203.105000
202411,180.328000
202412,162.490000
202501,173.579000
202502,170.069000
202503,191.123000
202504,163.937000
202505,95.735000
202506,100.625000
202507,135.979000
202508,207.696000
202509,197.237000
202510,189.490000
202511,221.346000
