"YYYYMM","Diesel","Natural gas","Flaring","Cold-vent CO2"
201001,0.016686,0.885043,0.093850,0.008948
201002,0.020006,0.832285,0.082560,0.003392
201003,0.021265,0.898097,0.077414,0.014869
201004,0.017371,0.855782,0.078684,0.002264
201005,0.024409,0.850303,0.074441,0.000996
201006,0.128491,0.728068,0.083828,0.002838
201007,0.018461,0.815912,0.113515,0.007417
201008,0.021481,0.710668,0.083402,0.001149
201009,0.024852,0.708274,0.089842,0.013357
201010,0.027396,0.868811,0.063763,0.019642
201011,0.016932,0.863576,0.087143,0.015339
201012,0.145469,0.887822,0.096514,0.009539
201101,0.022445,0.874432,0.093250,0.001727
201102,0.016501,0.834283,0.065489,0.000287
201103,0.024225,0.887861,0.092071,0.023193
201104,0.023176,0.844820,0.066984,0.044955
201105,0.023876,0.686979,0.074182,0.000097
201106,0.136362,0.707519,0.117966,0.000624
201107,0.045603,0.779249,0.086651,0.000999
201108,0.017693,0.814724,0.074237,0.000868
201109,0.029952,0.739537,0.099022,0.017735
201110,0.024560,0.823236,0.115467,0.001165
201111,0.020142,0.833833,0.071605,0.001375
201112,0.147866,0.889122,0.064191,0.001717
201201,0.019729,0.883076,0.077755,0.001231
201202,0.022501,0.841989,0.077404,0.001794
201203,0.024286,0.883802,0.078295,0.012259
201204,0.020793,0.859149,0.061663,0.040844
201205,0.019281,0.843748,0.095241,0.000181
201206,0.125912,0.765156,0.097660,0.001499
201207,0.040529,0.784525,0.104790,0.000457
201208,0.018125,0.817268,0.067221,0.000065
201209,0.031811,0.715025,0.087867,0.002497
201210,0.024412,0.831787,0.073250,0.003648
201211,0.022903,0.810076,0.090222,0.000473
201212,0.146282,0.863264,0.067226,0.000322
201301,0.013986,0.845513,0.115063,0.001850
201302,0.035609,0.728610,0.115578,0.000000
201303,0.026017,0.791632,0.105561,0.000003
201304,0.027255,0.760416,0.100159,0.003164
201305,0.041449,0.842937,0.094351,0.000410
201306,0.114903,0.738438,0.100394,0.019742
201307,0.032771,0.880361,0.067959,0.000228
201308,0.030805,0.828022,0.097571,0.000094
201309,0.046702,0.708538,0.084233,0.001946
201310,0.032889,0.822130,0.069974,0.000002
