"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,0.129646,0.129648,0.129685,0.105624,0.105269,0.105269,0.103206,0.101622,0.101984,0.102095,0.103348,0.095896,0.107058,0.103397,0.105764,0.106507,0.106670,0.106966,0.106796,0.108586,0.108115,0.108972,0.108897
1991,0.128046,0.128045,0.128086,0.104201,0.103591,0.103591,0.101484,0.099936,0.100352,0.100437,0.101761,0.094426,0.105995,0.102387,0.104761,0.105504,0.105749,0.105975,0.105805,0.107495,0.107050,0.107847,0.107753
1992,0.128849,0.128850,0.128706,0.104429,0.103991,0.103991,0.101747,0.100376,0.100866,0.100952,0.102326,0.095097,0.106442,0.102849,0.105231,0.106046,0.106367,0.106553,0.106377,0.108041,0.107563,0.108215,0.108047
1993,0.128007,0.128007,0.127802,0.103290,0.103068,0.103068,0.100904,0.099259,0.100075,0.100144,0.101552,0.094557,0.106063,0.102489,0.104869,0.105590,0.105936,0.106092,0.105928,0.107644,0.107246,0.107974,0.107933
1994,0.130957,0.130957,0.130767,0.106943,0.106838,0.106838,0.104732,0.103098,0.103854,0.103938,0.105415,0.098577,0.110458,0.106875,0.109258,0.109859,0.110186,0.110305,0.110150,0.111826,0.111324,0.111812,0.111643
1995,0.131530,0.131530,0.131041,0.108217,0.107878,0.107878,0.105945,0.104322,0.105345,0.105343,0.106924,0.100048,0.111500,0.107887,0.110270,0.110874,0.111278,0.111338,0.111191,0.112746,0.112268,0.112801,0.112519
1996,,,,0.111850,0.111367,0.111367,0.109375,0.107614,0.108574,0.108537,0.110063,0.103427,0.115282,0.111643,0.114033,0.114636,0.115098,0.115132,0.114988,0.116454,0.115965,0.115996,0.116155
1997,,,,0.113889,0.113425,0.113425,0.111458,0.109833,0.110755,0.110703,0.112236,0.105695,0.117945,0.114317,0.116712,0.117274,0.117770,0.117841,0.117697,0.119142,0.118658,0.118559,0.118373
1998,,,,0.109170,0.108775,0.108775,0.106814,0.104977,0.105822,0.105789,0.107332,0.100830,0.112691,0.109091,0.111363,0.111919,0.112447,0.112527,0.112393,0.113869,0.113376,0.113716,0.113567
1999,,,,0.088431,0.088202,0.088202,0.086226,0.084247,0.085082,0.085040,0.086583,0.080204,0.092271,0.088683,0.090716,0.091205,0.091815,0.091901,0.091771,0.093321,0.092818,0.092949,0.092623
2000,,,,0.096502,0.096425,0.096423,0.094438,0.092597,0.093375,0.093434,0.094818,0.088680,0.100880,0.097313,0.099199,0.099631,0.100254,0.100354,0.100214,0.101832,0.101279,0.101417,0.101159
2001,,,,0.085243,0.085318,0.085294,0.083268,0.081491,0.082298,0.082346,0.083781,0.077975,0.089033,0.085507,0.087217,0.087719,0.088224,0.088216,0.088070,0.089646,0.089100,0.089318,0.089026
2002,,,,0.083962,0.084218,0.084216,0.082099,0.079110,0.079937,0.080003,0.081398,0.075945,0.087416,0.083951,0.085380,0.085936,0.086436,0.086361,0.086201,0.087701,0.087147,0.086817,0.086586
2003,,,,0.083077,0.083490,0.083508,0.081321,0.078160,0.078896,0.078989,0.080251,0.075088,0.086854,0.083430,0.084709,0.085468,0.085974,0.085830,0.085658,0.087236,0.086738,0.087360,0.087092
2004,,,,0.083208,0.083568,0.083721,0.081572,0.078447,0.079038,0.079138,0.080286,0.075375,0.086912,0.083542,0.084680,0.085549,0.085444,0.085261,0.085076,0.086673,0.086141,0.086777,0.087190
2005,,,,,0.082096,0.082472,0.080150,0.076979,0.077486,0.077629,0.078729,0.074060,0.085607,0.082271,0.083319,0.084107,0.084058,0.083767,0.083794,0.085532,0.085031,0.085684,0.085884
2006,,,,,,0.082448,0.079804,0.077041,0.077400,0.077581,0.078716,0.074270,0.085683,0.082353,0.083208,0.083929,0.083688,0.083347,0.083369,0.085105,0.084652,0.085629,0.085590
2007,,,,,,,0.076748,0.072923,0.073191,0.073551,0.074799,0.070484,0.083798,0.080460,0.081178,0.081979,0.081608,0.081216,0.081231,0.083223,0.082760,0.084283,0.084203
2008,,,,,,,,0.072578,0.072401,0.073609,0.074571,0.070072,0.080844,0.077500,0.078067,0.079043,0.078937,0.078479,0.078489,0.080228,0.079772,0.080995,0.080484
2009,,,,,,,,,0.071423,0.072813,0.074022,0.069181,0.079298,0.075940,0.076140,0.077189,0.076746,0.076319,0.076318,0.078279,0.077876,0.078863,0.078359
2010,,,,,,,,,,0.071185,0.072124,0.067000,0.078190,0.074874,0.074893,0.075422,0.074771,0.074481,0.074410,0.076648,0.076271,0.077633,0.076986
2011,,,,,,,,,,,0.070901,0.066108,0.076602,0.073274,0.073107,0.073852,0.073378,0.073120,0.072970,0.075338,0.074943,0.076233,0.075634
2012,,,,,,,,,,,,0.065262,0.075452,0.071899,0.071648,0.072653,0.072256,0.072050,0.071827,0.074123,0.073675,0.075057,0.074406
2013,,,,,,,,,,,,,0.075363,0.072074,0.071812,0.072880,0.072445,0.072135,0.071831,0.073990,0.073495,0.075083,0.074266
2014,,,,,,,,,,,,,,0.069961,0.070286,0.071483,0.071148,0.070809,0.070441,0.072525,0.072009,0.073410,0.072411
2015,,,,,,,,,,,,,,,0.069898,0.070401,0.069816,0.069588,0.069415,0.071527,0.070976,0.072343,0.071320
2016,,,,,,,,,,,,,,,,0.069384,0.067993,0.067771,0.067713,0.069812,0.069257,0.070613,0.069555
2017,,,,,,,,,,,,,,,,,0.068662,0.068516,0.068758,0.070681,0.070107,0.071528,0.069632
2018,,,,,,,,,,,,,,,,,,0.067114,0.067546,0.069151,0.068561,0.069774,0.066590
2019,,,,,,,,,,,,,,,,,,,0.066427,0.067960,0.067151,0.068046,0.065011
2020,,,,,,,,,,,,,,,,,,,,0.067070,0.066041,0.066764,0.063579
2021,,,,,,,,,,,,,,,,,,,,,0.065301,0.066385,0.062700
2022,,,,,,,,,,,,,,,,,,,,,,0.065103,0.060739
2023,,,,,,,,,,,,,,,,,,,,,,,0.059640
