"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,1.189844,1.154237,0.050036,0.028855,0.033364,-0.076648
1991,1.198019,1.165974,0.049314,0.028552,0.036886,-0.082707
1992,1.205829,1.174752,0.049241,0.028630,0.038868,-0.085661
1993,1.199929,1.168522,0.048241,0.028600,0.042384,-0.087817
1994,1.257703,1.221971,0.048281,0.029583,0.046515,-0.088646
1995,1.278835,1.234513,0.046944,0.029816,0.055555,-0.087993
1996,1.291309,1.247392,0.045518,0.030784,0.056245,-0.088631
1997,1.280896,1.239363,0.044991,0.031376,0.055221,-0.090055
1998,1.233641,1.199591,0.043091,0.030107,0.050162,-0.089310
1999,1.258003,1.236541,0.042657,0.024562,0.043408,-0.089164
2000,1.275139,1.258733,0.041936,0.026828,0.038727,-0.091084
2001,1.249199,1.244454,0.040592,0.023512,0.032813,-0.092171
2002,1.272011,1.273948,0.039660,0.022872,0.029336,-0.093805
2003,1.268216,1.282166,0.038625,0.023006,0.028715,-0.104296
2004,1.262231,1.277380,0.038262,0.023032,0.025757,-0.102200
2005,1.273551,1.284670,0.038234,0.022674,0.025785,-0.097812
2006,1.257477,1.261727,0.037585,0.022586,0.027142,-0.091564
2007,1.296186,1.297082,0.036882,0.022210,0.026900,-0.086887
2008,1.232517,1.226645,0.035996,0.021226,0.025667,-0.077016
2009,1.162605,1.158654,0.035397,0.020675,0.022777,-0.074897
2010,1.210467,1.209263,0.034898,0.020321,0.024725,-0.078740
2011,1.261197,1.259537,0.033557,0.019958,0.026026,-0.077881
2012,1.298240,1.300373,0.032832,0.019627,0.027279,-0.081871
2013,1.315742,1.310012,0.032766,0.019598,0.028812,-0.075446
2014,1.270525,1.258467,0.032210,0.019107,0.030474,-0.069733
2015,1.236773,1.218024,0.031811,0.018814,0.032326,-0.064201
2016,1.222246,1.197977,0.031787,0.018360,0.033849,-0.059726
2017,1.203792,1.182266,0.031607,0.018563,0.034408,-0.063052
2018,1.157427,1.136471,0.031100,0.017699,0.034779,-0.062622
2019,1.126630,1.099774,0.030830,0.017294,0.035756,-0.057022
2020,1.060637,1.035552,0.030465,0.016850,0.036617,-0.058847
2021,1.082585,1.056646,0.030539,0.016820,0.036480,-0.057901
2022,1.056656,1.027559,0.029938,0.016044,0.035330,-0.052215
2023,1.014476,0.986305,0.029510,0.015176,0.033870,-0.050385
2024,0.995125,0.969621,0.027912,0.014768,0.032245,-0.049421
