"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-88.192387,0.024636,-0.264180,-2.635720,-6.418767,
1991,-93.049267,0.110003,-0.426166,-2.507184,-6.593266,
1992,-93.049267,0.106762,-0.588152,-2.378649,-6.767766,
1993,-93.049267,0.103007,-0.750137,-2.250113,-6.942266,
1994,-93.049267,0.103245,-0.912123,-2.121577,-7.116765,
1995,-93.049267,0.102961,-1.074109,-1.993041,-7.291265,
1996,-93.752759,0.011808,-1.184596,-1.880550,-7.224141,
1997,-93.752759,0.010963,-1.295082,-1.768058,-7.157016,
1998,-93.752759,0.012412,-1.405569,-1.655567,-7.089892,
1999,-93.752759,0.010510,-1.516056,-1.543075,-7.022768,
2000,-93.752759,0.011218,-1.626543,-1.430584,-6.955644,
2001,-93.752759,0.007165,-1.737030,-1.318092,-6.888520,
2002,-93.752759,0.011168,-1.847516,-1.205601,-6.821396,
2003,-101.853721,0.056202,-2.124425,-1.135567,-6.648648,
2004,-101.853721,0.055486,-2.401333,-1.065533,-6.475900,
2005,-96.086054,0.080998,-2.678242,-0.995499,-6.303153,
2006,-90.461823,0.082398,-2.795484,-0.782771,-6.032453,
2007,-88.810892,0.028846,-2.960364,-0.640465,-5.792991,
2008,-83.560119,0.070568,-3.253716,-0.585225,-5.834930,
2009,-80.045616,0.625363,-3.409965,-0.456745,-5.570440,
2010,-80.372955,0.106690,-3.536173,-0.322057,-5.300712,
2011,-82.632953,0.027338,-3.612322,-0.185042,-4.987930,
2012,-82.827675,0.027347,-3.726193,-0.098793,-4.713061,
2013,-75.706387,0.323951,-3.781513,0.027334,-4.400108,
2014,-72.623546,0.009360,-3.859759,0.129593,-4.098589,
2015,-66.791443,0.562335,-3.937953,0.228727,-3.793431,
2016,-61.763948,0.031780,-4.031941,0.304533,-3.482008,
2017,-63.752191,0.003186,-4.142092,0.343510,-3.190066,
2018,-62.159980,0.003183,-4.245078,0.380147,-2.905111,
2019,-57.928848,0.002644,-4.307124,0.428756,-2.608689,
2020,-59.536575,0.000975,-4.403830,0.473478,-2.335114,
2021,-57.571069,0.000146,-4.443107,0.518003,-2.049449,
2022,-53.997205,0.007316,-4.506272,0.563634,-1.784753,
2023,-52.465346,0.238964,-4.554949,0.595247,-1.537251,
2024,-51.648034,0.000970,-4.636671,0.601694,-1.301532,
