"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-97.440936,7.381079,1.024857,-0.450347,10.891713,2.349672,-0.404482,0
1991,-102.426809,6.441257,0.215812,-0.447369,11.166296,2.424068,-0.080716,0
1992,-102.640749,3.511734,-0.494521,-0.303082,11.240048,2.214916,0.810280,0
1993,-102.824074,2.872810,-0.972876,-0.372427,9.824695,2.387829,1.267246,0
1994,-103.040988,3.063990,-1.028794,-0.371536,8.859407,2.249662,1.621820,0
1995,-103.262334,3.857843,-0.185554,-0.188040,8.507221,2.072920,1.204552,0
1996,-103.959786,3.244517,-0.431403,0.021073,7.876030,1.975419,2.643357,0
1997,-103.883442,3.778614,-1.119496,-0.330031,7.597571,2.154397,1.747222,0
1998,-103.846548,5.604830,-0.789656,-0.066890,7.370498,1.913340,0.504766,0
1999,-103.786908,5.335390,-1.224170,-0.063386,6.965740,1.951967,1.656940,0
2000,-103.713464,3.524845,-0.860892,-0.063950,6.548593,1.712799,1.767740,0
2001,-103.641684,2.943597,-0.751763,-0.108947,6.176548,1.698855,1.512067,0
2002,-103.556993,2.575731,-0.856013,-0.300859,5.538613,1.626054,1.168957,0
2003,-111.676206,0.838398,-1.294864,-0.325685,5.293377,1.493145,1.375429,0
2004,-111.699452,3.501242,-1.039458,-0.326209,5.115465,1.483076,0.765275,0
2005,-105.940071,2.370370,-0.839180,-0.345919,5.182884,1.148369,0.611184,0
2006,-99.953429,2.536137,-0.154782,-0.343191,4.923546,1.057640,0.370268,0
2007,-98.138490,6.254472,-0.588942,-0.312867,5.244352,1.118751,-0.464397,0
2008,-93.095014,11.393376,-0.315777,-0.309853,4.983616,1.064338,-0.736975,0
2009,-88.804296,8.223111,0.441600,-0.274218,4.643727,0.975586,-0.102902,0
2010,-89.378598,5.818300,0.351631,-0.271307,4.384481,0.932822,-0.577806,0
2011,-91.344058,6.877633,0.682527,-0.313020,3.714263,0.972760,1.529180,0
2012,-91.296779,6.158265,0.048493,-0.310358,3.367528,0.827761,-0.665753,0
2013,-83.485980,4.603414,0.134059,-0.336038,3.392534,0.762123,-0.516339,0
2014,-80.367878,6.200417,1.924425,-0.333148,3.258665,0.745763,-1.161609,0
2015,-73.671681,5.400865,1.602838,-0.290613,3.343508,0.736621,-1.322686,0
2016,-68.882580,5.767586,1.430569,-0.288272,3.214963,0.723638,-1.692341,0
2017,-70.652982,5.049503,1.286568,-0.324752,2.987151,0.671159,-2.068328,0
2018,-68.865358,4.299495,0.884079,-0.322605,3.014781,0.660372,-2.292879,0
2019,-64.342894,4.595414,0.772315,-0.326378,3.832273,0.682737,-2.235629,0
2020,-65.732974,3.953242,0.223535,-0.313532,3.905929,0.653400,-1.536926,0
2021,-63.464403,4.287219,0.149018,-0.292061,3.454834,0.573777,-2.608918,0
2022,-59.637770,5.151982,0.703071,-0.300613,3.574968,0.542990,-2.249144,-0.000006
2023,-57.632523,4.572510,0.663904,-0.296827,3.405929,0.678135,-1.776020,-0.000099
2024,-56.713699,4.300975,0.606259,-0.317074,3.574179,0.674988,-1.546372,-0.000098
