"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,1.178209,1.178210,1.179463,1.589635,1.589150,1.589787,1.553438,1.519077,1.519112,1.525247,1.530051,1.543565,1.943455,1.943294,1.768923,1.773501,1.773866,1.776739,1.753139,1.762350,1.781681,1.779106,1.782179,1.787006
1991,1.172469,1.172470,1.173616,1.578310,1.577846,1.578484,1.541811,1.507649,1.507794,1.513633,1.517481,1.524763,1.874485,1.874260,1.719534,1.724551,1.727380,1.730389,1.722787,1.738182,1.755228,1.753093,1.756168,1.761227
1992,1.164795,1.164796,1.166004,1.565940,1.565511,1.566130,1.528853,1.495116,1.495252,1.501040,1.505938,1.508416,1.923836,1.923331,1.752486,1.758214,1.761769,1.764748,1.738191,1.738387,1.752486,1.750569,1.753597,1.758599
1993,1.162297,1.162299,1.163455,1.552860,1.552473,1.553060,1.515819,1.482223,1.482349,1.488083,1.493600,1.480633,1.712718,1.712103,1.588939,1.594522,1.598199,1.601021,1.702458,1.705545,1.716469,1.714785,1.717736,1.722878
1994,1.141771,1.141771,1.143118,1.519832,1.519486,1.520027,1.483326,1.450019,1.450142,1.456324,1.463011,1.450128,1.916280,1.915610,1.724556,1.730021,1.733830,1.736463,1.700080,1.710483,1.717787,1.716265,1.719068,1.724313
1995,1.111395,1.111395,1.112932,1.474295,1.473998,1.474484,1.439043,1.406059,1.409780,1.415600,1.423782,1.413969,1.833011,1.832273,1.665516,1.670378,1.674616,1.677057,1.658572,1.666754,1.670237,1.668794,1.671442,1.676586
1996,,,,1.440442,1.440203,1.440625,1.406240,1.373917,1.373961,1.379302,1.387740,1.371953,1.780979,1.780127,1.616393,1.621975,1.626788,1.628868,1.611220,1.619509,1.619612,1.618179,1.620027,1.625650
1997,,,,1.388321,1.388166,1.388516,1.355262,1.323608,1.323584,1.328445,1.337756,1.332117,1.748130,1.747158,1.587398,1.592214,1.597000,1.598818,1.596626,1.603814,1.600582,1.599366,1.600443,1.606805
1998,,,,1.348291,1.348145,1.348436,1.316560,1.285576,1.285458,1.290384,1.299865,1.294182,1.655705,1.654649,1.513109,1.517959,1.522724,1.524311,1.531457,1.539796,1.532863,1.531774,1.532100,1.538962
1999,,,,1.317156,1.317069,1.317348,1.286773,1.256388,1.256287,1.261180,1.271957,1.264876,1.658417,1.657243,1.507526,1.511814,1.518217,1.519595,1.519816,1.527936,1.517481,1.516490,1.516042,1.523458
2000,,,,1.284614,1.284534,1.284747,1.255460,1.228186,1.228055,1.232957,1.244464,1.238035,1.660211,1.658972,1.506641,1.511141,1.518035,1.519279,1.498334,1.505119,1.491427,1.490666,1.489425,1.497702
2001,,,,1.246710,1.246689,1.246975,1.218840,1.190253,1.190079,1.195957,1.200752,1.195074,1.611120,1.609922,1.464244,1.469659,1.482795,1.485284,1.455306,1.461684,1.444618,1.443888,1.442365,1.449697
2002,,,,1.200906,1.200949,1.201333,1.174173,1.144810,1.144603,1.151381,1.156055,1.151337,1.580048,1.578864,1.437455,1.445253,1.453673,1.457445,1.426631,1.431584,1.411535,1.411075,1.409482,1.416421
2003,,,,1.177842,1.177895,1.178375,1.152014,1.119997,1.119794,1.127145,1.132470,1.127957,1.503709,1.502452,1.378530,1.387114,1.394722,1.399659,1.394413,1.397944,1.375261,1.375042,1.373196,1.379453
2004,,,,1.163054,1.159005,1.159614,1.133600,1.098653,1.098442,1.106303,1.112290,1.107775,1.561182,1.560008,1.419361,1.429993,1.434869,1.441002,1.383666,1.387570,1.362732,1.362805,1.360773,1.366487
2005,,,,,1.146250,1.139522,1.115300,1.080008,1.079823,1.088318,1.095960,1.091302,1.558493,1.557529,1.411170,1.422048,1.426626,1.433818,1.386047,1.389537,1.362150,1.362534,1.360294,1.365513
2006,,,,,,1.125588,1.097001,1.060864,1.060685,1.071310,1.079147,1.074939,1.528657,1.527790,1.390500,1.402345,1.401568,1.410549,1.366262,1.369212,1.339271,1.339948,1.337568,1.342332
2007,,,,,,,1.076380,1.036371,1.036265,1.050230,1.061218,1.055517,1.538804,1.538049,1.400539,1.414519,1.411138,1.421581,1.344028,1.346373,1.314173,1.315532,1.312928,1.317227
2008,,,,,,,,1.014490,1.010152,1.024799,1.035728,1.032104,1.530755,1.529562,1.388776,1.401387,1.397907,1.409586,1.314624,1.316423,1.282252,1.283706,1.281011,1.285576
2009,,,,,,,,,0.986107,0.994314,1.008326,1.004777,1.487710,1.486799,1.352098,1.365078,1.359388,1.371062,1.294836,1.296386,1.260785,1.262033,1.259635,1.264164
2010,,,,,,,,,,0.973481,0.987650,0.985469,1.530522,1.530890,1.394200,1.389405,1.379880,1.391344,1.277503,1.279309,1.242919,1.243948,1.241997,1.246373
2011,,,,,,,,,,,0.966624,0.966031,1.490535,1.491268,1.353607,1.347541,1.340042,1.351047,1.229362,1.231317,1.194289,1.195339,1.193747,1.198469
2012,,,,,,,,,,,,0.952703,1.456817,1.458113,1.319280,1.313998,1.305715,1.316159,1.203560,1.205622,1.168083,1.169010,1.167848,1.172577
2013,,,,,,,,,,,,,1.441683,1.442627,1.307011,1.300578,1.291509,1.301337,1.201634,1.203758,1.165730,1.166448,1.165702,1.170229
2014,,,,,,,,,,,,,,1.419275,1.282727,1.275163,1.266184,1.275476,1.181713,1.183936,1.145787,1.146354,1.146009,1.150375
2015,,,,,,,,,,,,,,,1.251798,1.245635,1.233217,1.242588,1.167996,1.170224,1.130922,1.131519,1.131625,1.136092
2016,,,,,,,,,,,,,,,,1.231691,1.220162,1.229449,1.165980,1.168468,1.129357,1.129960,1.130438,1.135251
2017,,,,,,,,,,,,,,,,,1.202575,1.209488,1.157030,1.160878,1.121754,1.122632,1.123569,1.128817
2018,,,,,,,,,,,,,,,,,,1.194196,1.142648,1.146192,1.106414,1.104510,1.105856,1.110714
2019,,,,,,,,,,,,,,,,,,,1.136659,1.138974,1.099355,1.094253,1.096143,1.101063
2020,,,,,,,,,,,,,,,,,,,,1.135763,1.095196,1.085857,1.084330,1.088035
2021,,,,,,,,,,,,,,,,,,,,,1.094455,1.084913,1.083820,1.090679
2022,,,,,,,,,,,,,,,,,,,,,,1.066678,1.063650,1.069203
2023,,,,,,,,,,,,,,,,,,,,,,,1.049720,1.053913
2024,,,,,,,,,,,,,,,,,,,,,,,,0.996849
