"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,59.883932,,
1991,45.452102,,
1992,37.197586,,
1993,23.803722,,
1994,21.060333,,
1995,20.252138,,
1996,20.804811,,
1997,18.332430,,
1998,15.476057,,
1999,17.010941,,
2000,15.381231,,
2001,17.225594,,
2002,19.536936,,
2003,20.728602,,
2004,21.919728,,
2005,21.553690,,
2006,23.080296,,
2007,29.255970,,
2008,30.039018,,
2009,27.532972,,
2010,28.161966,,
2011,27.667149,,
2012,28.381201,,
2013,28.149155,,
2014,26.068794,,
2015,22.245627,,
2016,23.343831,,
2017,24.022110,,
2018,24.067555,,
2019,25.941770,,
2020,22.775524,,
2021,24.347035,,
2022,20.209467,,
2023,19.778180,,
