"Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,738.114026,719.366936,714.044205,714.574764,715.608934,716.360766,721.308112,718.951475,718.951475,718.894304,691.343868,693.024767,706.201584,705.832231,705.832231,705.829992,705.829992,705.830043,706.226888,706.525675,706.525678,706.525674
1991,727.081726,620.175086,617.847690,617.880042,616.711456,617.850906,626.333296,618.211620,618.211620,618.164946,618.781306,621.305236,632.700001,632.538758,632.538758,632.536626,632.536626,632.536676,632.924118,633.193869,633.193869,633.193868
1992,640.966979,535.124819,532.842407,532.910153,530.922501,530.376344,570.130219,542.206302,542.206302,542.167749,570.801228,577.064260,589.226854,589.062246,589.062246,589.060251,589.060251,589.060298,589.282824,589.505206,589.505207,589.505206
1993,555.660734,480.481947,478.721659,478.758419,476.216190,476.807394,489.898089,464.813632,464.813632,464.778729,496.969524,498.504839,510.380409,510.201373,510.201373,510.199537,510.199537,510.199583,510.320379,510.495392,510.495393,510.495391
1994,428.036304,430.982136,429.465631,429.451960,426.360483,426.988390,421.795078,402.965221,402.965221,402.933023,406.847163,409.721674,419.471839,419.267635,419.267635,419.266301,419.266301,419.266344,419.492104,419.630282,419.630285,419.630282
1995,408.345132,393.513792,392.067095,392.016817,389.242272,389.674163,376.682963,360.356175,360.356175,360.324698,375.425864,380.871284,390.073034,389.865789,389.865789,389.864615,389.864615,389.864657,390.072114,390.173459,390.173453,390.173458
1996,379.673633,357.853302,356.441800,356.405431,351.448542,352.215863,339.933532,324.399735,324.399735,324.368134,344.307249,344.347189,351.432859,351.409867,351.409867,351.408753,351.408753,351.408793,351.769685,351.834195,351.834191,351.834195
1997,350.296637,344.603600,343.249018,343.214141,337.113927,337.775133,328.650032,309.703545,309.703545,309.671740,333.911434,334.208702,340.229872,340.243797,340.243797,340.242686,340.242686,340.242725,340.514371,340.585973,340.585970,340.585972
1998,300.535136,308.191337,306.452584,311.228947,304.351893,305.004307,310.600551,308.601124,308.601124,308.369377,311.793102,309.207663,321.052097,321.067219,328.580038,328.578938,328.578938,328.576744,328.807600,328.877988,328.877989,328.877987
1999,295.801475,309.290502,307.526921,306.397991,299.457203,300.072870,304.212020,302.449173,302.449173,302.418820,286.290440,284.109569,292.290671,292.311281,298.205104,298.203960,298.203960,298.178287,298.578895,298.635557,298.635556,298.635557
2000,293.876202,296.534100,294.585127,295.674278,289.132505,289.318904,295.786274,293.541681,293.541681,293.508946,275.008039,271.429774,279.513686,279.537843,285.338496,285.337201,285.337201,285.321939,285.674209,285.663488,285.663483,285.663488
2001,293.158811,298.874668,297.280190,298.513373,292.941514,292.200824,299.888536,298.878729,298.878729,298.844630,293.598442,290.774710,301.273810,301.300733,303.560708,303.559229,303.559229,303.561756,303.891287,303.876026,303.876025,303.876025
2002,292.773809,301.292736,299.770241,302.612503,297.209150,296.531313,304.527930,302.103384,302.103384,302.067291,284.580252,281.939350,294.168595,294.199978,295.675073,295.673490,295.673490,295.673973,295.900923,295.900923,295.900919,295.900922
2003,313.138842,320.542811,318.693958,320.658385,314.388838,314.776687,321.199580,317.865122,317.865122,317.828959,288.407207,285.720480,305.149690,305.183445,307.019304,307.017472,307.017472,306.998709,307.245354,307.245354,307.245356,307.245354
2004,,316.941844,315.631423,319.989782,313.355659,314.067011,322.511174,319.172487,319.172487,319.131006,299.560092,296.753732,306.236407,306.255429,310.364810,310.362748,310.362748,310.270626,310.625751,310.625751,310.625753,310.625750
2005,,,321.541391,328.636568,320.688670,322.647217,327.212722,320.602571,320.602571,320.559433,309.883236,307.341483,313.516146,313.533700,313.120213,313.118088,313.118088,313.066891,313.530556,313.512515,313.512514,313.512514
2006,,,,344.525789,338.890446,339.008896,342.586549,337.358111,337.358111,337.315558,328.488055,325.586622,332.749544,332.764711,332.672594,332.670337,332.670337,332.613143,333.061640,333.054192,333.054192,333.054191
2007,,,,,340.147292,340.735042,343.317634,340.500228,340.500228,340.458348,329.371244,330.087251,336.592432,336.601097,336.366431,336.364014,336.364014,336.351221,336.819558,336.828780,336.828781,336.828779
2008,,,,,,325.899456,327.785071,324.540642,324.540642,324.496897,317.156168,317.063844,325.726510,325.732776,325.535010,325.532713,325.532713,325.536205,325.983401,325.983401,325.983396,325.983401
2009,,,,,,,277.756568,274.633145,274.633145,274.587683,269.138375,269.598422,277.146585,277.169902,277.295324,277.293501,277.293501,277.296698,277.593359,277.593359,277.593356,277.593358
