"Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,672.449961,595.371777,592.666167,593.179180,593.179180,593.179180,601.108886,644.641296,644.641296,644.584125,576.073900,578.385442,592.207763,592.251512,592.251512,592.251512,592.251512,592.251512,592.251512,592.251512,592.251512
1991,670.682798,511.848810,511.848810,511.848810,511.848810,511.848810,523.426100,556.511172,556.511172,556.464499,522.581402,524.319585,536.163323,536.201013,536.201013,536.201013,536.201013,536.201013,536.201013,536.201013,536.201013
1992,585.796863,428.326301,428.326301,428.326301,428.326301,428.326301,471.333278,480.617262,480.617262,480.578709,477.622862,483.129352,495.757298,495.795215,495.795215,495.795215,495.795215,495.795215,495.795215,495.795215,495.795215
1993,513.091454,396.103791,396.103791,396.103791,396.103791,396.103791,412.069241,416.922317,416.922317,416.887414,421.096641,422.028417,434.086403,434.119873,434.119873,434.119873,434.119873,434.119873,434.119873,434.119873,434.119873
1994,394.720721,363.882721,363.882721,363.882721,363.882721,363.882721,361.279211,365.471948,365.471948,365.439751,342.271079,344.713650,354.524063,354.546224,354.546224,354.546224,354.546224,354.546224,354.546224,354.546224,354.546224
1995,379.096418,331.663066,331.663066,331.663066,331.663066,331.663066,321.770650,327.008954,327.008954,326.977477,319.100946,324.184265,333.460577,333.482922,333.482922,333.482922,333.482922,333.482922,333.482922,333.482922,333.482922
1996,352.017222,296.818129,296.818129,296.818129,296.818129,296.818129,287.031735,293.207696,293.207696,293.176094,291.460208,291.069240,298.216517,298.238900,298.238900,298.238900,298.238900,298.238900,298.238900,298.238900,298.238900
1997,319.319556,274.518702,274.518702,274.518702,274.518702,274.518702,267.915917,274.733427,274.733427,274.701622,275.999895,275.787485,281.956974,281.978094,281.978094,281.978094,281.978094,281.978094,281.978094,281.978090,281.978090
1998,264.395844,236.791917,236.254949,241.048371,241.048371,241.048371,249.717122,273.179099,273.179099,272.947352,255.251466,252.204558,264.173850,264.196580,271.709399,271.709399,271.709399,271.709399,271.709399,271.709399,271.709399
1999,257.273985,234.086766,233.652355,232.524064,232.524064,232.524064,240.159519,265.505805,265.505805,265.475451,227.300549,224.666077,232.971519,232.999209,238.893032,238.893032,238.893032,238.893032,238.893032,238.893032,238.893032
2000,253.296868,216.517632,216.095221,217.191338,217.191338,217.191338,226.756115,254.320883,254.320883,254.288148,211.788866,207.737124,216.016772,216.045450,221.846103,221.846103,221.846103,221.846103,221.846103,221.846103,221.846103
2001,252.655381,218.009396,217.852583,219.071271,219.071271,219.071271,230.161761,257.250604,257.250604,257.216504,226.711621,223.331485,233.997525,234.028801,236.288776,236.288776,236.288776,236.288776,236.288776,236.288776,236.288776
2002,252.588092,219.640513,219.501204,222.315126,222.315126,222.315126,233.829957,260.336023,260.336023,260.299930,216.226008,213.059390,225.420158,225.452842,226.927936,226.927936,226.927936,226.927936,226.927936,226.927936,226.927936
2003,267.629259,233.833947,233.650051,235.552909,235.552909,235.552909,245.624840,272.160205,272.160205,272.124042,217.371262,214.129936,233.656047,233.689261,235.525120,235.525120,235.525120,235.525120,235.525120,235.525120,235.525120
2004,,228.679479,228.470632,231.796292,231.796292,231.796292,244.033226,271.028709,271.028709,270.987227,225.924915,222.521398,232.002744,232.036471,236.145852,236.145852,236.145852,236.145852,236.145852,236.145852,236.145852
2005,,,234.531028,240.699946,240.699946,240.699946,250.027066,272.064668,272.064668,272.021530,236.898853,233.727197,239.923534,239.957133,239.543647,239.543647,239.543647,239.543647,239.543647,239.543647,239.543647
2006,,,,251.020145,251.982654,250.180703,259.096075,284.945210,284.945210,284.902658,251.138058,247.620612,254.807109,254.840981,254.748864,254.748864,254.748864,254.748864,254.748864,254.748864,254.748864
2007,,,,,247.029977,245.528392,253.093827,282.842573,282.842573,282.800693,246.175048,246.208808,252.741124,252.769616,252.534950,252.534950,252.534950,252.534950,252.534950,252.534950,252.534950
2008,,,,,,239.437289,245.951605,273.036396,273.036396,272.992651,235.428248,234.666965,243.372356,243.404185,243.206419,243.206419,243.206419,243.206419,243.206419,243.206419,243.206419
2009,,,,,,,212.502103,235.914079,235.914079,235.868617,204.800587,204.364866,211.981126,212.031246,212.156668,212.156668,212.156668,212.156668,212.156668,212.156668,212.156668
2010,,,,,,,,247.387076,247.387076,247.343532,216.588422,216.871303,223.298323,223.360534,223.920605,223.920605,223.920605,223.920605,223.920605,223.920605,223.920605
2011,,,,,,,,,261.674311,261.675220,227.103762,226.946912,232.700722,232.786443,233.673735,233.673735,233.673735,233.673735,233.673735,233.673735,233.673735
2012,,,,,,,,,,262.351380,227.373190,224.355073,232.316487,232.389722,232.649396,232.649396,232.649396,232.649396,232.649396,232.649396,232.649396
