"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,916.472675,706.311738,209.306313,48.539800,0.211999,-47.897175
1991,821.977503,632.985027,200.479431,44.000961,0.169202,-55.657119
1992,767.609040,589.280143,191.518670,40.802313,0.127999,-54.120085
1993,682.479760,510.245340,181.942407,38.236016,0.129120,-48.073124
1994,573.820749,419.332863,171.215504,33.019033,0.144998,-49.891649
1995,533.432743,389.898128,159.506495,29.870672,0.160138,-46.002690
1996,492.855352,351.518890,154.856498,25.928164,0.128841,-39.577041
1997,480.897798,340.327079,148.612196,25.511976,0.138393,-33.691846
1998,458.368307,328.598263,144.343199,23.178743,0.120791,-37.872688
1999,425.446049,298.347372,145.691603,21.160773,0.104788,-39.858487
2000,408.342476,285.398104,135.578758,20.602594,0.118864,-33.355842
2001,434.825184,303.585539,133.869259,22.176637,0.129390,-24.935641
2002,421.231126,295.614302,125.500499,22.546868,0.151571,-22.582115
2003,420.853542,306.966104,126.128992,19.824545,0.172768,-32.238868
2004,436.509676,310.352449,122.525091,22.112225,0.266368,-18.746458
2005,435.672864,313.228653,117.847838,22.385726,0.404482,-18.193835
2006,449.089083,332.758995,115.488544,22.559905,0.482783,-22.201144
2007,451.460026,336.380434,115.300355,22.406777,0.670235,-23.297776
2008,450.332223,325.646154,107.598443,26.700824,0.777939,-10.391137
2009,384.728209,277.265696,98.314619,24.062918,0.693783,-15.608808
2010,396.248460,294.149199,97.670347,24.633356,0.749301,-20.953743
2011,430.760507,308.201815,99.116716,29.553932,0.834671,-6.946628
2012,415.434829,304.221861,92.877232,28.184914,0.863535,-10.712713
2013,418.043322,297.381915,87.225847,30.986383,0.927109,1.522069
2014,371.822496,257.495141,79.971352,30.719040,0.913577,2.723385
2015,328.910373,223.650977,71.640430,28.649170,0.846577,4.123219
2016,349.301815,233.979048,76.981365,31.346516,0.968813,6.026072
2017,326.277059,223.132476,74.518608,30.059408,1.105963,-2.539395
2018,352.095125,231.731207,78.715562,33.027511,1.517644,7.103201
2019,345.376033,222.011084,81.643191,34.777571,1.889139,5.055048
2020,309.739741,206.447872,83.619786,33.108590,2.045034,-15.481541
2021,328.108653,210.472481,83.038870,37.730663,2.295414,-5.428775
2022,223.530510,142.824362,66.937352,27.038227,2.383993,-15.653424
2023,221.693248,139.152533,62.767307,28.454343,2.480350,-11.161284
