"Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,-38.937980,-33.839161,-51.485686,-66.951712,-73.156718,-68.550964,-69.940923,-69.757488,-69.757488,-69.757488,-61.912059,-46.195100,-52.111147,-58.197316,-59.522721,-59.422457,-58.581854,-31.637289,-31.637289,-47.264027,-48.111115
1991,-31.443789,-35.998320,-53.900720,-73.132989,-79.354815,-73.368376,-77.753573,-77.834800,-77.834800,-77.834800,-69.568445,-54.673008,-56.726807,-62.818870,-63.821326,-63.673479,-62.846473,-39.819367,-39.819367,-55.027404,-55.865961
1992,-54.521873,-31.870038,-53.486137,-70.181385,-66.388481,-60.047071,-64.449300,-65.116050,-65.116050,-64.529691,-61.240837,-55.459827,-56.241976,-61.449111,-60.893960,-60.713376,-59.912666,-39.562520,-39.562520,-53.514517,-54.345149
1993,-47.108104,-30.943469,-51.319354,-62.114312,-54.998082,-49.188625,-49.063316,-49.530659,-49.530659,-49.522508,-50.188039,-46.504450,-47.376938,-53.408230,-53.932676,-53.773605,-53.013669,-33.079833,-33.079833,-47.551470,-48.323177
1994,-48.997811,-39.290008,-57.960429,-69.698184,-57.569062,-52.595596,-61.719787,-62.261321,-62.261321,-62.253171,-66.087759,-56.167891,-51.953379,-58.352414,-59.088096,-58.911984,-58.166074,-37.301203,-37.301203,-49.496841,-50.189071
1995,-48.936044,-42.433061,-59.105003,-60.345049,-54.958946,-46.585055,-48.349651,-48.785252,-48.785252,-48.777102,-52.858718,-51.610471,-47.072887,-53.134067,-54.121049,-53.955902,-53.203900,-32.424169,-32.424169,-45.598824,-46.278016
1996,-61.625068,-48.416719,-59.576856,-60.923658,-60.405055,-55.741838,-53.849878,-55.124700,-55.124700,-55.116549,-56.724433,-47.316940,-41.905312,-48.129724,-49.261634,-49.197470,-48.452254,-28.063590,-28.063590,-39.241993,-39.892342
1997,-65.442649,-46.938441,-58.879400,-48.609178,-45.297193,-40.305753,-33.842561,-34.833622,-34.833622,-34.825472,-38.486245,-41.965316,-38.464775,-44.605376,-45.755200,-45.613783,-45.713450,-22.751681,-22.751681,-33.333348,-33.950736
1998,-63.637452,-52.503177,-59.030414,-52.379516,-52.930956,-50.207377,-48.537386,-50.643739,-50.643739,-50.635589,-53.617499,-42.689289,-44.501745,-51.295410,-50.780975,-50.649266,-51.276673,-28.405475,-28.405475,-37.566273,-38.152414
1999,-63.284266,-43.564310,-65.581518,-59.120057,-58.099838,-55.392077,-61.842796,-63.940087,-63.940087,-63.931937,-65.678390,-47.077454,-45.189139,-52.092222,-52.848861,-52.890762,-53.504593,-31.332439,-31.332439,-39.553653,-40.146671
