"Year","Ukraine","World"
1950,3.530621,2.378734
1951,3.776247,2.515504
1952,3.991083,2.502896
1953,4.168027,2.524970
1954,4.492702,2.527923
1955,5.025322,2.716614
1956,5.433238,2.835461
1957,5.861296,2.869636
1958,6.161248,2.891376
1959,6.382548,2.985590
1960,6.554220,3.112931
1961,6.668102,3.071906
1962,6.910049,3.120741
1963,7.323256,3.215595
1964,7.702694,3.315825
1965,8.091488,3.391959
1966,8.466369,3.484865
1967,8.772145,3.523155
1968,8.940099,3.640223
1969,9.238074,3.802135
1970,9.658552,4.032588
1971,10.181593,4.112597
1972,10.628769,4.219747
1973,11.001000,4.355556
1974,11.348235,4.253289
1975,11.857660,4.173319
1976,12.249712,4.310191
1977,12.610021,4.352449
1978,12.993041,4.432504
1979,13.048135,4.465701
1980,13.499087,4.364099
1981,13.175587,4.168842
1982,13.368507,4.060496
1983,13.493884,4.023942
1984,13.545823,4.068703
1985,14.550785,4.137420
1986,14.434415,4.122175
1987,14.250375,4.179654
1988,14.065353,4.262697
1989,13.171896,4.241189
1990,13.572913,4.266701
1991,12.136903,4.282473
1992,11.266511,4.090168
1993,9.751560,4.068620
1994,8.058036,4.047994
1995,7.551909,4.083544
1996,6.868259,4.148108
1997,6.706180,4.114970
1998,6.527982,4.044522
1999,5.975526,4.079117
2000,5.764381,4.133621
2001,6.188057,4.107635
2002,6.078830,4.144280
2003,6.359195,4.307030
2004,6.474134,4.399256
2005,6.588397,4.493561
2006,7.044488,4.585831
2007,7.157007,4.661509
2008,6.962604,4.682571
2009,5.953907,4.545518
2010,6.336442,4.744937
2011,6.659268,4.848876
2012,6.587958,4.854014
2013,6.450489,4.837742
2014,5.605606,4.804597
2015,4.889163,4.739116
2016,5.132001,4.682487
2017,4.914331,4.705259
2018,5.129520,4.752195
2019,4.942181,4.747814
2020,4.635197,4.457744
2021,4.754911,4.634748
2022,3.484633,4.678452
2023,3.692417,4.707772
2024,3.763788,4.729075
