"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-61.261858,23.110626,,-0.001835,-0.000299,0.422313
1991,-61.394145,19.674660,,-0.003319,-0.017017,0.422313
1992,-61.526431,20.598425,,-0.004553,-0.080939,0.422313
1993,-61.674132,20.666063,,-0.005908,-0.115987,0.442743
1994,-61.823643,19.688373,,-0.007155,-0.131038,0.443989
1995,-61.972677,19.431565,,-0.008600,-0.150144,0.445484
1996,-62.121745,23.085204,,-0.010361,-0.163030,0.444487
1997,-62.317913,22.566774,,-0.011815,-0.170847,0.445733
1998,-62.514352,19.073462,,-0.012676,-0.222311,0.449719
1999,-62.711737,18.551728,,-0.013512,-0.244520,0.453706
2000,-62.908928,21.429110,,-0.014493,-0.244921,0.457692
2001,-63.104698,22.149671,,-0.015483,-0.248078,0.461679
2002,-63.299523,24.620771,,-0.016825,-0.270833,0.464336
2003,-63.493813,26.765254,,-0.017834,-0.277066,0.468101
2004,-63.687619,28.736626,,-0.019279,-0.278369,0.468876
2005,-63.887263,28.744224,,-0.020761,-0.278565,0.469652
2006,-63.928453,29.775193,,-0.024699,-0.279141,0.475631
2007,-63.868721,32.983954,,-0.029420,-0.346076,0.466662
2008,-63.540660,29.658831,,-0.034892,-0.433978,0.457692
2009,-63.185160,26.890961,,-0.042280,-0.490946,0.478870
2010,-63.052069,31.234051,,-0.045016,-0.517253,0.479119
2011,-62.727668,33.391248,,-0.047959,-0.606392,0.479618
2012,-62.625265,34.049977,,-0.050365,-0.563097,0.479867
2013,-62.174848,34.926501,,-0.051837,-0.533191,0.479867
2014,-61.751398,33.170771,,-0.051654,-0.544267,0.480116
2015,-61.475381,36.600736,,-0.050777,-0.525201,0.480116
2016,-61.060125,37.683606,,-0.054633,-0.811359,0.480116
2017,-61.073493,35.606477,,-0.055132,-0.864791,0.480116
2018,-60.740159,36.891834,,-0.056037,-0.865840,0.480116
2019,-59.690009,34.143092,,-0.055647,-0.848309,0.480116
2020,-60.422271,29.351850,,-0.055113,-0.857662,0.480116
2021,-60.555035,27.714242,,-0.054668,-0.867634,0.480116
2022,-60.686125,25.298845,,-0.053679,-0.851767,0.480116
2023,-60.831110,24.972382,,-0.053683,-0.875567,0.480116
