"Year","Historical","1.5C / 70 GtC","1.7C / 160 GtC","2.0C / 300 GtC"
1850,0.794451,,,
1851,0.824112,,,
1852,0.852878,,,
1853,0.860450,,,
1854,0.881713,,,
1855,0.897402,,,
1856,0.906690,,,
1857,0.920542,,,
1858,0.927394,,,
1859,0.943910,,,
1860,0.881079,,,
1861,0.850383,,,
1862,0.831946,,,
1863,0.830338,,,
1864,0.844997,,,
1865,0.830549,,,
1866,0.837892,,,
1867,0.834013,,,
1868,0.834540,,,
1869,0.840803,,,
1870,0.940925,,,
1871,0.973477,,,
1872,1.034052,,,
1873,1.058858,,,
1874,1.075151,,,
1875,1.095326,,,
1876,1.113018,,,
1877,1.141019,,,
1878,1.157518,,,
1879,1.186791,,,
1880,1.223072,,,
1881,1.225882,,,
1882,1.261418,,,
1883,1.294219,,,
1884,1.298870,,,
1885,1.302572,,,
1886,1.305426,,,
1887,1.335456,,,
1888,1.365114,,,
1889,1.374763,,,
1890,1.480244,,,
1891,1.521762,,,
1892,1.518074,,,
1893,1.523490,,,
1894,1.560030,,,
1895,1.579157,,,
1896,1.596810,,,
1897,1.635878,,,
1898,1.664362,,,
1899,1.717096,,,
1900,1.753172,,,
1901,1.804333,,,
1902,1.829888,,,
1903,1.890745,,,
1904,1.927446,,,
1905,1.977201,,,
1906,2.025242,,,
1907,2.123046,,,
1908,2.104731,,,
1909,2.157969,,,
1910,2.142038,,,
1911,2.145968,,,
1912,2.161908,,,
1913,2.223011,,,
1914,2.135498,,,
1915,2.101902,,,
1916,2.167461,,,
1917,2.187700,,,
1918,2.162361,,,
1919,2.026841,,,
1920,2.271695,,,
1921,2.210865,,,
1922,2.271099,,,
1923,2.421166,,,
1924,2.409948,,,
1925,2.453462,,,
1926,2.440949,,,
1927,2.533890,,,
1928,2.544483,,,
1929,2.639373,,,
1930,2.564453,,,
1931,2.471533,,,
1932,2.388298,,,
1933,2.422560,,,
1934,2.516920,,,
1935,2.548454,,,
1936,2.686026,,,
1937,2.759372,,,
1938,2.697191,,,
1939,2.754389,,,
1940,2.897080,,,
1941,2.968385,,,
1942,2.967908,,,
1943,2.990374,,,
1944,2.996200,,,
1945,2.768324,,,
1946,2.845021,,,
1947,2.982996,,,
1948,3.044910,,,
1949,2.966430,,,
1950,3.428891,,,
1951,3.699516,,,
1952,3.737101,,,
1953,3.822586,,,
1954,3.975214,,,
1955,4.204037,,,
1956,4.352952,,,
1957,4.483083,,,
1958,4.526660,,,
1959,4.775845,,,
1960,4.624418,,,
1961,4.636445,,,
1962,4.591779,,,
1963,4.681993,,,
1964,4.752452,,,
1965,4.809169,,,
1966,4.830521,,,
1967,5.022710,,,
1968,5.224306,,,
1969,5.624033,,,
1970,5.864409,,,
1971,5.877562,,,
1972,6.154010,,,
1973,6.334188,,,
1974,6.327836,,,
1975,6.273228,,,
1976,6.492147,,,
1977,6.778353,,,
1978,6.942435,,,
1979,6.879936,,,
1980,6.891629,,,
1981,6.701350,,,
1982,6.576622,,,
1983,6.706522,,,
1984,7.016462,,,
1985,7.302085,,,
1986,7.422776,,,
1987,7.481529,,,
1988,7.607559,,,
1989,7.634554,,,
1990,7.737446,,,
1991,7.835334,,,
1992,7.713217,,,
1993,7.709027,,,
1994,8.022338,,,
1995,8.060423,,,
1996,8.325082,,,
1997,8.765725,,,
1998,8.406663,,,
1999,8.489045,,,
2000,8.556639,,,
2001,8.416331,,,
2002,8.740729,,,
2003,9.447649,,,
2004,9.463007,,,
2005,9.585862,,,
2006,9.876021,,,
2007,9.993496,,,
2008,10.235973,,,
2009,10.241669,,,
2010,10.719915,,,
2011,10.991661,,,
2012,11.192400,,,
2013,11.171227,,,
2014,11.241686,,,
2015,11.250477,,,
2016,10.934842,,,
2017,11.071844,,,
2018,11.158425,,,
2019,11.246142,,,
2020,10.614618,,,
2021,11.108543,,,
2022,11.327457,,,
2023,11.464659,,,
2024,11.561759,,,
2025,11.530246,11.530246,11.530246,11.530246
2026,,10.580628,11.114788,11.308669
2027,,9.631009,10.699330,11.087091
2028,,8.681391,10.283872,10.865513
2029,,7.731773,9.868414,10.643936
2030,,6.782154,9.452956,10.422358
2031,,5.832536,9.037498,10.200781
2032,,4.882917,8.622040,9.979203
2033,,3.933299,8.206582,9.757625
2034,,2.983680,7.791124,9.536048
2035,,2.034062,7.375666,9.314470
2036,,1.084444,6.960208,9.092892
2037,,0.134825,6.544750,8.871315
2038,,0,6.129292,8.649737
2039,,0,5.713833,8.428159
2040,,0,5.298375,8.206582
2041,,0,4.882917,7.985004
2042,,0,4.467459,7.763427
2043,,0,4.052001,7.541849
2044,,0,3.636543,7.320271
2045,,0,3.221085,7.098694
2046,,0,2.805627,6.877116
2047,,0,2.390169,6.655538
2048,,0,1.974711,6.433961
2049,,0,1.559253,6.212383
2050,,0,1.143795,5.990805
2051,,0,0.728337,5.769228
2052,,0,0.312879,5.547650
2053,,0,0,5.326073
2054,,0,0,5.104495
2055,,0,0,4.882917
2056,,0,0,4.661340
2057,,0,0,4.439762
2058,,0,0,4.218184
2059,,0,0,3.996607
2060,,0,0,3.775029
2061,,0,0,3.553451
2062,,0,0,3.331874
2063,,0,0,3.110296
2064,,0,0,2.888719
2065,,0,0,2.667141
2066,,0,0,2.445563
2067,,0,0,2.223986
2068,,0,0,2.002408
2069,,0,0,1.780830
2070,,0,0,1.559253
2071,,0,0,1.337675
2072,,0,0,1.116098
2073,,0,0,0.894520
2074,,0,0,0.672942
2075,,0,0,0.451365
2076,,0,0,0.229787
2077,,0,0,0.008209
2078,,0,0,0
2079,,0,0,0
2080,,0,0,0
2081,,0,0,0
2082,,0,0,0
2083,,0,0,0
2084,,0,0,0
2085,,0,0,0
2086,,0,0,0
2087,,0,0,0
2088,,0,0,0
2089,,0,0,0
2090,,0,0,0
2091,,0,0,0
2092,,0,0,0
2093,,0,0,0
2094,,0,0,0
2095,,0,0,0
2096,,0,0,0
2097,,0,0,0
2098,,0,0,0
2099,,0,0,0
