"Year","Emissions","Intensity","Crisis1","Crisis2","Crisis3","Crisis4","Crisis5","Crisis6"
1959,2.416788,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1960,2.561941,166.994232,"NaN","NaN","NaN","NaN","NaN","NaN"
1961,2.569593,160.725825,"NaN","NaN","NaN","NaN","NaN","NaN"
1962,2.660273,158.191967,"NaN","NaN","NaN","NaN","NaN","NaN"
1963,2.802068,159.444605,"NaN","NaN","NaN","NaN","NaN","NaN"
1964,2.954277,156.754303,"NaN","NaN","NaN","NaN","NaN","NaN"
1965,3.086955,155.238352,"NaN","NaN","NaN","NaN","NaN","NaN"
1966,3.237616,154.499444,"NaN","NaN","NaN","NaN","NaN","NaN"
1967,3.339894,153.490829,"NaN","NaN","NaN","NaN","NaN","NaN"
1968,3.522182,152.567559,"NaN","NaN","NaN","NaN","NaN","NaN"
1969,3.755949,153.613972,3.792227,"NaN","NaN","NaN","NaN","NaN"
1970,4.066359,157.721842,"NaN","NaN","NaN","NaN","NaN","NaN"
1971,4.231404,156.799740,"NaN","NaN","NaN","NaN","NaN","NaN"
1972,4.428106,155.466284,"NaN","NaN","NaN","NaN","NaN","NaN"
1973,4.660831,153.002711,"NaN","NaN","NaN","NaN","NaN","NaN"
1974,4.639168,147.715721,"NaN","NaN","NaN","NaN","NaN","NaN"
1975,4.636593,145.553601,"NaN",4.647271,"NaN","NaN","NaN","NaN"
1976,4.875134,144.764103,"NaN","NaN","NaN","NaN","NaN","NaN"
1977,5.010382,142.605442,"NaN","NaN","NaN","NaN","NaN","NaN"
1978,5.192342,142.138224,5.746587,"NaN","NaN","NaN","NaN","NaN"
1979,5.324397,140.164685,"NaN","NaN","NaN","NaN","NaN","NaN"
1980,5.297433,136.699375,"NaN","NaN","NaN","NaN","NaN","NaN"
1981,5.152772,130.460374,"NaN","NaN","NaN","NaN","NaN","NaN"
1982,5.111829,128.514832,"NaN","NaN","NaN","NaN","NaN","NaN"
1983,5.158781,126.500352,"NaN","NaN","NaN","NaN","NaN","NaN"
1984,5.310385,125.175857,"NaN",6.170805,"NaN","NaN","NaN","NaN"
1985,5.498052,125.570350,"NaN","NaN",5.448594,"NaN","NaN","NaN"
1986,5.578069,123.104567,"NaN","NaN","NaN","NaN","NaN","NaN"
1987,5.760423,122.836898,"NaN","NaN","NaN","NaN","NaN","NaN"
1988,5.982193,122.374370,"NaN","NaN","NaN","NaN","NaN","NaN"
1989,6.059010,119.729378,"NaN","NaN","NaN","NaN","NaN","NaN"
1990,6.204188,119.774457,"NaN","NaN","NaN","NaN","NaN","NaN"
1991,6.333404,120.906687,"NaN","NaN","NaN","NaN","NaN","NaN"
1992,6.146404,115.477998,"NaN","NaN","NaN","NaN","NaN","NaN"
1993,6.209026,114.790854,"NaN","NaN","NaN",6.160592,"NaN","NaN"
1994,6.270360,112.765881,"NaN","NaN",6.822030,"NaN","NaN","NaN"
1995,6.418296,111.954631,"NaN","NaN","NaN","NaN","NaN","NaN"
1996,6.613940,111.232189,"NaN","NaN","NaN","NaN","NaN","NaN"
1997,6.654018,107.704507,"NaN","NaN","NaN","NaN","NaN","NaN"
1998,6.630926,104.732402,"NaN","NaN","NaN","NaN","NaN","NaN"
1999,6.778868,103.518112,"NaN","NaN","NaN","NaN","NaN","NaN"
2000,6.962741,101.553226,"NaN","NaN","NaN","NaN","NaN","NaN"
2001,7.012280,99.958590,"NaN","NaN","NaN","NaN","NaN","NaN"
2002,7.168486,99.577995,"NaN","NaN","NaN",7.270800,"NaN","NaN"
2003,7.547132,101.175586,"NaN","NaN","NaN","NaN","NaN","NaN"
2004,7.808413,99.586373,"NaN","NaN","NaN","NaN",7.788709,"NaN"
2005,8.078316,98.548074,"NaN","NaN","NaN","NaN","NaN","NaN"
2006,8.349932,96.883806,"NaN","NaN","NaN","NaN","NaN","NaN"
2007,8.596958,94.890743,"NaN","NaN","NaN","NaN","NaN","NaN"
2008,8.747178,93.993404,"NaN","NaN","NaN","NaN","NaN","NaN"
2009,8.600713,93.064368,"NaN","NaN","NaN","NaN","NaN","NaN"
2010,9.093251,93.688010,"NaN","NaN","NaN","NaN","NaN","NaN"
2011,9.410477,93.369825,"NaN","NaN","NaN","NaN","NaN","NaN"
2012,9.540048,91.836062,"NaN","NaN","NaN","NaN","NaN","NaN"
2013,9.627680,89.760350,"NaN","NaN","NaN","NaN",9.945264,"NaN"
2014,9.679502,87.338841,"NaN","NaN","NaN","NaN","NaN","NaN"
2015,9.662535,84.405943,"NaN","NaN","NaN","NaN","NaN",9.607988
2016,9.659615,81.746030,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,9.818398,80.096659,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,10.025656,79.044882,"NaN","NaN","NaN","NaN","NaN","NaN"
2019,10.121880,77.613567,"NaN","NaN","NaN","NaN","NaN","NaN"
2020,9.595587,76.029976,"NaN","NaN","NaN","NaN","NaN","NaN"
2021,10.061917,75.257480,"NaN","NaN","NaN","NaN","NaN","NaN"
2022,10.242296,74.049661,"NaN","NaN","NaN","NaN","NaN","NaN"
2023,10.396846,72.875443,"NaN","NaN","NaN","NaN","NaN","NaN"
2024,10.534546,71.434780,"NaN","NaN","NaN","NaN","NaN",10.764245
2025,10.608743,69.608355,"NaN","NaN","NaN","NaN","NaN","NaN"
