"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,1.056292,1.190002,0.157747,0.159212,1.400590,1.378641,0.677821,0.644315
1991,1.038354,1.159731,0.167955,0.164822,1.385484,1.357636,0.714832,0.670829
1992,1.003749,1.237684,0.178882,0.179268,1.413420,1.415813,0.745439,0.725487
1993,0.984758,1.157588,0.184842,0.180422,1.440917,1.426606,0.795383,0.766947
1994,0.979655,1.130719,0.194881,0.188959,1.463391,1.452641,0.844403,0.762019
1995,0.992325,1.146334,0.207555,0.198864,1.480851,1.470131,0.914628,0.828765
1996,1.015478,1.129222,0.224782,0.211127,1.528683,1.513430,0.955052,0.862270
1997,0.997394,1.092419,0.234164,0.219028,1.548347,1.538929,0.958611,0.845956
1998,0.994719,1.115729,0.239024,0.222187,1.565600,1.593584,0.915758,0.818054
1999,0.979574,1.125602,0.262335,0.251644,1.583046,1.620483,0.968873,0.870992
2000,0.982646,1.146932,0.269395,0.249556,1.643875,1.700246,0.994490,0.883189
2001,0.998117,1.145689,0.273253,0.251509,1.611234,1.678242,1.016407,0.909166
2002,0.998196,1.142586,0.281864,0.255698,1.623313,1.712286,1.118499,0.987911
2003,1.019749,1.193031,0.291593,0.268944,1.639312,1.756414,1.319665,1.097077
2004,1.021666,1.210448,0.309665,0.284748,1.667998,1.789240,1.422206,1.161202
2005,1.019348,1.233874,0.326254,0.301452,1.672190,1.816597,1.605347,1.268180
2006,1.024019,1.255850,0.352981,0.320031,1.649925,1.806474,1.770247,1.382163
2007,1.010335,1.259390,0.380318,0.352372,1.670727,1.781312,1.903565,1.492538
2008,0.989581,1.252274,0.406759,0.374671,1.615508,1.697073,2.044870,1.606980
2009,0.908980,1.136441,0.440319,0.415307,1.497299,1.562796,2.151062,1.815826
2010,0.934587,1.181474,0.458114,0.428796,1.547284,1.607487,2.349904,1.981630
2011,0.908040,1.138861,0.481904,0.443285,1.511728,1.565884,2.598295,2.198939
2012,0.889360,1.060966,0.525924,0.486375,1.455095,1.514826,2.665751,2.276929
2013,0.866957,1.040101,0.544579,0.447013,1.493842,1.538680,2.713529,2.354633
2014,0.829384,1.000715,0.586259,0.494239,1.509657,1.571615,2.722715,2.379948
2015,0.844680,0.987857,0.609120,0.535222,1.465201,1.553910,2.690513,2.398948
2016,0.844573,1.007084,0.642069,0.546416,1.431594,1.516856,2.660528,2.366842
2017,0.851108,1.015998,0.662042,0.576472,1.417963,1.508223,2.729261,2.444706
2018,0.832283,1.030011,0.708304,0.611098,1.463219,1.551457,2.823906,2.577356
2019,0.792836,0.985139,0.712657,0.618803,1.429015,1.522947,2.923994,2.665689
2020,0.716990,0.894209,0.661226,0.569086,1.280009,1.392763,2.973941,2.674377
2021,0.764593,0.974945,0.730289,0.614637,1.370118,1.498270,3.079804,2.753272
2022,0.746983,0.973456,0.772689,0.638644,1.379750,1.519102,3.196454,2.845806
2023,0.678220,0.901255,0.835905,0.694109,1.342360,1.482440,3.322055,2.963162
