"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1959,1.013567,0.355545,0.040350,0.839232,0.064710,0.019314,0.025724
1960,1.082679,0.395204,0.042732,0.860627,0.064148,0.024639,0.027324
1961,1.122309,0.354445,0.044212,0.858745,0.065433,0.025787,0.027287
1962,1.184338,0.336502,0.045397,0.891083,0.071010,0.029829,0.028138
1963,1.258818,0.354583,0.048126,0.929054,0.070405,0.033732,0.029829
1964,1.321574,0.371798,0.052849,0.976105,0.075131,0.039512,0.032328
1965,1.360389,0.403041,0.058306,1.017197,0.077752,0.047160,0.035255
1966,1.407233,0.436077,0.060339,1.067623,0.080962,0.054299,0.036009
1967,1.438380,0.441952,0.064696,1.112875,0.086464,0.056097,0.037712
1968,1.505443,0.485580,0.070215,1.156838,0.092401,0.064597,0.039555
1969,1.587447,0.551536,0.075796,1.213125,0.100425,0.073270,0.041802
1970,1.664490,0.658378,0.082535,1.308762,0.110546,0.077882,0.045195
1971,1.726962,0.714774,0.090497,1.322189,0.114080,0.091277,0.046371
1972,1.789452,0.755639,0.095965,1.388300,0.119471,0.098486,0.047171
1973,1.869408,0.797858,0.103085,1.447506,0.130571,0.116957,0.052495
1974,1.874370,0.810022,0.105908,1.406495,0.136862,0.121112,0.051656
1975,1.885120,0.858019,0.105577,1.358048,0.136446,0.118585,0.053336
1976,1.987441,0.899637,0.114543,1.420433,0.142751,0.138682,0.052609
1977,2.002872,0.959202,0.118082,1.460259,0.146087,0.145879,0.056245
1978,2.066237,1.008401,0.126104,1.510738,0.152766,0.146468,0.057932
1979,2.115216,1.046960,0.136100,1.525992,0.162552,0.155502,0.057932
1980,2.116192,1.049520,0.146208,1.485073,0.166138,0.151448,0.061589
1981,2.039267,1.042914,0.149701,1.434883,0.159327,0.150881,0.063854
1982,2.022809,1.078929,0.155955,1.373006,0.160223,0.154202,0.065345
1983,2.024535,1.120037,0.162196,1.373510,0.156189,0.162534,0.062412
1984,2.038424,1.187029,0.177087,1.414223,0.160150,0.170293,0.065430
1985,2.126909,1.252807,0.181620,1.420532,0.164611,0.183554,0.068165
1986,2.130323,1.302628,0.188082,1.418243,0.168164,0.195279,0.068313
1987,2.136163,1.362660,0.188052,1.481711,0.177032,0.199708,0.071509
1988,2.146736,1.475116,0.197567,1.544618,0.183310,0.212719,0.073573
1989,2.137324,1.521461,0.190137,1.568482,0.184663,0.224994,0.078032
1990,2.194024,1.572429,0.178985,1.612238,0.188427,0.224689,0.083867
1991,2.112403,1.638766,0.186747,1.598453,0.190238,0.243805,0.084444
1992,1.936220,1.698673,0.181142,1.630815,0.193224,0.268821,0.086356
1993,1.857657,1.764716,0.192298,1.659916,0.202808,0.291973,0.087520
1994,1.759248,1.844527,0.215270,1.690074,0.204570,0.308132,0.088924
1995,1.752848,1.942755,0.229881,1.705418,0.215731,0.311111,0.092087
1996,1.766380,2.030628,0.237657,1.760666,0.225490,0.316287,0.094378
1997,1.710323,2.069097,0.243622,1.789927,0.240067,0.311922,0.097115
1998,1.703228,1.990842,0.248676,1.814336,0.246792,0.322890,0.100491
1999,1.680318,2.100210,0.244952,1.837016,0.254215,0.347368,0.103703
2000,1.680000,2.163528,0.253234,1.905566,0.256981,0.383941,0.105648
2001,1.714773,2.205016,0.250358,1.875191,0.252782,0.393627,0.108332
2002,1.705636,2.342753,0.244799,1.889469,0.261786,0.396782,0.109780
2003,1.744288,2.590489,0.269678,1.917115,0.263875,0.422684,0.112677
2004,1.752015,2.739429,0.284797,1.945169,0.272862,0.451904,0.115657
2005,1.754355,2.955266,0.288128,1.954537,0.282076,0.470682,0.116933
2006,1.781996,3.156179,0.296081,1.934189,0.292642,0.499844,0.118642
2007,1.766715,3.351988,0.304007,1.961188,0.303452,0.503010,0.120504
2008,1.748699,3.511004,0.318283,1.901510,0.315159,0.541562,0.122156
2009,1.608386,3.634607,0.316835,1.770787,0.307420,0.563764,0.122153
2010,1.669585,3.919905,0.331951,1.823332,0.339327,0.594610,0.121956
2011,1.649656,4.241875,0.345222,1.797456,0.343784,0.609140,0.121473
2012,1.637172,4.383577,0.344843,1.745454,0.358206,0.649953,0.122237
2013,1.593913,4.461168,0.349497,1.784407,0.375661,0.639817,0.120216
2014,1.530879,4.525213,0.371400,1.796107,0.380686,0.651523,0.119151
2015,1.532054,4.531987,0.364611,1.749876,0.373417,0.674542,0.121468
2016,1.527851,4.554783,0.373149,1.713557,0.359594,0.687965,0.123645
2017,1.537233,4.689487,0.375902,1.699532,0.353645,0.709637,0.125146
2018,1.532164,4.851867,0.379688,1.748180,0.341977,0.708708,0.125634
2019,1.483952,4.973587,0.397399,1.714996,0.347834,0.739887,0.125912
2020,1.371636,4.925293,0.373700,1.540314,0.310759,0.724233,0.120517
2021,1.437076,5.114865,0.402659,1.638927,0.349990,0.760784,0.117692
2022,1.390730,5.310010,0.398227,1.653248,0.348953,0.761564,0.116008
2023,1.333826,5.488841,0.404422,1.616485,0.351877,0.789939,0.115944
2024,1.332018,5.576481,0.409958,1.610022,0.353441,0.810209,0.116963
