"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,2.514995,2.833354,0.182373,0.184066,5.527770,5.441143,0.587579,0.558534
1991,2.463946,2.751966,0.190010,0.186466,5.402098,5.293519,0.610556,0.572972
1992,2.373695,2.926911,0.198107,0.198534,5.444479,5.453698,0.629289,0.612445
1993,2.321969,2.729486,0.200454,0.195660,5.486424,5.431934,0.664309,0.640559
1994,2.304045,2.659333,0.207064,0.200772,5.512352,5.471859,0.698429,0.630287
1995,2.330234,2.691887,0.216135,0.207085,5.521323,5.481354,0.749613,0.679241
1996,2.382733,2.649624,0.229445,0.215506,5.643797,5.587483,0.775869,0.700495
1997,2.337724,2.560446,0.234367,0.219218,5.661895,5.627455,0.772363,0.681596
1998,2.331433,2.615058,0.234644,0.218115,5.670014,5.771360,0.732110,0.654000
1999,2.294996,2.637116,0.252676,0.242379,5.678367,5.812652,0.768839,0.691167
2000,2.297903,2.682083,0.254646,0.235892,5.840027,6.040289,0.783321,0.695654
2001,2.328902,2.673232,0.253505,0.233333,5.667779,5.903491,0.794859,0.710994
2002,2.321978,2.657854,0.256800,0.232961,5.654481,5.964402,0.869165,0.767687
2003,2.363474,2.765090,0.261096,0.240816,5.654593,6.058521,1.019426,0.847479
2004,2.359186,2.795113,0.272594,0.250660,5.696982,6.111079,1.092240,0.891791
2005,2.345717,2.839384,0.282550,0.261070,5.654702,6.143032,1.225430,0.968056
2006,2.350375,2.882485,0.300952,0.272860,5.523128,6.047176,1.343076,1.048639
2007,2.312009,2.881936,0.319414,0.295943,5.535063,5.901428,1.435771,1.125753
2008,2.256494,2.855500,0.336741,0.310176,5.297263,5.564714,1.533092,1.204794
2009,2.067318,2.584637,0.359290,0.338881,4.860991,5.073626,1.602254,1.352547
2010,2.121126,2.681458,0.368412,0.344835,4.974187,5.167725,1.738659,1.466178
2011,2.056993,2.579873,0.382092,0.351472,4.812811,4.985222,1.910159,1.616569
2012,2.012131,2.400379,0.411304,0.380374,4.588535,4.776893,1.946484,1.662573
2013,1.959669,2.351045,0.420255,0.344963,4.666640,4.806711,1.967740,1.707483
2014,1.872347,2.259129,0.446749,0.376627,4.672193,4.863942,1.961678,1.714719
2015,1.902814,2.225349,0.458667,0.403021,4.492739,4.764748,1.927117,1.718279
2016,1.898294,2.263560,0.477750,0.406577,4.348979,4.607991,1.894892,1.685722
2017,1.909612,2.279572,0.486918,0.423984,4.268343,4.540043,1.932419,1.730943
2018,1.864000,2.306836,0.515258,0.444545,4.367083,4.630433,1.990055,1.816307
2019,1.772218,2.202071,0.513061,0.445493,4.230484,4.508560,2.054059,1.872603
2020,1.601219,1.996995,0.471423,0.405732,3.770986,4.103167,2.085358,1.875300
2021,1.707802,2.177647,0.516396,0.434617,4.027845,4.404586,2.159088,1.930174
2022,1.663239,2.167505,0.542077,0.448038,4.039860,4.447878,2.242843,1.996805
2023,1.504956,1.999868,0.581269,0.482667,3.908147,4.315975,2.335224,2.082942
