"Year","Emissions","Plus1SD","Minus1SD"
1959,2.403365,2.523534,2.283197
1960,2.547298,2.674663,2.419933
1961,2.553978,2.681677,2.426279
1962,2.643526,2.775702,2.511350
1963,2.784250,2.923462,2.645037
1964,2.934789,3.081528,2.788049
1965,3.066423,3.219744,2.913102
1966,3.215581,3.376360,3.054802
1967,3.316780,3.482619,3.150941
1968,3.497469,3.672343,3.322596
1969,3.729780,3.916269,3.543291
1970,4.038625,4.240557,3.836694
1971,4.201962,4.412060,3.991863
1972,4.396890,4.616735,4.177046
1973,4.627238,4.858600,4.395876
1974,4.604856,4.835099,4.374613
1975,4.601968,4.832066,4.371869
1976,4.838141,5.080048,4.596234
1977,4.971559,5.220137,4.722981
1978,5.150978,5.408527,4.893429
1979,5.281730,5.545816,5.017643
1980,5.253716,5.516402,4.991030
1981,5.108397,5.363817,4.852977
1982,5.066919,5.320264,4.813573
1983,5.112675,5.368309,4.857042
1984,5.262969,5.526117,4.999820
1985,5.449535,5.722011,5.177058
1986,5.527766,5.804155,5.251378
1987,5.708072,5.993476,5.422669
1988,5.927242,6.223605,5.630880
1989,6.002234,6.302346,5.702123
1990,6.146543,6.453870,5.839215
1991,6.274117,6.587823,5.960412
1992,6.084424,6.388645,5.780202
1993,6.144264,6.451477,5.837051
1994,6.202221,6.512332,5.892110
1995,6.346973,6.664321,6.029624
1996,6.539649,6.866631,6.212666
1997,6.576965,6.905813,6.248116
1998,6.552886,6.880530,6.225242
1999,6.698145,7.033052,6.363237
2000,6.879302,7.223268,6.535337
2001,6.925964,7.272262,6.579666
2002,7.077602,7.431482,6.723722
2003,7.449502,7.821978,7.077027
2004,7.704310,8.089525,7.319094
2005,7.967108,8.365464,7.568753
2006,8.229258,8.640721,7.817795
2007,8.466966,8.890314,8.043618
2008,8.611787,9.042376,8.181197
2009,8.458149,8.881056,8.035241
2010,8.941032,9.388083,8.493980
2011,9.246968,9.709316,8.784620
2012,9.368677,9.837111,8.900243
2013,9.446467,9.918790,8.974143
2014,9.492256,9.966869,9.017643
2015,9.473014,9.946665,8.999363
2016,9.467442,9.940814,8.994069
2017,9.623218,10.104378,9.142057
2018,9.825995,10.317294,9.334695
2019,9.912306,10.407921,9.416690
2020,9.381938,9.851035,8.912842
2021,9.837500,10.329375,9.345625
2022,10.021400,10.522470,9.520330
2023,10.169475,10.677949,9.661002
2024,10.310256,10.825769,9.794743
2025,10.400246,11.022563,9.782242
