"Year","China","USA","India","EU27","World"
1960,0.875264,0.222098,0.064794,0.144533,0.166994
1961,0.859695,0.216322,0.067563,0.142627,0.160726
1962,0.733367,0.211444,0.072280,0.144335,0.158192
1963,0.660778,0.211502,0.073263,0.146901,0.159445
1964,0.563850,0.208720,0.066767,0.145319,0.156754
1965,0.523628,0.204292,0.075562,0.139391,0.155238
1966,0.519742,0.201522,0.078395,0.137208,0.154499
1967,0.461993,0.203986,0.072790,0.135490,0.153491
1968,0.518674,0.201759,0.076809,0.136201,0.152568
1969,0.543952,0.205588,0.073478,0.135932,0.153614
1970,0.606215,0.221874,0.071573,0.134264,0.157722
1971,0.637100,0.216076,0.074384,0.132544,0.156800
1972,0.653727,0.215040,0.079112,0.130824,0.155466
1973,0.631397,0.212659,0.078874,0.128859,0.153003
1974,0.629101,0.206240,0.080469,0.123357,0.147716
1975,0.666030,0.197964,0.079993,0.120448,0.145554
1976,0.701281,0.196655,0.082225,0.123105,0.144764
1977,0.712693,0.193168,0.081115,0.117838,0.142605
1978,0.710517,0.188733,0.077973,0.117847,0.142138
1979,0.674933,0.183368,0.086390,0.116886,0.140165
1980,0.613139,0.177153,0.085458,0.113784,0.136699
1981,0.576289,0.165954,0.087043,0.107643,0.130460
1982,0.575148,0.160382,0.086900,0.104277,0.128515
1983,0.547521,0.154578,0.087673,0.101320,0.126500
1984,0.517534,0.148558,0.086692,0.099857,0.125176
1985,0.494102,0.143121,0.090572,0.099187,0.125570
1986,0.477641,0.138416,0.092686,0.096183,0.123105
1987,0.458927,0.139552,0.095223,0.094715,0.122837
1988,0.443308,0.139833,0.093794,0.090238,0.122374
1989,0.432027,0.136600,0.097344,0.088081,0.119729
1990,0.419342,0.138707,0.098608,0.086988,0.119774
1991,0.404750,0.137360,0.103891,0.084747,0.120907
1992,0.369518,0.135362,0.104898,0.081288,0.115478
1993,0.346208,0.134299,0.103478,0.080242,0.114791
1994,0.325156,0.131112,0.102286,0.077737,0.112766
1995,0.317427,0.129208,0.101268,0.076605,0.111955
1996,0.301536,0.128532,0.101975,0.076841,0.111232
1997,0.277068,0.124643,0.102096,0.073585,0.107705
1998,0.245425,0.120626,0.098145,0.071271,0.104732
1999,0.241182,0.116390,0.098963,0.068239,0.103518
2000,0.228186,0.116127,0.097867,0.065882,0.101553
2001,0.215270,0.112745,0.094700,0.065439,0.099959
2002,0.217067,0.111696,0.094105,0.064630,0.099578
2003,0.232744,0.109729,0.090259,0.065313,0.101176
2004,0.227791,0.107507,0.088816,0.063673,0.099586
2005,0.230823,0.104150,0.086704,0.062234,0.098548
2006,0.225808,0.099981,0.086809,0.060312,0.096884
2007,0.212564,0.099246,0.086877,0.057587,0.094891
2008,0.208246,0.095849,0.090135,0.055915,0.093993
2009,0.200240,0.091207,0.090459,0.053655,0.093064
2010,0.197721,0.091766,0.086744,0.054036,0.093688
2011,0.199561,0.088288,0.086704,0.051569,0.093370
2012,0.189815,0.083086,0.089728,0.050869,0.091836
2013,0.179293,0.083756,0.087334,0.049589,0.089760
2014,0.167464,0.082749,0.087532,0.046672,0.087339
2015,0.154598,0.078196,0.084211,0.046426,0.084406
2016,0.143076,0.075150,0.081997,0.045470,0.081746
2017,0.137238,0.072792,0.079168,0.044505,0.080097
2018,0.133019,0.072985,0.079506,0.042572,0.079045
2019,0.129802,0.069684,0.076887,0.039765,0.077614
2020,0.129123,0.064618,0.076916,0.038231,0.076030
2021,0.123723,0.065455,0.077972,0.038678,0.075257
2022,0.123028,0.063558,0.076280,0.036732,0.074050
2023,0.121688,0.060475,0.077198,0.032538,0.072875
2024,0.116910,0.059445,0.075235,0.031107,0.071435
2025,0.111562,0.059438,0.071077,0.030562,0.069608
