"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1959,1.688583,0.197231,0.145542,3.643696,0.364110,0.260645,1.909690
1960,1.785848,0.215819,0.150526,3.663254,0.351397,0.323125,1.984752
1961,1.832919,0.190665,0.152050,3.582867,0.348962,0.328632,1.939715
1962,1.915583,0.177545,0.152381,3.644413,0.368747,0.369155,1.959303
1963,2.017187,0.182574,0.157622,3.727330,0.356067,0.405187,2.035478
1964,2.099031,0.186754,0.168839,3.843604,0.370175,0.460679,2.161768
1965,2.142776,0.197792,0.181660,3.934121,0.373385,0.533792,2.309306
1966,2.199224,0.209262,0.183290,4.059502,0.379156,0.596530,2.310893
1967,2.231530,0.207503,0.191524,4.163624,0.395088,0.598107,2.375664
1968,2.319327,0.222949,0.202501,4.261514,0.412182,0.668503,2.448240
1969,2.428718,0.247533,0.212931,4.401433,0.437515,0.735934,2.539298
1970,2.531622,0.288914,0.225831,4.672442,0.470587,0.759386,2.680437
1971,2.610905,0.306946,0.241171,4.642730,0.474650,0.863944,2.674481
1972,2.686815,0.317763,0.249112,4.801203,0.485906,0.904895,2.660471
1973,2.788937,0.328590,0.260488,4.936251,0.519209,1.043571,2.910509
1974,2.780008,0.326922,0.260352,4.731286,0.532211,1.049736,2.817658
1975,2.781376,0.339685,0.252358,4.507057,0.519014,0.998727,2.868214
1976,2.917800,0.349643,0.266115,4.652189,0.531254,1.134972,2.795869
1977,2.925651,0.366133,0.266806,4.720347,0.531910,1.159296,2.956747
1978,3.003567,0.378216,0.276883,4.820328,0.544181,1.129438,3.013365
1979,3.060012,0.385836,0.290139,4.806015,0.566596,1.163173,2.981795
1980,3.045836,0.379939,0.302754,4.615625,0.566743,1.098096,3.132584
1981,2.921161,0.370889,0.300914,4.401541,0.532031,1.055576,3.201939
1982,2.885747,0.376759,0.304114,4.157927,0.523795,1.040429,3.226683
1983,2.876572,0.384002,0.307139,4.107039,0.499882,1.060934,3.037193
1984,2.884655,0.399703,0.325835,4.176800,0.501872,1.075574,3.141575
1985,2.997827,0.414268,0.324608,4.144865,0.505309,1.123171,3.230123
1986,2.989734,0.422864,0.326642,4.089390,0.505917,1.157684,3.193351
1987,2.984586,0.434121,0.317424,4.222608,0.522193,1.147008,3.295006
1988,2.985940,0.461318,0.324299,4.350081,0.530313,1.185783,3.340045
1989,2.960257,0.467283,0.303646,4.364776,0.524129,1.218580,3.490328
1990,3.027368,0.474371,0.278105,4.428678,0.524878,1.187022,3.692589
1991,2.905312,0.486170,0.282560,4.330428,0.520380,1.255920,3.662234
1992,2.658816,0.496307,0.267030,4.357985,0.519280,1.348151,3.699899
1993,2.549518,0.508089,0.276124,4.377649,0.535702,1.432487,3.710105
1994,2.411490,0.523609,0.301375,4.401880,0.531368,1.480329,3.729245
1995,2.401028,0.543991,0.313840,4.388737,0.551216,1.462327,3.816560
1996,2.419545,0.561023,0.316350,4.478435,0.566980,1.455451,3.863831
1997,2.342530,0.564257,0.316333,4.501707,0.594225,1.405265,3.930283
1998,2.334555,0.536091,0.314887,4.512297,0.601461,1.423973,4.023063
1999,2.305148,0.558637,0.302479,4.518403,0.610248,1.499710,4.107328
2000,2.304830,0.568569,0.304989,4.635693,0.608068,1.621834,4.138461
2001,2.352250,0.572648,0.294055,4.511412,0.589995,1.626313,4.193988
2002,2.336816,0.601454,0.280377,4.496259,0.603037,1.607132,4.197503
2003,2.385631,0.657694,0.301176,4.513131,0.600221,1.677806,4.254693
2004,2.393297,0.688071,0.310085,4.530223,0.613146,1.753362,4.314832
2005,2.393821,0.734496,0.305803,4.503216,0.626391,1.784000,4.309319
2006,2.429368,0.776230,0.306320,4.407846,0.642435,1.849783,4.312855
2007,2.404505,0.815799,0.306556,4.419343,0.658804,1.818188,4.312251
2008,2.374588,0.845647,0.312754,4.236344,0.676900,1.913383,4.297221
2009,2.179903,0.866193,0.303372,3.901167,0.653443,1.948574,4.225545
2010,2.259096,0.924329,0.309714,3.972867,0.714071,2.012486,4.156230
2011,2.228424,0.989906,0.313919,3.874104,0.716341,2.017573,4.082619
2012,2.208233,1.012394,0.305604,3.722294,0.739062,2.105935,4.048502
2013,2.146907,1.019916,0.301728,3.766078,0.767575,2.028785,3.921403
2014,2.058714,1.024607,0.312431,3.752867,0.770383,2.020387,3.828490
2015,2.055836,1.016774,0.298963,3.621260,0.748492,2.045085,3.843879
2016,2.045304,1.012760,0.298351,3.512494,0.714053,2.043976,3.849915
2017,2.053898,1.033472,0.293128,3.451001,0.696011,2.073993,3.833185
2018,2.043982,1.060456,0.288763,3.517555,0.667443,2.041435,3.789166
2019,1.977148,1.078804,0.294924,3.420430,0.673617,2.100068,3.743711
2020,1.827419,1.060977,0.270745,3.053337,0.597762,2.027512,3.544455
2021,1.916893,1.095729,0.284929,3.236904,0.669506,2.100510,3.432926
2022,1.859127,1.132482,0.275340,3.247839,0.663790,2.064360,3.354359
2023,1.786277,1.165303,0.273224,3.153638,0.665052,2.100008,3.321080
2024,1.785065,1.177993,0.270681,3.119645,0.663673,2.118515,3.318006
