"Year","Cement emissions","Cement carbonation"
1959,0.039641,-0.013423
1960,0.042957,-0.014643
1961,0.044799,-0.015615
1962,0.048134,-0.016747
1963,0.050759,-0.017819
1964,0.056264,-0.019488
1965,0.059069,-0.020532
1966,0.063594,-0.022035
1967,0.065470,-0.023114
1968,0.069671,-0.024712
1969,0.073854,-0.026169
1970,0.078666,-0.027733
1971,0.082712,-0.029442
1972,0.087679,-0.031216
1973,0.092839,-0.033594
1974,0.092961,-0.034312
1975,0.092761,-0.034625
1976,0.097176,-0.036993
1977,0.101722,-0.038822
1978,0.108594,-0.041364
1979,0.110181,-0.042667
1980,0.110850,-0.043717
1981,0.110859,-0.044375
1982,0.110275,-0.044911
1983,0.112793,-0.046106
1984,0.114934,-0.047416
1985,0.116196,-0.048518
1986,0.120574,-0.050303
1987,0.125104,-0.052351
1988,0.131531,-0.054951
1989,0.134299,-0.056776
1990,0.134422,-0.057645
1991,0.137744,-0.059286
1992,0.143538,-0.061980
1993,0.149991,-0.064763
1994,0.160137,-0.068139
1995,0.169270,-0.071324
1996,0.172915,-0.074292
1997,0.179811,-0.077053
1998,0.179202,-0.078040
1999,0.187786,-0.080723
2000,0.196006,-0.083439
2001,0.204898,-0.086316
2002,0.212610,-0.090884
2003,0.234016,-0.097629
2004,0.244522,-0.104103
2005,0.263858,-0.111208
2006,0.285834,-0.120674
2007,0.307369,-0.129992
2008,0.310425,-0.135391
2009,0.319489,-0.142564
2010,0.341652,-0.152220
2011,0.367016,-0.163509
2012,0.375915,-0.171371
2013,0.393377,-0.181213
2014,0.407328,-0.187246
2015,0.393195,-0.189521
2016,0.402879,-0.192174
2017,0.409374,-0.195180
2018,0.422175,-0.199661
2019,0.440973,-0.209574
2020,0.443246,-0.213648
2021,0.454936,-0.224417
2022,0.430879,-0.220896
2023,0.420384,-0.227371
2024,0.401970,-0.224291
2025,0.402974,-0.208496
