"Year","LUC","LUC_upper","LUC_lower","Emissions","Plus1SD","Minus1SD","Total emissions","Plus1SD","Minus1SD"
1959,2.372480,3.072480,1.672480,2.403365,2.523534,2.283197,4.775845,5.486085,4.065606
1960,2.077120,2.777120,1.377120,2.547298,2.674663,2.419933,4.624418,5.335911,3.912926
1961,2.082467,2.782467,1.382467,2.553978,2.681677,2.426279,4.636445,5.347997,3.924892
1962,1.948253,2.648253,1.248253,2.643526,2.775702,2.511350,4.591779,5.304149,3.879410
1963,1.897743,2.597743,1.197743,2.784250,2.923462,2.645037,4.681993,5.395702,3.968284
1964,1.817663,2.517663,1.117663,2.934789,3.081528,2.788049,4.752452,5.467667,4.037237
1965,1.742747,2.442747,1.042747,3.066423,3.219744,2.913102,4.809169,5.525764,4.092575
1966,1.614940,2.314940,0.914940,3.215581,3.376360,3.054802,4.830521,5.548748,4.112294
1967,1.705930,2.405930,1.005930,3.316780,3.482619,3.150941,5.022710,5.742086,4.303333
1968,1.726837,2.426837,1.026837,3.497469,3.672343,3.322596,5.224306,5.945819,4.502793
1969,1.894253,2.594253,1.194253,3.729780,3.916269,3.543291,5.624033,6.348449,4.899617
1970,1.825783,2.525783,1.125783,4.038625,4.240557,3.836694,5.864409,6.592953,5.135865
1971,1.675600,2.375600,0.975600,4.201962,4.412060,3.991863,5.877562,6.608411,5.146712
1972,1.757120,2.457120,1.057120,4.396890,4.616735,4.177046,6.154010,6.887721,5.420299
1973,1.706950,2.406950,1.006950,4.627238,4.858600,4.395876,6.334188,7.071432,5.596944
1974,1.722980,2.422980,1.022980,4.604856,4.835099,4.374613,6.327836,7.064729,5.590943
1975,1.671260,2.371260,0.971260,4.601968,4.832066,4.371869,6.273228,7.010076,5.536380
1976,1.654007,2.354007,0.954007,4.838141,5.080048,4.596234,6.492147,7.232768,5.751527
1977,1.806793,2.506793,1.106793,4.971559,5.220137,4.722981,6.778353,7.521179,6.035526
1978,1.791457,2.491457,1.091457,5.150978,5.408527,4.893429,6.942435,7.688311,6.196559
1979,1.598207,2.298207,0.898207,5.281730,5.545816,5.017643,6.879936,7.628095,6.131778
1980,1.637913,2.337913,0.937913,5.253716,5.516402,4.991030,6.891629,7.639295,6.143964
1981,1.592953,2.292953,0.892953,5.108397,5.363817,4.852977,6.701350,7.446494,5.956207
1982,1.509703,2.209703,0.809703,5.066919,5.320264,4.813573,6.576622,7.321057,5.832186
1983,1.593847,2.293847,0.893847,5.112675,5.368309,4.857042,6.706522,7.451739,5.961305
1984,1.753493,2.453493,1.053493,5.262969,5.526117,4.999820,7.016462,7.764290,6.268634
1985,1.852550,2.552550,1.152550,5.449535,5.722011,5.177058,7.302085,8.053246,6.550923
1986,1.895010,2.595010,1.195010,5.527766,5.804155,5.251378,7.422776,8.175366,6.670187
1987,1.773457,2.473457,1.073457,5.708072,5.993476,5.422669,7.481529,8.237475,6.725582
1988,1.680317,2.380317,0.980317,5.927242,6.223605,5.630880,7.607559,8.367711,6.847407
1989,1.632320,2.332320,0.932320,6.002234,6.302346,5.702123,7.634554,8.396176,6.872933
1990,1.590903,2.290903,0.890903,6.146543,6.453870,5.839215,7.737446,8.501939,6.972953
1991,1.561217,2.261217,0.861217,6.274117,6.587823,5.960412,7.835334,8.602414,7.068254
1992,1.628793,2.328793,0.928793,6.084424,6.388645,5.780202,7.713217,8.476467,6.949967
1993,1.564763,2.264763,0.864763,6.144264,6.451477,5.837051,7.709027,8.473475,6.944580
1994,1.820117,2.520117,1.120117,6.202221,6.512332,5.892110,8.022338,8.787955,7.256721
1995,1.713450,2.413450,1.013450,6.346973,6.664321,6.029624,8.060423,8.828999,7.291846
1996,1.785433,2.485433,1.085433,6.539649,6.866631,6.212666,8.325082,9.097686,7.552477
1997,2.188760,2.888760,1.488760,6.576965,6.905813,6.248116,8.765725,9.539121,7.992329
1998,1.853777,2.553777,1.153777,6.552886,6.880530,6.225242,8.406663,9.179547,7.633778
1999,1.790900,2.490900,1.090900,6.698145,7.033052,6.363237,8.489045,9.265036,7.713053
2000,1.677337,2.377337,0.977337,6.879302,7.223268,6.535337,8.556639,9.336583,7.776695
2001,1.490367,2.190367,0.790367,6.925964,7.272262,6.579666,8.416331,9.197306,7.635356
2002,1.663127,2.363127,0.963127,7.077602,7.431482,6.723722,8.740729,9.525095,7.956362
2003,1.998147,2.698147,1.298147,7.449502,7.821978,7.077027,9.447649,10.240579,8.654719
2004,1.758697,2.458697,1.058697,7.704310,8.089525,7.319094,9.463007,10.262000,8.664013
2005,1.618753,2.318753,0.918753,7.967108,8.365464,7.568753,9.585862,10.391273,8.780450
2006,1.646763,2.346763,0.946763,8.229258,8.640721,7.817795,9.876021,10.687995,9.064047
2007,1.526530,2.226530,0.826530,8.466966,8.890314,8.043618,9.993496,10.811557,9.175435
2008,1.624187,2.324187,0.924187,8.611787,9.042376,8.181197,10.235973,11.057805,9.414142
2009,1.783520,2.483520,1.083520,8.458149,8.881056,8.035241,10.241669,11.059502,9.423836
2010,1.778883,2.478883,1.078883,8.941032,9.388083,8.493980,10.719915,11.550490,9.889340
