"Year","population","Emissions/population"
1,1.450936,0.600704
2,1.419321,2.363098
3,0.450260,1.470626
4,0.345427,3.874805
5,0.283488,0.781959
6,0.251269,0.195297
7,0.232679,0.159317
8,0.211999,0.621826
9,0.173562,0.170329
10,0.144820,3.355542
