"Year","deforestation_tot mean","deforestation_tot min","deforestation_tot max","forest_regrowth_tot mean","forest_regrowth_tot min","forest_regrowth_tot max","wood_harvest mean","wood_harvest min","wood_harvest max","other_transitions mean","other_transitions min","other_transitions max","peat_emissions mean","peat_emissions min","peat_emissions max"
1959,2.174990,1.764490,2.733060,-0.848497,-1.043540,-0.674610,0.359437,0.092640,0.496810,0.444380,0.422300,0.484500,0.242170,0.143120,0.337670
1960,1.946650,1.742690,2.332180,-0.856023,-1.045080,-0.693060,0.368457,0.099570,0.510340,0.418880,0.384200,0.454530,0.199150,0.143120,0.246990
1961,1.927680,1.701950,2.348610,-0.858703,-1.043490,-0.697910,0.384550,0.100770,0.537570,0.394193,0.378520,0.403600,0.234750,0.143120,0.340110
1962,1.884087,1.679680,2.264270,-0.862277,-1.042470,-0.710470,0.392987,0.104450,0.551300,0.372947,0.360820,0.381600,0.160513,0.128160,0.210260
1963,1.849077,1.627500,2.211920,-0.865460,-1.042490,-0.718920,0.398657,0.105610,0.560560,0.338397,0.322960,0.356380,0.177070,0.143120,0.212140
1964,1.796280,1.586390,2.104150,-0.867693,-1.040890,-0.727610,0.406220,0.111820,0.570020,0.308827,0.289310,0.323670,0.174023,0.143120,0.225990
1965,1.749203,1.523110,2.044740,-0.872593,-1.043850,-0.737500,0.414087,0.116840,0.576470,0.289883,0.278650,0.299000,0.162163,0.143120,0.196860
1966,1.673210,1.436890,1.929030,-0.876890,-1.042510,-0.752680,0.420390,0.118040,0.583650,0.262797,0.239120,0.285860,0.135433,0.064520,0.198660
1967,1.696243,1.497720,1.959940,-0.874750,-1.039250,-0.752660,0.424220,0.111290,0.590990,0.297637,0.277600,0.329880,0.162580,0.135680,0.208940
1968,1.712360,1.529390,1.962880,-0.874643,-1.034780,-0.760430,0.431630,0.118670,0.596130,0.289897,0.266960,0.319860,0.167600,0.143120,0.201420
1969,1.881290,1.715710,2.194840,-0.878570,-1.027920,-0.777510,0.435437,0.121390,0.597660,0.261310,0.242910,0.289520,0.194790,0.143120,0.240950
1970,1.829350,1.634900,2.103260,-0.884773,-1.040950,-0.780710,0.438857,0.118630,0.600240,0.225567,0.166210,0.308130,0.216777,0.143120,0.289100
1971,1.738647,1.517600,2.008840,-0.882617,-1.037140,-0.780960,0.442253,0.118750,0.604930,0.220857,0.156220,0.310960,0.156457,0.117370,0.208880
1972,1.807513,1.587290,2.160460,-0.886567,-1.033470,-0.798990,0.443683,0.119360,0.609010,0.224230,0.173720,0.310680,0.168257,0.143120,0.204460
1973,1.778487,1.540370,2.098600,-0.888463,-1.028450,-0.814120,0.445263,0.113290,0.614500,0.212427,0.154760,0.324390,0.159233,0.141100,0.193480
1974,1.767607,1.551060,2.068380,-0.881847,-1.022600,-0.805410,0.449453,0.122660,0.615530,0.201783,0.131290,0.331190,0.185977,0.143120,0.209730
1975,1.749697,1.537340,2.015630,-0.884393,-1.018630,-0.815260,0.443460,0.112700,0.611240,0.206317,0.126680,0.343220,0.156177,0.128280,0.197130
1976,1.721847,1.525250,1.958460,-0.882540,-1.012500,-0.810610,0.450553,0.123420,0.615420,0.189543,0.101090,0.337900,0.174600,0.143120,0.205140
1977,1.814490,1.604650,2.135170,-0.885110,-1.006120,-0.806700,0.451110,0.119880,0.616740,0.243133,0.189190,0.344710,0.183173,0.143120,0.207630
1978,1.801940,1.579910,2.107410,-0.885103,-1.003580,-0.803980,0.455897,0.124360,0.623710,0.241283,0.187230,0.341680,0.177440,0.143120,0.195620
1979,1.682457,1.449700,1.899860,-0.890990,-1.005930,-0.802230,0.461920,0.128540,0.633430,0.191820,0.114170,0.314220,0.153000,0.130350,0.185530
1980,1.695077,1.466810,1.925670,-0.889533,-1.001090,-0.799520,0.466003,0.129820,0.641230,0.177773,0.107500,0.290600,0.188590,0.143120,0.232010
1981,1.680303,1.445610,1.893600,-0.890457,-0.999440,-0.798540,0.465123,0.123070,0.644860,0.184007,0.103860,0.291300,0.153977,0.110110,0.199800
1982,1.624693,1.385220,1.803290,-0.892073,-1.001060,-0.797060,0.465310,0.126120,0.643910,0.160713,0.079680,0.280140,0.151053,0.106050,0.186180
1983,1.654323,1.399340,1.848100,-0.893973,-0.993800,-0.795050,0.463833,0.118210,0.643510,0.195483,0.130800,0.269530,0.174183,0.132100,0.220620
1984,1.765430,1.542150,1.994720,-0.889130,-0.986940,-0.793380,0.471337,0.130840,0.645260,0.178650,0.111500,0.258930,0.227213,0.178730,0.265130
1985,1.863967,1.671600,2.088940,-0.889593,-0.983430,-0.793210,0.474373,0.137160,0.645130,0.164960,0.096120,0.263160,0.238840,0.187630,0.275300
1986,1.905667,1.689470,2.141520,-0.895893,-0.981890,-0.798940,0.475583,0.128320,0.653470,0.164553,0.081150,0.268530,0.245103,0.196540,0.290450
1987,1.835853,1.598750,2.010670,-0.904223,-0.983110,-0.799060,0.482627,0.133630,0.662420,0.141250,0.048860,0.257850,0.217960,0.178400,0.270040
1988,1.750260,1.461620,1.903430,-0.907407,-0.990670,-0.800730,0.489513,0.130780,0.678140,0.132060,0.047230,0.241620,0.215883,0.151450,0.281860
1989,1.684723,1.388290,1.868400,-0.908587,-0.993330,-0.801970,0.498640,0.131900,0.694020,0.137253,0.066710,0.220520,0.220297,0.149580,0.288070
1990,1.656853,1.338060,1.908170,-0.930870,-1.027840,-0.810530,0.508243,0.137350,0.707210,0.157347,0.107280,0.201940,0.199333,0.094600,0.271250
1991,1.651853,1.344520,1.912180,-0.945237,-1.054290,-0.818170,0.519357,0.152480,0.723030,0.147663,0.102360,0.192610,0.187583,0.078150,0.249710
1992,1.704907,1.429770,1.904100,-0.953103,-1.061310,-0.823640,0.506097,0.152190,0.689890,0.139793,0.089110,0.177020,0.231103,0.172060,0.283620
1993,1.692307,1.386020,1.938240,-0.959233,-1.068760,-0.822790,0.487953,0.149300,0.659450,0.124863,0.084670,0.164900,0.218873,0.152330,0.263810
1994,1.957503,1.747550,2.084280,-0.970637,-1.081090,-0.829920,0.470220,0.134390,0.653580,0.114950,0.065430,0.156770,0.248083,0.204660,0.296460
1995,1.902357,1.612520,2.107530,-0.985637,-1.098740,-0.839040,0.456283,0.124690,0.647930,0.108550,0.045810,0.145740,0.231897,0.170670,0.277620
1996,1.897957,1.589650,2.110370,-0.983930,-1.097860,-0.838200,0.446317,0.136960,0.631410,0.108943,0.079840,0.126290,0.316147,0.249900,0.432830
1997,1.962437,1.676190,2.152610,-0.994240,-1.105450,-0.839260,0.435600,0.122850,0.625950,0.067087,0.002110,0.128810,0.717870,0.646020,0.768070
1998,2.127820,1.885070,2.263160,-1.012690,-1.119950,-0.848270,0.426597,0.111030,0.624850,0.082840,0.005900,0.144340,0.229210,0.211870,0.259280
1999,2.088670,1.796600,2.263590,-1.020413,-1.141600,-0.855960,0.424017,0.109130,0.623960,0.068337,-0.029710,0.154010,0.230290,0.217530,0.246950
2000,2.021517,1.700650,2.235850,-1.038697,-1.172950,-0.865410,0.437777,0.112610,0.647390,0.065087,-0.036690,0.146870,0.191653,0.137870,0.224460
2001,1.915307,1.582040,2.205740,-1.055407,-1.195260,-0.870000,0.431857,0.105590,0.647330,0.021710,-0.106860,0.128930,0.176907,0.086460,0.224010
2002,1.953687,1.654010,2.213300,-1.074183,-1.213850,-0.879190,0.435213,0.094160,0.650400,0.077307,-0.025020,0.129750,0.271103,0.190920,0.313500
2003,2.276233,2.140620,2.391220,-1.093123,-1.233830,-0.891250,0.448137,0.100400,0.664090,0.132810,0.057740,0.197430,0.234093,0.211990,0.256300
2004,2.040947,1.722180,2.297260,-1.098790,-1.232570,-0.887650,0.457063,0.109130,0.662570,0.139587,0.070380,0.206560,0.219883,0.114650,0.279080
2005,1.945907,1.622590,2.224700,-1.113443,-1.247780,-0.891200,0.457687,0.107090,0.655880,0.109637,0.029490,0.174630,0.218963,0.132560,0.273300
2006,1.870487,1.498080,2.219510,-1.139883,-1.277990,-0.919870,0.461963,0.108800,0.655790,0.074663,-0.040840,0.133200,0.379540,0.315940,0.428640
2007,1.895680,1.526240,2.228840,-1.146490,-1.276730,-0.919380,0.470547,0.100870,0.665260,0.094567,0.014280,0.136750,0.212223,0.169450,0.248270
2008,1.939493,1.568750,2.254190,-1.147313,-1.271890,-0.918780,0.468897,0.107050,0.662030,0.134173,0.091760,0.170990,0.228937,0.200770,0.266270
2009,1.999450,1.633230,2.285620,-1.161470,-1.282710,-0.920390,0.455830,0.092130,0.651830,0.142760,0.080460,0.190660,0.346947,0.320320,0.364150
2010,2.040040,1.649510,2.350060,-1.202980,-1.351870,-0.955430,0.467443,0.094820,0.656730,0.214743,0.148000,0.294250,0.259627,0.220340,0.313260
2011,2.021770,1.650020,2.356290,-1.213273,-1.358570,-0.970370,0.477807,0.100190,0.671020,0.196407,0.134280,0.264190,0.261987,0.222150,0.306910
2012,2.064693,1.711860,2.347630,-1.218123,-1.351130,-0.966060,0.502930,0.109300,0.722800,0.158787,0.109980,0.219290,0.315433,0.257330,0.379930
2013,2.039597,1.657110,2.365250,-1.224510,-1.354300,-0.965760,0.481077,0.114750,0.701670,0.151997,0.109250,0.212580,0.276607,0.245750,0.302740
2014,2.047100,1.653980,2.367210,-1.249843,-1.384410,-0.983660,0.460950,0.110980,0.681420,0.171590,0.141840,0.222410,0.319640,0.269200,0.365300
2015,1.994647,1.587220,2.377520,-1.260990,-1.417030,-0.982760,0.436083,0.092980,0.707070,0.145270,0.106590,0.187700,0.462457,0.424760,0.506490
2016,1.943733,1.526920,2.362200,-1.274320,-1.432100,-0.991070,0.421290,0.085490,0.737550,0.152453,0.127530,0.192050,0.224247,0.210440,0.233540
2017,1.962420,1.548280,2.346040,-1.284257,-1.441640,-0.999540,0.402157,0.091100,0.716600,0.153537,0.125160,0.191670,0.214763,0.186180,0.232510
2018,1.883357,1.444180,2.330030,-1.286090,-1.458380,-0.994890,0.413237,0.096300,0.743340,0.102323,0.068160,0.128390,0.219610,0.165510,0.251140
2019,1.832740,1.392630,2.314070,-1.298843,-1.484310,-0.997180,0.415320,0.095350,0.757190,0.109867,0.097950,0.132980,0.274747,0.194770,0.317080
2020,1.842857,1.414670,2.319550,-1.304240,-1.502250,-0.995700,0.412957,0.079360,0.754630,0.102777,0.087260,0.126570,0.178330,0.078540,0.228260
