"Year","deforestation_tot","forest_regrowth_tot","deforestation_perm","forest_regrowth_AR"
1959,2.174990,-0.848497,1.669983,-0.359760
1960,1.946650,-0.856023,1.422490,-0.363007
1961,1.927680,-0.858703,1.391573,-0.365330
1962,1.884087,-0.862277,1.337130,-0.364237
1963,1.849077,-0.865460,1.297490,-0.364440
1964,1.796280,-0.867693,1.240463,-0.362867
1965,1.749203,-0.872593,1.186103,-0.363760
1966,1.673210,-0.876890,1.104183,-0.362887
1967,1.696243,-0.874750,1.126627,-0.359970
1968,1.712360,-0.874643,1.138700,-0.355773
1969,1.881290,-0.878570,1.351240,-0.357617
1970,1.829350,-0.884773,1.272923,-0.363277
1971,1.738647,-0.882617,1.177283,-0.361773
1972,1.807513,-0.886567,1.242767,-0.359767
1973,1.778487,-0.888463,1.208880,-0.357857
1974,1.767607,-0.881847,1.196817,-0.352750
1975,1.749697,-0.884393,1.176247,-0.351753
1976,1.721847,-0.882540,1.145353,-0.347033
1977,1.814490,-0.885110,1.235010,-0.345103
1978,1.801940,-0.885103,1.217133,-0.343157
1979,1.682457,-0.890990,1.092700,-0.343053
1980,1.695077,-0.889533,1.102000,-0.339813
1981,1.680303,-0.890457,1.083920,-0.339703
1982,1.624693,-0.892073,1.020483,-0.338437
1983,1.654323,-0.893973,1.054310,-0.336060
1984,1.765430,-0.889130,1.172913,-0.332810
1985,1.863967,-0.889593,1.272033,-0.332340
1986,1.905667,-0.895893,1.312607,-0.336527
1987,1.835853,-0.904223,1.238913,-0.338597
1988,1.750260,-0.907407,1.138887,-0.341270
1989,1.684723,-0.908587,1.072380,-0.342680
1990,1.656853,-0.930870,1.033057,-0.356960
1991,1.651853,-0.945237,1.023097,-0.369530
1992,1.704907,-0.953103,1.079873,-0.376387
1993,1.692307,-0.959233,1.058137,-0.379553
1994,1.957503,-0.970637,1.334357,-0.391177
1995,1.902357,-0.985637,1.266440,-0.402493
1996,1.897957,-0.983930,1.256860,-0.401807
1997,1.962437,-0.994240,1.314627,-0.408683
1998,2.127820,-1.012690,1.479737,-0.421263
1999,2.088670,-1.020413,1.435617,-0.432030
2000,2.021517,-1.038697,1.360860,-0.445710
2001,1.915307,-1.055407,1.244533,-0.457327
2002,1.953687,-1.074183,1.277763,-0.471810
2003,2.276233,-1.093123,1.587110,-0.485643
2004,2.040947,-1.098790,1.355390,-0.488827
2005,1.945907,-1.113443,1.256857,-0.497860
2006,1.870487,-1.139883,1.180767,-0.523130
2007,1.895680,-1.146490,1.198393,-0.526793
2008,1.939493,-1.147313,1.237433,-0.525837
2009,1.999450,-1.161470,1.283513,-0.532523
2010,2.040040,-1.202980,1.314063,-0.568517
2011,2.021770,-1.213273,1.294340,-0.580370
2012,2.064693,-1.218123,1.329400,-0.577263
2013,2.039597,-1.224510,1.297373,-0.579603
2014,2.047100,-1.249843,1.298183,-0.597377
2015,1.994647,-1.260990,1.226060,-0.599547
2016,1.943733,-1.274320,1.162097,-0.605547
2017,1.962420,-1.284257,1.172813,-0.611947
2018,1.883357,-1.286090,1.079363,-0.606603
2019,1.832740,-1.298843,1.010633,-0.609000
2020,1.842857,-1.304240,1.006103,-0.605733
2021,1.873473,-1.308077,1.029817,-0.603377
2022,1.906697,-1.310747,1.056487,-0.600827
2023,1.877330,-1.320967,1.013033,-0.598377
2024,1.871817,-1.326280,0.995830,-0.594163
