"Year","GDP-PPP","Emissions/GDP-PPP"
1,28.688674,0.116910
2,22.516020,0.059445
3,11.584756,0.075235
4,5.396939,0.048642
5,4.710213,0.033162
6,3.836208,0.057785
7,3.702356,0.131255
8,3.295012,0.025918
9,3.246867,0.022204
10,3.168422,0.041606
