"Year","LUC","LUC_upper","LUC_lower"
1959,2.372480,3.072480,1.672480
1960,2.077120,2.777120,1.377120
1961,2.082467,2.782467,1.382467
1962,1.948253,2.648253,1.248253
1963,1.897743,2.597743,1.197743
1964,1.817663,2.517663,1.117663
1965,1.742747,2.442747,1.042747
1966,1.614940,2.314940,0.914940
1967,1.705930,2.405930,1.005930
1968,1.726837,2.426837,1.026837
1969,1.894253,2.594253,1.194253
1970,1.825783,2.525783,1.125783
1971,1.675600,2.375600,0.975600
1972,1.757120,2.457120,1.057120
1973,1.706950,2.406950,1.006950
1974,1.722980,2.422980,1.022980
1975,1.671260,2.371260,0.971260
1976,1.654007,2.354007,0.954007
1977,1.806793,2.506793,1.106793
1978,1.791457,2.491457,1.091457
1979,1.598207,2.298207,0.898207
1980,1.637913,2.337913,0.937913
1981,1.592953,2.292953,0.892953
1982,1.509703,2.209703,0.809703
1983,1.593847,2.293847,0.893847
1984,1.753493,2.453493,1.053493
1985,1.852550,2.552550,1.152550
1986,1.895010,2.595010,1.195010
1987,1.773457,2.473457,1.073457
1988,1.680317,2.380317,0.980317
1989,1.632320,2.332320,0.932320
1990,1.590903,2.290903,0.890903
1991,1.561217,2.261217,0.861217
1992,1.628793,2.328793,0.928793
1993,1.564763,2.264763,0.864763
1994,1.820117,2.520117,1.120117
1995,1.713450,2.413450,1.013450
1996,1.785433,2.485433,1.085433
1997,2.188760,2.888760,1.488760
1998,1.853777,2.553777,1.153777
1999,1.790900,2.490900,1.090900
2000,1.677337,2.377337,0.977337
2001,1.490367,2.190367,0.790367
2002,1.663127,2.363127,0.963127
2003,1.998147,2.698147,1.298147
2004,1.758697,2.458697,1.058697
2005,1.618753,2.318753,0.918753
2006,1.646763,2.346763,0.946763
2007,1.526530,2.226530,0.826530
2008,1.624187,2.324187,0.924187
2009,1.783520,2.483520,1.083520
2010,1.778883,2.478883,1.078883
2011,1.744693,2.444693,1.044693
2012,1.823723,2.523723,1.123723
2013,1.724760,2.424760,1.024760
2014,1.749430,2.449430,1.049430
2015,1.777463,2.477463,1.077463
2016,1.467400,2.167400,0.767400
2017,1.448627,2.148627,0.748627
2018,1.332430,2.032430,0.632430
2019,1.333837,2.033837,0.633837
2020,1.232680,1.932680,0.532680
2021,1.271043,1.971043,0.571043
2022,1.306057,2.006057,0.606057
2023,1.295183,1.995183,0.595183
2024,1.251503,1.951503,0.551503
2025,1.130000,1.830000,0.430000
