"Year","China","USA","India","EU27","Bunkers","RoW"
2000,0.994490,1.643875,0.269395,0.982646,0.213843,2.858492
2001,1.016407,1.611234,0.273253,0.998117,0.212201,2.901069
2002,1.118499,1.623313,0.281864,0.998196,0.217480,2.929133
2003,1.319665,1.639312,0.291593,1.019749,0.226326,3.050486
2004,1.422206,1.667998,0.309665,1.021666,0.246579,3.140299
2005,1.605347,1.672190,0.326254,1.019348,0.256339,3.198839
2006,1.770247,1.649925,0.352981,1.024019,0.270359,3.282402
2007,1.903565,1.670727,0.380318,1.010335,0.286095,3.345918
2008,2.044870,1.615508,0.406759,0.989581,0.288805,3.401654
2009,2.151062,1.497299,0.440319,0.908980,0.276760,3.326293
2010,2.349904,1.547284,0.458114,0.934587,0.292585,3.510777
2011,2.598295,1.511728,0.481904,0.908040,0.301871,3.608639
2012,2.665751,1.455095,0.525924,0.889360,0.298606,3.705311
2013,2.713529,1.493842,0.544579,0.866957,0.303001,3.705773
2014,2.722715,1.509657,0.586259,0.829384,0.304543,3.726943
2015,2.690513,1.465201,0.609120,0.844680,0.314579,3.738441
2016,2.660528,1.431594,0.642069,0.844573,0.319072,3.761779
2017,2.729261,1.417963,0.662042,0.851108,0.327815,3.830208
2018,2.823906,1.463219,0.708304,0.832283,0.337439,3.860505
2019,2.923994,1.429015,0.712657,0.792836,0.338312,3.925066
2020,2.973941,1.280009,0.661226,0.716990,0.229135,3.734285
2021,3.079804,1.370118,0.730289,0.764593,0.239924,3.877189
2022,3.196454,1.379750,0.772689,0.746983,0.263556,3.882864
2023,3.322055,1.342360,0.835905,0.678220,0.295511,3.922795
2024,3.353995,1.338461,0.871582,0.662163,0.325454,3.982891
2025,3.359574,1.360816,0.881369,0.662704,0.336546,4.007734
