"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2020,-1.570000,-0.630000,2.260000,"NaN","NaN",0.430000,"NaN"
2021,1.050000,0.400000,-2.540000,"NaN",-0.070000,2.090000,"NaN"
2022,-1.180000,-0.980000,3.360000,"NaN",0.630000,-0.570000,"NaN"
2023,2.080000,0.930000,-1.450000,"NaN",0.030000,0.520000,"NaN"
2024,0.260000,-1.450000,2.670000,"NaN",0.220000,-0.570000,"NaN"
