"Year","Combined heat and power generation","Heat plants","Pulp, paper and print","Residential: Stationary combustion","All others"
1990,0.224702,0.114089,11.872099,4.023835,2.080126
1991,0.334902,0.104985,11.512940,4.077058,1.960973
1992,0.445102,0.095881,11.153781,4.087037,1.902867
1993,0.923540,0.166755,13.703135,4.119192,2.076391
1994,1.455273,0.145356,13.936578,4.129171,2.124208
1995,1.626929,0.216545,14.114867,4.357584,1.907468
1996,1.739135,0.308931,13.851641,4.690224,1.785793
1997,2.343700,0.353988,16.081255,4.712400,1.908405
1998,2.729113,0.425641,16.287262,4.889808,1.863867
1999,3.058159,0.498120,17.358529,4.767840,1.872944
2000,3.309811,0.555976,17.648378,4.457376,1.962922
2001,3.408671,0.807006,15.977397,5.100480,1.960110
2002,4.201366,1.401101,16.729250,5.144832,1.867414
2003,4.806821,1.542660,16.557827,5.288976,1.942686
2004,4.919567,1.844916,17.644901,5.366592,1.944776
2005,5.160398,1.711952,15.672278,5.667077,1.839971
2006,5.461110,1.690638,18.452910,5.422032,1.942524
2007,4.681246,1.658068,17.964799,5.677056,1.955686
2008,5.887843,1.974906,16.846512,5.634672,2.143596
2009,5.463966,2.003298,13.575499,5.965632,2.436770
2010,7.131322,2.243347,15.866389,6.646774,2.867053
2011,7.715746,2.248127,15.819001,5.674221,2.942541
2012,8.135203,2.546754,16.166098,6.181034,3.093441
2013,8.368071,2.645427,16.877898,5.809608,3.506760
2014,8.241896,2.742666,16.998297,5.883071,4.331980
2015,7.907009,2.873495,16.940816,5.548138,4.149081
2016,8.318388,3.407628,17.542056,6.036898,3.400446
2017,8.424818,3.717575,18.521709,5.912105,4.169955
2018,8.553099,3.803485,19.727632,5.809333,3.998120
2019,8.445406,4.196690,20.051686,5.709906,4.177932
2020,7.850482,4.073569,18.681833,5.250823,3.915872
2021,9.941300,5.116097,19.918602,5.909029,5.199196
2022,9.770301,5.022238,17.196497,5.430078,4.768616
2023,9.677885,4.838658,17.129199,5.240631,4.708070
