"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,10.803933,,
1991,10.488618,,
1992,10.453696,,
1993,9.982827,,
1994,10.310014,,
1995,10.161637,,
1996,10.108004,,
1997,10.594209,,
1998,10.703098,,
1999,10.909569,,
2000,10.823584,,
2001,11.013614,,
2002,11.237633,,
2003,11.424999,,
2004,11.783029,,
2005,11.807846,,
2006,11.963264,,
2007,12.348941,,
2008,11.807026,,
2009,11.269730,,
2010,11.718620,,
2011,11.538829,,
2012,11.303085,,
2013,11.127800,,
2014,10.077448,,
2015,10.092892,,
2016,11.318824,,
2017,6.000470,1.031255,3.570417
2018,6.005993,1.062492,3.700860
2019,5.837878,1.025426,3.504848
2020,5.421958,1.000884,3.348905
2021,5.236165,0.946590,3.125664
2022,4.984707,0.943071,3.185916
2023,4.856336,0.927973,2.980144
2024,4.969079,0.963028,3.038789
