"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1961,8.147000,8.147000,0.012300,0.012300,5.188200,5.188200
1962,7.114000,7.114000,0.015600,0.015600,4.743600,4.743600
1963,6.656000,6.656000,0.022600,0.022600,4.591500,4.591500
1964,7.047000,7.047000,0.018500,0.018500,4.676700,4.676700
1965,6.987000,6.987000,0.024700,0.024700,4.123300,4.123300
1966,6.341000,6.341000,0.014000,0.014000,3.789500,3.789500
1967,6.390400,6.390400,0.015800,0.015800,3.481000,3.481000
1968,6.311200,6.311200,0.013400,0.013400,3.962600,3.962600
1969,6.899000,6.899000,0.020300,0.020300,4.477400,4.477400
1970,7.350000,7.350000,0.021000,0.021000,4.702000,4.702000
1971,7.540000,7.540000,0.019500,0.019500,4.785200,4.785200
1972,7.508000,7.508000,0.023200,0.023200,4.911300,4.911300
1973,7.944000,7.944000,0.021000,0.021000,5.256000,5.256000
1974,7.531000,7.531000,0.025000,0.025000,4.324000,4.324000
1975,4.981000,4.981000,0.019000,0.019000,2.857000,2.857000
1976,5.807000,5.807000,0.020000,0.020000,3.850000,3.850000
1977,7.045000,7.045000,0.021000,0.021000,4.355000,4.355000
1978,7.647000,7.647000,0.030000,0.030000,5.470000,5.470000
1979,9.680000,9.680000,0.028000,0.028000,6.638000,6.638000
1980,10.258000,10.258000,0.032000,0.032000,6.939000,6.939000
1981,8.280000,8.280000,0.021000,0.021000,5.411000,5.411000
1982,7.322000,7.322000,0.024000,0.024000,4.600000,4.600000
1983,8.023000,8.023000,0.026000,0.026000,4.932100,4.932100
1984,8.265000,8.265000,0.028000,0.028000,4.821000,4.821000
1985,7.333000,7.333000,0.022300,0.022300,4.898300,4.898300
1986,7.143000,7.143000,0.028000,0.028000,4.555300,4.555300
1987,7.563000,7.563000,0.036000,0.036000,4.894000,4.894000
1988,7.823000,7.823000,0.045000,0.045000,5.052000,5.052000
1989,7.763000,7.763000,0.056200,0.056200,4.555000,4.555000
1990,7.503000,7.503000,0.065100,0.065100,4.176300,4.176300
1991,6.460000,6.460000,0.060300,0.060300,4.266500,4.266500
1992,7.330000,7.330000,0.120000,0.120000,4.653000,4.653000
1993,8.570000,8.570000,0.158000,0.158000,6.220000,6.220000
1994,10.290000,10.290000,0.215000,0.215000,7.207000,7.207000
1995,9.940000,9.940000,0.181000,0.181000,7.377000,7.377000
1996,9.780000,9.780000,0.149000,0.149000,7.036000,7.036000
1997,11.430000,11.430000,0.242000,0.242000,7.535000,7.535000
1998,12.300000,12.300000,0.219600,0.219600,8.226900,8.226900
1999,12.768000,12.768000,0.289000,0.289000,8.292000,8.292000
2000,13.420000,13.420000,0.341398,0.341398,8.430945,8.430945
2001,12.770000,12.770000,0.279984,0.279984,8.135249,8.135249
2002,13.390000,13.390000,0.257427,0.257427,8.186950,8.186950
2003,13.744795,13.744795,0.338208,0.338208,8.168512,8.168512
2004,13.544060,13.544060,0.404093,0.404093,8.226324,8.226324
2005,12.269061,12.269061,0.511408,0.511408,7.663408,7.663408
2006,12.226940,12.226940,0.578214,0.578214,7.727756,7.727756
2007,12.477411,12.477411,0.626492,0.626492,7.080700,7.080700
2008,9.881000,9.881000,0.468359,0.468359,5.991910,5.991910
2009,8.072490,8.072490,0.521291,0.521291,5.108621,5.108621
2010,9.473000,9.473000,0.627303,0.627303,5.838119,5.838119
2011,9.750000,9.750000,0.492936,0.492936,6.114842,6.114842
2012,9.440000,9.440000,0.456726,0.456726,6.450783,6.450783
2013,10.440000,10.440000,0.354668,0.354668,7.153815,7.153815
2014,10.920000,10.920000,0.371320,0.371320,7.481010,7.481010
2015,10.640000,10.640000,0.426690,0.426690,7.880855,7.880855
2016,11.420000,11.420000,0.513456,0.513456,8.679498,8.679498
2017,11.750000,11.750000,0.565200,0.565200,9.376784,9.376784
2018,11.850000,11.850000,0.609235,0.609235,8.701355,8.701355
2019,11.430000,11.430000,0.595159,0.595159,8.969920,8.969920
2020,10.936000,10.936000,0.600101,0.600101,8.217919,8.217919
2021,11.966000,11.966000,0.577897,0.577897,8.735857,8.735857
2022,11.273000,11.273000,0.333764,0.333764,8.576479,8.576479
2023,10.437000,10.473000,0.050492,0.050492,8.385093,8.385093
