"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1961,0.720000,0.720000,0.001300,0.000300,0.521600,0.520600
1962,0.766000,0.762000,0.001700,0.000600,0.555400,0.554300
1963,0.829000,0.825000,0.001500,0.000400,0.581000,0.579900
1964,0.896000,0.892000,0.003400,0.001800,0.644400,0.642800
1965,0.994000,0.990000,0.005000,0.002700,0.658400,0.656100
1966,1.105000,1.101000,0.004532,0.001932,0.739400,0.736800
1967,1.165200,1.161200,0.004305,0.001905,0.790700,0.788300
1968,1.288800,1.285700,0.003605,0.000805,0.902100,0.899300
1969,1.371400,1.368800,0.003727,0.001027,0.986300,0.983600
1970,1.459100,1.456000,0.003805,0.001205,1.013100,1.010500
1971,1.541200,1.538000,0.006205,0.001505,1.016200,1.011500
1972,1.779000,1.776000,0.006505,0.002305,1.167400,1.163200
1973,2.001000,1.987000,0.007500,0.002500,1.296800,1.291800
1974,1.789000,1.775000,0.014500,0.005500,0.891200,0.882200
1975,1.331000,1.317000,0.014305,0.007305,0.724500,0.717500
1976,1.417000,1.401000,0.012505,0.004505,0.758732,0.750732
1977,1.278000,1.257000,0.014505,0.005505,0.683700,0.674700
1978,1.469000,1.452000,0.015000,0.006000,0.896200,0.887200
1979,1.729000,1.711000,0.021400,0.008400,0.970800,0.957800
1980,1.764000,1.746000,0.028100,0.012100,1.041200,1.025200
1981,1.551000,1.533000,0.019500,0.006500,0.990000,0.977000
1982,1.491000,1.471000,0.026200,0.012200,0.857300,0.843300
1983,1.446000,1.423000,0.029200,0.013200,0.767800,0.751800
1984,1.373000,1.347000,0.036400,0.020400,0.754700,0.738700
1985,1.315000,1.297000,0.049400,0.033000,0.731400,0.715000
1986,1.333000,1.315000,0.050500,0.031900,0.792800,0.774200
1987,1.394000,1.376000,0.065700,0.044700,0.797600,0.776600
1988,1.447000,1.429000,0.075900,0.054900,0.811400,0.790400
1989,1.518000,1.498000,0.106800,0.081800,0.833900,0.808900
1990,1.337000,1.317000,0.115200,0.090500,0.778900,0.754200
1991,0.991000,0.971000,0.105600,0.082200,0.550800,0.527400
1992,0.938000,0.917000,0.098931,0.078931,0.510697,0.490697
1993,1.224000,1.174000,0.113104,0.073104,0.842000,0.802000
1994,1.369000,1.295000,0.142000,0.074000,0.969000,0.901000
1995,1.444000,1.370000,0.151000,0.090000,1.021000,0.960000
1996,1.565000,1.491000,0.145000,0.085000,1.156000,1.096000
1997,1.675000,1.601000,0.196000,0.119000,1.199000,1.122000
1998,1.677000,1.598000,0.219900,0.135500,1.173600,1.089200
1999,1.751000,1.677000,0.229000,0.149000,1.275000,1.195000
2000,1.875000,1.792000,0.280000,0.190000,1.381000,1.291000
2001,1.796000,1.722000,0.316063,0.219198,1.408560,1.311695
2002,1.863000,1.793000,0.315174,0.239788,1.499978,1.424592
2003,1.929000,1.845000,0.328179,0.249837,1.531671,1.453329
2004,2.024000,1.945000,0.348192,0.271184,1.627329,1.550321
2005,1.985000,1.906000,0.372928,0.301726,1.556006,1.484804
2006,2.074000,1.985000,0.427112,0.349576,1.622628,1.545092
2007,2.002000,1.936000,0.460595,0.387313,1.543489,1.470207
2008,1.723000,1.653000,0.432421,0.369971,1.287242,1.224792
2009,1.106000,1.070000,0.356008,0.312187,0.817865,0.774044
2010,1.347000,1.300000,0.426777,0.379633,1.016598,0.969454
2011,1.327000,1.280000,0.449097,0.401874,1.046860,0.999637
2012,1.267000,1.220000,0.440393,0.394435,0.975118,0.929160
2013,1.339000,1.286000,0.395884,0.349271,1.037150,0.990537
2014,1.358000,1.300000,0.402400,0.355470,1.113110,1.066180
2015,1.314000,1.257000,0.390949,0.339331,1.099909,1.048291
2016,1.304000,1.247000,0.432131,0.374975,1.062598,1.005442
2017,1.409000,1.352000,0.439660,0.381227,1.166408,1.107975
2018,1.412000,1.342000,0.469431,0.401677,1.152602,1.084848
2019,1.312000,1.227000,0.461033,0.381359,1.065555,0.985881
2020,1.202000,1.127000,0.478818,0.408821,0.960203,0.890206
2021,1.403194,1.233194,0.504270,0.417371,1.118325,1.031426
2022,1.391204,1.207204,0.457520,0.371335,1.057933,0.971748
2023,1.151204,0.967204,0.334595,0.256837,0.860932,0.783174
