"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,49.211918,56.921042,8.728981,5.943453,0.054307,-22.435864
1991,34.625182,55.195466,8.674954,5.564359,0.041649,-34.851245
1992,39.148848,54.271769,8.602683,5.104536,0.026768,-28.856908
1993,40.655094,56.320078,8.605449,5.241694,0.020904,-29.533031
1994,53.016909,61.739378,8.604044,5.340408,0.106161,-22.773082
1995,50.674095,58.122229,8.368463,5.464233,0.188365,-21.469195
1996,50.236562,64.039769,8.262703,5.447740,0.288059,-27.801708
1997,53.531341,62.702586,8.213141,5.412515,0.380485,-23.177386
1998,51.880065,59.357906,7.874249,5.290936,0.473537,-21.116563
1999,51.046357,58.873812,7.695242,5.190912,0.562532,-21.276140
2000,49.582315,57.016992,7.362812,5.251690,0.723219,-20.772398
2001,54.320571,62.520748,7.208092,5.175371,0.794513,-21.378152
2002,55.682989,65.048510,6.950312,5.205601,0.885870,-22.407304
2003,62.852300,72.658241,6.712039,5.317792,0.981330,-22.817104
2004,57.632638,68.945470,6.440915,5.371465,1.078365,-24.203577
2005,45.561460,57.063735,6.181280,5.408232,1.149633,-24.241420
2006,53.046244,68.373712,6.247669,5.272362,1.306505,-28.154004
2007,60.833779,66.764187,6.084350,5.311699,1.328305,-18.654763
2008,50.064733,58.625012,5.879349,5.479483,1.370094,-21.289205
2009,35.146189,55.920611,5.803696,4.577641,1.367813,-32.523572
2010,54.599130,64.091543,5.934978,4.265917,1.345793,-21.039102
2011,47.319521,56.646200,5.768119,4.128940,1.329312,-20.553050
2012,39.892499,51.154543,5.664148,4.093284,1.336818,-22.356294
2013,47.153053,51.718948,5.579716,4.131560,1.327243,-15.604415
2014,42.119238,47.622861,5.475190,4.198998,1.297523,-16.475334
2015,43.698468,44.192003,5.394512,4.215565,1.217417,-11.321028
2016,51.211714,47.251895,5.301765,4.172162,1.167343,-6.681451
2017,51.907699,44.657714,5.098737,4.168217,1.093515,-3.110483
2018,63.250740,45.735615,5.140732,4.149320,1.040675,7.184398
2019,56.013821,42.444212,4.961612,4.273007,0.995107,3.339882
2020,49.515208,37.719758,4.890191,4.161153,0.931604,1.812502
2021,59.104025,37.820085,4.844826,4.217964,0.862838,11.358311
2022,57.712848,36.337045,4.636917,3.879846,0.792622,12.066418
2023,53.053796,31.798416,4.482500,4.045487,0.728977,11.998417
