"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-104.679311,74.409728,-1.038762,-8.359786,-0.031822,2.196491
1991,-105.938994,60.546373,-1.136554,-7.928427,-0.028033,2.766313
1992,-107.202136,68.613969,-1.353027,-7.890336,-0.028202,2.148870
1993,-108.461823,72.197310,-1.463380,-7.821079,-0.035845,0.972906
1994,-109.721514,82.336847,-1.689375,-8.124425,-0.041660,0.212127
1995,-110.981201,84.849153,-1.972848,-8.661817,-0.051256,0.470824
1996,-113.019359,78.503168,-2.283416,-8.991419,-0.065212,1.105139
1997,-115.772643,87.795214,-2.473618,-8.583045,-0.079666,0.271374
1998,-118.525912,92.015930,-2.676303,-8.118479,-0.091677,0.439555
1999,-121.279191,93.266336,-2.967682,-7.848435,-0.109118,0.646396
2000,-123.835264,95.440304,-3.046004,-7.067537,-0.129632,0.712293
2001,-126.018059,92.838260,-3.023350,-6.341585,-0.149660,1.438270
2002,-128.200861,93.985451,-3.109794,-5.846315,-0.168548,1.332150
2003,-130.383653,95.098622,-3.121607,-5.225263,-0.187000,1.645979
2004,-132.255924,95.053763,-3.030993,-4.542422,-0.202601,1.204650
2005,-133.623566,91.927345,-2.964700,-4.374149,-0.216158,1.774003
2006,-134.990557,89.478148,-2.970852,-3.435388,-0.226519,3.306599
2007,-136.357544,99.588997,-2.539196,-1.743840,-0.235251,3.357411
2008,-137.728276,93.082956,-2.304007,-1.378532,-0.242315,3.599488
2009,-138.956423,78.455290,-2.108907,-1.393053,-0.248196,4.673392
2010,-139.702190,94.638200,-1.894200,-0.691162,-0.247089,3.623407
2011,-140.119106,95.676317,-1.814105,-1.207281,-0.245305,4.215586
2012,-140.537168,94.697912,-2.020681,-2.313149,-0.242253,4.746829
2013,-140.954084,103.000833,-2.076004,-2.175449,-0.239670,4.491342
2014,-140.929110,102.999030,-2.246343,-2.112040,-0.235954,4.565033
2015,-138.148412,105.946238,-2.462516,-2.065316,-0.232276,4.590545
2016,-135.367718,109.007594,-2.764213,-1.818670,-0.227762,4.885398
2017,-132.587017,111.858065,-3.060799,-1.118821,-0.226237,4.717140
2018,-129.806323,120.838852,-3.273876,-0.174615,-0.223233,4.097147
2019,-127.901197,114.104856,-3.542967,0.259316,-0.222577,4.624983
2020,-127.901194,109.262448,-3.578314,0.718950,-0.223933,5.901418
2021,-127.901197,120.019329,-3.225328,1.641454,-0.224999,5.927865
2022,-127.901201,118.375970,-2.914932,1.841776,-0.224079,7.283618
2023,-127.901201,115.030419,-2.776411,1.520183,-0.224786,8.738776
2024,-127.901197,116.803436,-2.416349,1.880259,-0.221602,9.702968
