"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,-23.797730,-23.797730,-22.794045,-21.439863,-21.439863,-18.487438,-17.959829,-16.108596,-15.161403,-15.858538,-15.309158,-14.970091,-18.601401,-18.832862,-15.482665,-16.828609,-18.436310,-18.430563,-17.211616,-17.105004,-28.998523,-26.366192,-25.842758
1991,-38.206885,-38.206885,-37.031716,-36.168235,-36.168235,-32.246142,-31.682107,-29.650350,-29.180729,-29.356060,-29.024601,-28.702900,-31.615870,-31.476999,-28.216457,-29.307014,-30.831064,-30.825543,-30.060108,-29.960280,-41.427285,-38.769485,-38.253486
1992,-31.893515,-31.893515,-31.671007,-30.029703,-30.029703,-27.003158,-26.399174,-22.781614,-23.212371,-23.857313,-23.555919,-23.265765,-25.490959,-25.352235,-22.187173,-23.268310,-24.708206,-24.705518,-24.160453,-24.067006,-35.441460,-32.736716,-32.252749
1993,-29.116330,-29.116330,-28.448022,-27.618463,-27.618463,-25.070752,-24.321363,-20.310234,-20.965649,-21.688473,-21.402707,-21.140915,-26.221404,-26.070319,-23.016883,-24.156600,-24.829368,-24.837540,-24.183892,-24.097313,-36.125109,-33.373219,-32.925863
1994,-17.259436,-17.259436,-17.276238,-17.155360,-17.155360,-18.277811,-17.457776,-12.865881,-13.558535,-14.893449,-14.537208,-14.302774,-19.205732,-19.049796,-16.069196,-17.331805,-18.149713,-18.165555,-17.423695,-17.341723,-29.374711,-26.588648,-26.191716
1995,-14.687347,-14.687347,-16.415968,-15.407807,-15.407807,-17.571711,-16.742711,-14.173256,-13.404042,-14.655091,-14.271846,-14.071777,-18.189456,-18.024136,-15.097981,-16.409947,-17.634310,-17.648281,-16.860404,-16.780547,-28.066496,-25.236658,-24.899902
1996,-21.032440,-21.032440,-22.787004,-22.925885,-22.925885,-26.778940,-25.904045,-24.093365,-22.800010,-23.768924,-23.664863,-23.501000,-27.214800,-27.037543,-24.158417,-25.067821,-24.930972,-24.951547,-23.954048,-23.878075,-34.450578,-31.564294,-31.251172
1997,-12.637130,-12.637130,-12.693922,-16.885527,-16.885527,-20.939760,-19.898599,-20.393326,-18.939220,-18.922847,-18.916473,-18.770055,-23.970579,-23.786643,-20.959161,-21.889278,-20.848507,-20.875217,-19.247037,-19.176454,-29.887169,-26.941787,-26.651665
1998,-9.712582,-9.712582,-8.907807,-16.187942,-16.187942,-18.036949,-16.799582,-18.569636,-17.037280,-16.706236,-16.754130,-16.635254,-22.256030,-22.070290,-19.309626,-20.285536,-19.088809,-19.100916,-18.014462,-17.949159,-27.924846,-24.895489,-24.610307
1999,-10.820879,-10.820879,-9.149370,-17.015335,-17.015335,-20.170829,-18.738074,-21.468770,-19.873937,-19.718981,-19.942328,-19.840773,-25.163701,-24.972122,-22.286742,-23.051812,-21.352843,-21.362221,-18.734418,-18.673317,-28.170611,-25.065916,-24.764952
2000,-11.953365,-11.953365,-9.635962,-16.324662,-16.324662,-20.485422,-18.629416,-22.718102,-21.065122,-20.217181,-20.598245,-20.503179,-27.148507,-26.961469,-24.346207,-25.050170,-22.381627,-22.394715,-18.600525,-18.543751,-27.745951,-24.552220,-24.253653
2001,-16.850700,-16.850700,-14.675546,-19.092166,-19.092166,-23.984344,-21.716175,-26.403650,-24.478311,-23.220401,-23.857487,-23.755053,-28.755089,-28.570529,-26.025789,-26.533975,-24.237251,-24.247144,-20.122104,-20.073036,-28.476512,-25.170808,-24.857833
