"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-24.205417,,,-9.629956,2.110050
1991,-39.096093,,,-9.290578,2.670704
1992,-32.213441,,,-9.424805,2.165131
1993,-29.712900,,,-9.437977,1.058819
1994,-20.713878,,,-9.927245,0.431696
1995,-19.286919,,,-10.711059,0.748042
1996,-27.459123,,,-11.336900,1.419353
1997,-20.533448,,,-11.148519,0.687898
1998,-18.730397,,,-10.913341,0.942381
1999,-19.816997,,,-10.974761,1.166610
2000,-19.845972,,,-10.337060,1.257148
2001,-24.415016,,,-9.638855,1.994561
2002,-25.254237,,,-9.271638,1.924084
2003,-26.162590,,,-8.707888,2.215379
2004,-27.863984,,,-7.967991,1.764117
2005,-32.182722,,,-7.748803,2.288146
2006,-35.907544,,,-6.888972,3.789895
2007,-27.117139,,,-4.838906,3.909946
2008,-34.776076,,,-4.262661,4.130629
2009,-50.543751,,,-4.097077,5.234676
2010,-35.460775,,,-3.189571,4.394957
2011,-35.115384,,,-3.554435,5.086643
2012,-36.801736,,,-4.717821,5.778916
2013,-29.187252,,,-4.588742,5.714583
2014,-29.456684,,,-4.617790,6.006139
2015,-24.074675,,,-4.684014,5.981894
2016,-19.517487,,,-4.496464,6.382692
2017,-15.635428,,,-3.864490,6.321994
2018,-6.630103,,,-2.736301,6.069409
2019,-13.058023,,,-2.213774,6.761377
2020,-18.716108,,,-1.494025,8.180430
2021,-8.138176,,,0.121561,8.278482
2022,-9.805688,,,0.607147,9.544101
2023,-13.203118,,,0.370478,11.587092
