"Year","Finland","World"
1950,0.016301,2.378734
1951,0.014125,2.515504
1952,0.019367,2.502896
1953,0.021308,2.524970
1954,0.013264,2.527923
1955,0.011764,2.716614
1956,0.018503,2.835461
1957,0.019644,2.869636
1958,0.015175,2.891376
1959,0.020072,2.985590
1960,0.025077,3.112931
1961,0.021971,3.071906
1962,0.019821,3.120741
1963,0.022207,3.215595
1964,0.022084,3.315825
1965,0.021296,3.391959
1966,0.028346,3.484865
1967,0.025532,3.523155
1968,0.029654,3.640223
1969,0.030735,3.802135
1970,0.019860,4.032588
1971,0.023199,4.112597
1972,0.031336,4.219747
1973,0.049540,4.355556
1974,0.023857,4.253289
1975,0.152566,4.173319
1976,0.174406,4.310191
1977,0.218562,4.352449
1978,0.361931,4.432504
1979,0.299449,4.465701
1980,0.590194,4.364099
1981,0.249591,4.168842
1982,1.047729,4.060496
1983,0.635373,4.023942
1984,0.511037,4.068703
1985,0.594915,4.137420
1986,1.308225,4.122175
1987,0.460230,4.179654
1988,0.779238,4.262697
1989,1.137613,4.241189
1990,1.412717,4.266701
1991,0.774589,4.282473
1992,1.372539,4.090168
1993,0.761478,4.068620
1994,1.628070,4.047994
1995,1.547260,4.083544
1996,1.681690,4.148108
1997,2.011794,4.114970
1998,0.348190,4.044522
1999,1.512047,4.079117
2000,0.880422,4.133621
2001,1.257204,4.107635
2002,1.701087,4.144280
2003,1.422217,4.307030
2004,0.753144,4.399256
2005,1.730650,4.493561
2006,2.379512,4.585831
2007,0.818376,4.661509
2008,0.818085,4.682571
2009,1.699703,4.545518
2010,1.357698,4.744937
2011,1.271113,4.848876
2012,0.787381,4.854014
2013,1.287966,4.837742
2014,1.141737,4.804597
2015,0.594445,4.739116
2016,0.509808,4.682487
2017,0.516112,4.705259
2018,1.277454,4.752195
2019,0.738921,4.747814
2020,0.406613,4.457744
2021,0.171703,4.634748
2022,0,4.678452
2023,0,4.707772
2024,0,4.729075
