"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,46.329073,11.267306,9.124294,19.773249,6.164223,,,
1991,48.109406,11.970673,9.410347,20.590465,6.137922,,,
1992,51.730728,13.407892,9.956484,22.239239,6.127114,,,
1993,53.131211,12.212411,11.052913,23.672087,6.193800,,,
1994,52.815009,10.818499,11.520710,24.347761,6.128038,,,
1995,54.645908,12.879953,10.900567,24.680468,6.184920,,,
1996,55.148844,11.897701,11.416972,25.341324,6.492847,,,
1997,59.349587,15.211005,11.721180,25.924315,6.493088,,,
1998,59.134209,15.628073,11.061503,25.696633,6.748001,,,
1999,54.266880,13.505665,10.765349,23.139154,6.856711,,,
2000,56.458430,15.317475,11.661559,22.571966,6.907430,,,
2001,54.271327,15.076489,10.719497,21.304367,7.170974,,,
2002,53.333537,14.563746,10.727485,20.899215,7.143091,,,
2003,54.850403,14.679447,11.165079,21.906847,7.099031,,,
2004,56.343253,13.232361,12.630632,23.358834,7.121427,,,
2005,59.092389,13.994902,13.250621,24.619434,7.227432,,,
2006,62.086668,15.974508,13.351270,24.904368,7.856523,,,
2007,61.740381,16.213851,11.650136,25.896902,7.979492,,,
2008,62.861440,15.960072,14.477164,25.179925,7.244279,,,
2009,66.691824,19.757741,13.939303,26.130109,6.864671,,,
2010,71.674885,21.964286,15.335355,27.336343,7.038902,,,
2011,69.115346,18.014615,14.151748,29.513885,7.435098,,,
2012,73.227794,19.830356,15.316233,30.698131,7.383074,,,
2013,76.798163,22.595770,14.701157,32.097431,7.403804,,,
2014,79.602667,23.344623,14.940999,33.584314,7.732731,,,
2015,83.252277,25.951099,13.470997,36.243206,7.586974,,,
2016,83.817878,24.779748,13.398229,37.935726,7.704175,,,
2017,77.401683,19.052998,12.827066,37.853724,7.667894,,,
2018,81.815437,21.550489,13.486871,38.492608,8.285469,,,
2019,86.010115,24.323290,13.208492,40.123764,8.354568,,,
2020,77.402083,24.193562,12.065228,32.650089,8.493204,,,
2021,84.339245,19.593858,13.535023,42.170579,9.039785,,,
