"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,72.887273,2.401105,,1.714602,
1991,72.772252,2.397831,,1.642025,
1992,72.751175,2.394558,,1.569448,
1993,72.389673,2.391284,,1.496871,
1994,72.242453,2.388010,,1.424294,
1995,72.183099,2.384736,,1.351717,
1996,72.055272,2.381463,,1.279140,
1997,71.821208,2.378189,,1.206562,
1998,71.319120,2.374915,,1.133985,
1999,70.731977,2.371642,,1.061408,
2000,57.658125,1.806948,,0.988831,
2001,44.771682,1.249500,,0.916254,
2002,44.158921,1.246227,,0.843677,
2003,49.201712,1.136787,,0.792624,
2004,48.596908,1.126875,,0.741572,
2005,40.736086,0.920684,,0.690613,
2006,39.370948,0.911930,,0.639654,
2007,38.787730,0.930037,,0.625850,
2008,37.544436,0.928059,,0.612046,
2009,35.510291,1.176220,,0.590182,
2010,35.331137,1.175326,,0.640895,
2011,38.954066,1.146147,,0.710305,
2012,38.941802,1.149153,,0.779715,
2013,32.015797,1.116419,,0.849978,
2014,38.117363,1.656346,,0.921623,
2015,32.369002,1.267468,,0.993781,
2016,41.855152,1.215473,,1.066072,
2017,55.513192,2.226952,,1.135662,
2018,61.205145,2.841100,,1.156067,
2019,46.838712,1.776732,,1.225438,
2020,55.562785,1.956983,,1.297715,
2021,54.379629,2.005092,,1.370094,
