"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,9.805298,1.378323,4.762240
1991,10.075922,1.417101,5.117994
1992,10.666987,1.480722,5.561973
1993,11.182597,1.479764,6.295735
1994,11.538174,1.523705,6.130819
1995,11.698162,1.567177,5.749115
1996,11.699183,1.586740,6.114530
1997,11.843512,1.613248,6.227581
1998,11.674725,1.604565,6.070857
1999,10.373110,1.422386,5.369616
2000,9.351802,1.280864,6.165290
2001,8.403779,1.135950,5.800795
2002,8.287495,1.104466,5.801554
2003,8.113156,1.087984,6.730914
2004,7.786998,1.069187,8.051401
2005,7.700195,1.065228,8.870939
2006,7.136591,1.025849,10.230237
2007,7.096243,1.035312,10.795491
2008,6.841674,1.006234,10.037483
2009,6.734950,1.014920,10.463676
2010,6.743157,1.062939,10.769979
2011,6.854185,1.150268,11.608510
2012,6.865804,1.221373,11.738051
2013,7.025175,1.329004,11.821202
2014,7.262617,1.471172,12.003385
2015,7.793166,1.679104,12.517138
2016,8.177171,1.882134,12.468520
2017,7.916920,1.944325,12.243659
2018,7.776834,2.049493,12.562521
2019,7.961526,2.238831,13.048208
2020,6.616320,1.980881,11.487736
2021,8.888724,2.654190,14.795527
